contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AAPL230421C00050000,AAPL,2023-04-21 18:32:39,2023-04-21,50.0,115.1,114.95,115.05,115.0,17.0,1184.0,9.25000421875,164.90499877929688,calls,0.005530456970686433
AAPL230421C00060000,AAPL,2023-04-21 18:32:39,2023-04-21,60.0,105.1,104.9,105.0,104.95,19.0,190.0,7.2500009375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00065000,AAPL,2023-04-21 15:41:28,2023-04-21,65.0,100.3,99.9,100.0,99.95,1.0,113.0,6.7187516015625,164.90499877929688,calls,0.005530456970686433
AAPL230421C00070000,AAPL,2023-04-18 15:20:22,2023-04-21,70.0,95.68,94.9,95.0,94.95,2.0,212.0,6.2187522265625,164.90499877929688,calls,0.005530456970686433
AAPL230421C00075000,AAPL,2023-04-05 13:32:00,2023-04-21,75.0,89.65,89.9,90.0,89.95,1.0,118.0,5.7500028125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00080000,AAPL,2023-04-21 18:32:39,2023-04-21,80.0,85.1,84.95,85.05,85.0,10.0,235.0,5.7656277929687505,164.90499877929688,calls,0.005530456970686433
AAPL230421C00085000,AAPL,2023-04-20 18:08:19,2023-04-21,85.0,82.41,79.95,80.05,80.0,153.0,367.0,5.328128339843749,164.90499877929688,calls,0.005530456970686433
AAPL230421C00090000,AAPL,2023-04-20 18:04:10,2023-04-21,90.0,77.39,74.95,75.0,74.975,105.0,192.0,4.718754101562499,164.90499877929688,calls,0.005530456970686433
AAPL230421C00095000,AAPL,2023-04-21 13:32:55,2023-04-21,95.0,70.65,69.95,70.0,69.975,10.0,100.0,4.3281295898437495,164.90499877929688,calls,0.005530456970686433
AAPL230421C00100000,AAPL,2023-04-21 17:07:04,2023-04-21,100.0,65.05,64.85,64.95,64.9,62.0,877.0,3.7656255859375003,164.90499877929688,calls,0.005530456970686433
AAPL230421C00105000,AAPL,2023-04-21 17:57:13,2023-04-21,105.0,60.02,59.9,60.05,59.974999999999994,2.0,261.0,3.6093759765625,164.90499877929688,calls,0.005530456970686433
AAPL230421C00110000,AAPL,2023-04-21 18:21:57,2023-04-21,110.0,55.25,55.0,55.05,55.025,86.0,861.0,3.5156262109374996,164.90499877929688,calls,0.005530456970686433
AAPL230421C00115000,AAPL,2023-04-21 18:22:14,2023-04-21,115.0,50.3,50.0,50.1,50.05,68.0,479.0,3.2578143554687498,164.90499877929688,calls,0.005530456970686433
AAPL230421C00120000,AAPL,2023-04-21 18:49:13,2023-04-21,120.0,45.05,44.9,45.0,44.95,148.0,2505.0,2.50000375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00125000,AAPL,2023-04-21 17:37:10,2023-04-21,125.0,39.75,39.95,40.05,40.0,9.0,2877.0,2.42969142578125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00130000,AAPL,2023-04-21 18:22:27,2023-04-21,130.0,35.25,35.0,35.05,35.025,101.0,8366.0,2.2031294921874993,164.90499877929688,calls,0.005530456970686433
AAPL230421C00135000,AAPL,2023-04-21 18:44:52,2023-04-21,135.0,29.96,30.0,30.05,30.025,50.0,28179.0,1.89453177734375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00137000,AAPL,2023-04-21 14:11:41,2023-04-21,137.0,28.0,27.9,28.0,27.95,1.0,16.0,1.5468772656249998,164.90499877929688,calls,0.005530456970686433
AAPL230421C00138000,AAPL,2023-04-21 17:19:50,2023-04-21,138.0,26.86,26.9,27.0,26.95,11.0,14.0,1.4921900390624998,164.90499877929688,calls,0.005530456970686433
AAPL230421C00139000,AAPL,2023-04-21 16:22:40,2023-04-21,139.0,26.0,25.9,26.0,25.95,2.0,2.0,1.4375028125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00140000,AAPL,2023-04-21 18:37:53,2023-04-21,140.0,24.95,25.0,25.0,25.0,388.0,14266.0,1.5390648046875,164.90499877929688,calls,0.005530456970686433
AAPL230421C00141000,AAPL,2023-04-21 18:26:01,2023-04-21,141.0,24.32,23.9,24.0,23.95,31.0,5.0,1.3281283593749997,164.90499877929688,calls,0.005530456970686433
AAPL230421C00142000,AAPL,2023-04-21 18:38:49,2023-04-21,142.0,22.99,23.0,23.1,23.05,115.0,118.0,1.5273461132812498,164.90499877929688,calls,0.005530456970686433
AAPL230421C00143000,AAPL,2023-04-21 18:27:42,2023-04-21,143.0,22.32,22.0,22.1,22.05,25.0,153.0,1.46484642578125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00144000,AAPL,2023-04-21 16:20:55,2023-04-21,144.0,21.05,20.9,21.05,20.975,52.0,142.0,1.2500037499999999,164.90499877929688,calls,0.005530456970686433
AAPL230421C00145000,AAPL,2023-04-21 18:50:48,2023-04-21,145.0,19.95,19.9,19.95,19.924999999999997,370.0,9201.0,1.0078174609375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00146000,AAPL,2023-04-21 18:44:33,2023-04-21,146.0,19.05,19.0,19.05,19.025,77.0,217.0,1.2421912890624998,164.90499877929688,calls,0.005530456970686433
AAPL230421C00147000,AAPL,2023-04-21 18:26:29,2023-04-21,147.0,18.31,17.95,18.1,18.025,30.0,188.0,1.18359783203125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00148000,AAPL,2023-04-21 18:47:49,2023-04-21,148.0,16.92,17.0,17.05,17.025,139.0,485.0,1.125004375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00149000,AAPL,2023-04-21 18:26:29,2023-04-21,149.0,16.29,15.9,16.0,15.95,23.0,112.0,0.914063359375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00150000,AAPL,2023-04-21 18:40:02,2023-04-21,150.0,14.95,14.9,15.0,14.95,1098.0,43601.0,0.85937640625,164.90499877929688,calls,0.005530456970686433
AAPL230421C00152500,AAPL,2023-04-21 18:46:04,2023-04-21,152.5,12.4,12.5,12.6,12.55,390.0,807.0,0.8945323046874999,164.90499877929688,calls,0.005530456970686433
AAPL230421C00155000,AAPL,2023-04-21 18:50:33,2023-04-21,155.0,9.9,9.9,10.0,9.95,3795.0,54173.0,0.5976602734375001,164.90499877929688,calls,0.005530456970686433
AAPL230421C00157500,AAPL,2023-04-21 18:48:25,2023-04-21,157.5,7.45,7.5,7.6,7.55,897.0,3820.0,0.585941640625,164.90499877929688,calls,0.005530456970686433
AAPL230421C00160000,AAPL,2023-04-21 18:50:06,2023-04-21,160.0,5.05,4.9,5.0,4.95,14797.0,54314.0,0.383795224609375,164.90499877929688,calls,0.005530456970686433
AAPL230421C00162500,AAPL,2023-04-21 18:50:39,2023-04-21,162.5,2.47,2.44,2.49,2.465,9174.0,12049.0,0.21680470703125,164.90499877929688,calls,0.005530456970686433
AAPL230421C00165000,AAPL,2023-04-21 18:51:16,2023-04-21,165.0,0.22,0.21,0.23,0.22,99152.0,40506.0,0.08008732421875,164.90499877929688,calls,0.005530456970686433
AAPL230421P00165000,AAPL,2023-04-21 18:50:44,2023-04-21,165.0,0.26,0.25,0.26,0.255,95060.0,42226.0,0.060556269531250005,164.90499877929688,puts,0.005530456970686433
