contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABBV230421C00090000,ABBV,2023-04-12 19:41:40,2023-04-21,90.0,72.1,72.35,73.1,72.725,2.0,0.0,5.433596958007811,162.49000549316406,calls,0.03528422142600355
ABBV230421C00100000,ABBV,2023-04-17 14:55:00,2023-04-21,100.0,61.3,62.4,62.6,62.5,1.0,1.0,3.156252109375,162.49000549316406,calls,0.03528422142600355
ABBV230421C00105000,ABBV,2023-04-12 14:06:36,2023-04-21,105.0,57.93,57.35,57.6,57.475,0.0,0.0,3.718750703125,162.49000549316406,calls,0.03528422142600355
ABBV230421C00110000,ABBV,2023-04-12 19:42:26,2023-04-21,110.0,52.1,52.4,52.65,52.525,2.0,0.0,2.9218776953125003,162.49000549316406,calls,0.03528422142600355
ABBV230421C00115000,ABBV,2023-04-12 18:34:22,2023-04-21,115.0,47.8,47.4,47.75,47.575,132.0,0.0,2.9218776953125003,162.49000549316406,calls,0.03528422142600355
ABBV230421C00120000,ABBV,2023-04-12 19:42:49,2023-04-21,120.0,42.1,42.4,42.6,42.5,3.0,0.0,2.031254921875,162.49000549316406,calls,0.03528422142600355
ABBV230421C00125000,ABBV,2023-04-12 19:43:09,2023-04-21,125.0,37.1,37.35,37.6,37.475,2.0,0.0,2.3710978222656243,162.49000549316406,calls,0.03528422142600355
ABBV230421C00130000,ABBV,2023-04-12 19:43:27,2023-04-21,130.0,32.1,32.35,32.65,32.5,2.0,0.0,1.5312523437499999,162.49000549316406,calls,0.03528422142600355
ABBV230421C00135000,ABBV,2023-04-12 19:25:33,2023-04-21,135.0,27.25,27.4,27.65,27.525,1382.0,0.0,1.5000025,162.49000549316406,calls,0.03528422142600355
ABBV230421C00140000,ABBV,2023-04-12 19:25:33,2023-04-21,140.0,22.25,22.4,22.6,22.5,2755.0,1.0,1.0625046875000002,162.49000549316406,calls,0.03528422142600355
ABBV230421C00143000,ABBV,2023-04-12 19:25:33,2023-04-21,143.0,19.25,19.4,19.65,19.525,1325.0,0.0,1.0781296093750001,162.49000549316406,calls,0.03528422142600355
ABBV230421C00144000,ABBV,2023-04-12 19:25:33,2023-04-21,144.0,18.3,18.4,18.6,18.5,2055.0,0.0,0.87500125,162.49000549316406,calls,0.03528422142600355
ABBV230421C00145000,ABBV,2023-04-21 16:01:10,2023-04-21,145.0,17.55,17.4,17.6,17.5,7.0,60.0,0.8437515624999999,162.49000549316406,calls,0.03528422142600355
