contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABT230421C00075000,ABT,2023-03-13 14:44:10,2023-04-21,75.0,23.44,27.2,27.95,27.575,0.0,3,1.0000000000000003e-05,111.97000122070312,calls,0.017266529536983356
ABT230421C00080000,ABT,2023-03-23 19:00:04,2023-04-21,80.0,17.2,31.85,32.05,31.95,1.0,0,2.9687525781249997,111.97000122070312,calls,0.017266529536983356
ABT230421C00085000,ABT,2023-04-12 14:46:28,2023-04-21,85.0,18.07,26.7,27.0,26.85,1.0,0,2.1875045312499997,111.97000122070312,calls,0.017266529536983356
ABT230421C00088000,ABT,2023-03-23 18:43:31,2023-04-21,88.0,9.5,23.85,24.0,23.925,0.0,0,1.9375003125,111.97000122070312,calls,0.017266529536983356
ABT230421C00090000,ABT,2023-04-20 17:57:12,2023-04-21,90.0,20.74,21.85,22.0,21.925,4.0,5,1.78125109375,111.97000122070312,calls,0.017266529536983356
ABT230421C00093000,ABT,2023-04-12 18:55:43,2023-04-21,93.0,9.85,18.85,19.05,18.950000000000003,40.0,0,1.7734386328124998,111.97000122070312,calls,0.017266529536983356
ABT230421C00095000,ABT,2023-04-17 13:52:11,2023-04-21,95.0,9.75,16.85,17.0,16.925,1.0,2,1.3828155859374998,111.97000122070312,calls,0.017266529536983356
ABT230421C00096000,ABT,2023-04-19 16:36:31,2023-04-21,96.0,16.05,15.9,16.1,16.0,11.0,10,1.3046909765624997,111.97000122070312,calls,0.017266529536983356
ABT230421C00097000,ABT,2023-04-19 13:48:21,2023-04-21,97.0,11.75,14.85,15.0,14.925,3.0,145,1.2343788281249999,111.97000122070312,calls,0.017266529536983356
ABT230421C00098000,ABT,2023-04-21 18:41:27,2023-04-21,98.0,13.88,13.85,14.0,13.925,442.0,905,1.15625421875,111.97000122070312,calls,0.017266529536983356
ABT230421C00099000,ABT,2023-04-20 13:56:27,2023-04-21,99.0,12.1,12.85,13.0,12.925,1.0,294,1.0781296093750001,111.97000122070312,calls,0.017266529536983356
ABT230421C00100000,ABT,2023-04-21 18:10:58,2023-04-21,100.0,11.95,11.85,12.0,11.925,145.0,2027,0.9960937890625,111.97000122070312,calls,0.017266529536983356
ABT230421C00101000,ABT,2023-04-21 14:41:37,2023-04-21,101.0,10.45,10.9,11.05,10.975000000000001,4.0,215,0.7500025,111.97000122070312,calls,0.017266529536983356
ABT230421C00102000,ABT,2023-04-21 16:08:25,2023-04-21,102.0,9.75,9.8,10.0,9.9,5.0,237,0.8437515624999999,111.97000122070312,calls,0.017266529536983356
ABT230421C00103000,ABT,2023-04-21 16:04:58,2023-04-21,103.0,8.77,8.9,9.1,9.0,21.0,587,0.7656273437500001,111.97000122070312,calls,0.017266529536983356
ABT230421C00104000,ABT,2023-04-21 18:25:05,2023-04-21,104.0,8.05,7.85,8.05,7.95,32.0,464,0.8203142968749999,111.97000122070312,calls,0.017266529536983356
