contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ADBE230421C00140000,ADBE,2022-11-10 15:41:30,2023-04-21,140.0,183.56,192.2,195.85,194.02499999999998,0.0,1.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00185000,ADBE,2022-09-26 14:12:17,2023-04-21,185.0,109.65,147.85,150.85,149.35,0.0,1.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00195000,ADBE,2022-09-28 19:59:28,2023-04-21,195.0,98.2,136.5,140.35,138.425,0.0,1.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00200000,ADBE,2023-04-14 15:47:57,2023-04-21,200.0,176.99,174.7,177.95,176.325,1.0,15.0,5.667971665039062,375.8399963378906,calls,0.0
ADBE230421C00205000,ADBE,2023-03-22 14:05:04,2023-04-21,205.0,170.5,172.0,172.8,172.4,1.0,0.0,6.63476733154297,375.8399963378906,calls,0.0
ADBE230421C00210000,ADBE,2022-11-10 15:41:30,2023-04-21,210.0,118.51,126.5,129.7,128.1,2.0,14.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00220000,ADBE,2022-10-21 18:06:03,2023-04-21,220.0,98.9,117.7,121.05,119.375,6.0,12.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00230000,ADBE,2022-10-03 15:41:28,2023-04-21,230.0,70.0,92.95,94.55,93.75,2.0,4.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00240000,ADBE,2022-11-07 20:39:18,2023-04-21,240.0,75.2,97.1,98.3,97.69999999999999,1.0,39.0,1.0000000000000003e-05,375.8399963378906,calls,0.0
ADBE230421C00250000,ADBE,2023-04-20 15:23:28,2023-04-21,250.0,129.5,126.25,126.9,126.575,150.0,116.0,4.10937986328125,375.8399963378906,calls,0.0
ADBE230421C00260000,ADBE,2023-04-05 18:49:12,2023-04-21,260.0,122.45,116.4,117.0,116.7,1.0,45.0,3.871094072265625,375.8399963378906,calls,0.0
ADBE230421C00270000,ADBE,2023-04-18 13:30:21,2023-04-21,270.0,110.08,106.2,107.05,106.625,1.0,62.0,3.4726575683593754,375.8399963378906,calls,0.0
ADBE230421C00275000,ADBE,2023-04-04 19:05:04,2023-04-21,275.0,109.72,101.3,101.95,101.625,1.0,1.0,3.308595478515625,375.8399963378906,calls,0.0
ADBE230421C00280000,ADBE,2023-04-18 13:30:21,2023-04-21,280.0,100.12,96.25,96.95,96.6,1.0,172.0,3.1279318676757812,375.8399963378906,calls,0.0
ADBE230421C00285000,ADBE,2023-03-20 17:57:28,2023-04-21,285.0,80.9,94.45,95.85,95.15,1.0,3.0,4.433598208007812,375.8399963378906,calls,0.0
ADBE230421C00290000,ADBE,2023-04-13 18:27:50,2023-04-21,290.0,87.97,86.4,86.95,86.67500000000001,1.0,196.0,2.8613309716796875,375.8399963378906,calls,0.0
ADBE230421C00295000,ADBE,2023-04-17 13:50:05,2023-04-21,295.0,83.88,81.55,82.0,81.775,1.0,5.0,2.7636749658203126,375.8399963378906,calls,0.0
ADBE230421C00300000,ADBE,2023-04-21 18:07:11,2023-04-21,300.0,77.42,76.25,77.0,76.625,3.0,117.0,2.5156287109374995,375.8399963378906,calls,0.0
ADBE230421C00305000,ADBE,2023-03-23 18:21:59,2023-04-21,305.0,66.78,71.25,72.2,71.725,1.0,5.0,2.4189492651367184,375.8399963378906,calls,0.0
ADBE230421C00310000,ADBE,2023-04-19 16:18:30,2023-04-21,310.0,69.5,66.45,66.95,66.7,2.0,335.0,2.2509809350585934,375.8399963378906,calls,0.0
ADBE230421C00315000,ADBE,2023-04-21 18:11:39,2023-04-21,315.0,62.51,61.5,62.0,61.75,1.0,96.0,2.123051567382812,375.8399963378906,calls,0.0
ADBE230421C00320000,ADBE,2023-04-21 17:57:37,2023-04-21,320.0,56.4,56.35,56.95,56.650000000000006,4.0,451.0,1.9208988330078127,375.8399963378906,calls,0.0
ADBE230421C00325000,ADBE,2023-04-21 17:11:50,2023-04-21,325.0,51.74,51.3,51.95,51.625,5.0,208.0,1.7587902685546877,375.8399963378906,calls,0.0
ADBE230421C00327500,ADBE,2023-03-22 14:59:46,2023-04-21,327.5,48.95,49.8,50.3,50.05,0.0,1.0,2.0297900817871093,375.8399963378906,calls,0.0
ADBE230421C00330000,ADBE,2023-04-21 18:23:47,2023-04-21,330.0,47.37,46.4,46.95,46.675,26.0,1005.0,1.6313494995117184,375.8399963378906,calls,0.0
ADBE230421C00332500,ADBE,2023-03-28 14:56:01,2023-04-21,332.5,40.9,43.85,44.45,44.150000000000006,1.0,8.0,1.5454124291992186,375.8399963378906,calls,0.0
ADBE230421C00335000,ADBE,2023-04-21 17:48:29,2023-04-21,335.0,41.98,41.5,42.0,41.75,35.0,282.0,1.5107446337890624,375.8399963378906,calls,0.0
ADBE230421C00337500,ADBE,2023-04-03 14:42:02,2023-04-21,337.5,46.1,38.75,39.55,39.15,1.0,2.0,1.3955108349609375,375.8399963378906,calls,0.0
ADBE230421C00340000,ADBE,2023-04-21 18:41:15,2023-04-21,340.0,37.2,36.2,37.0,36.6,17.0,669.0,1.3007847460937496,375.8399963378906,calls,0.0
ADBE230421C00342500,ADBE,2023-04-21 18:09:52,2023-04-21,342.5,34.9,33.9,34.5,34.2,5.0,6.0,1.263187277832031,375.8399963378906,calls,0.0
ADBE230421C00345000,ADBE,2023-04-21 17:14:05,2023-04-21,345.0,31.6,31.4,31.95,31.674999999999997,13.0,547.0,1.1782267651367184,375.8399963378906,calls,0.0
ADBE230421C00347500,ADBE,2023-04-21 14:24:04,2023-04-21,347.5,31.09,28.9,29.5,29.2,3.0,14.0,1.1103560107421875,375.8399963378906,calls,0.0
ADBE230421C00350000,ADBE,2023-04-21 18:24:31,2023-04-21,350.0,27.38,26.35,27.0,26.675,76.0,799.0,1.0249072192382815,375.8399963378906,calls,0.0
ADBE230421C00352500,ADBE,2023-04-20 15:41:50,2023-04-21,352.5,27.45,23.85,24.45,24.15,4.0,33.0,0.9399420068359375,375.8399963378906,calls,0.0
ADBE230421C00355000,ADBE,2023-04-21 18:24:31,2023-04-21,355.0,22.39,21.4,22.05,21.725,13.0,420.0,0.883790224609375,375.8399963378906,calls,0.0
ADBE230421C00357500,ADBE,2023-04-20 17:20:05,2023-04-21,357.5,25.33,19.0,19.5,19.25,1.0,70.0,0.8105487695312499,375.8399963378906,calls,0.0
ADBE230421C00360000,ADBE,2023-04-21 18:26:16,2023-04-21,360.0,17.17,16.3,17.0,16.65,137.0,871.0,0.7036162451171876,375.8399963378906,calls,0.0
ADBE230421C00362500,ADBE,2023-04-21 14:06:44,2023-04-21,362.5,15.0,13.8,14.45,14.125,5.0,435.0,0.6162147753906251,375.8399963378906,calls,0.0
ADBE230421C00365000,ADBE,2023-04-21 18:50:10,2023-04-21,365.0,11.85,11.3,12.0,11.65,155.0,1059.0,0.5390671093750001,375.8399963378906,calls,0.0
