contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AMZN230421C00045000,AMZN,2023-04-21 18:10:35,2023-04-21,45.0,63.0,62.65,62.75,62.7,237.0,105.0,9.156254277343749,107.23500061035156,calls,0.0
AMZN230421C00050000,AMZN,2023-04-21 17:32:22,2023-04-21,50.0,57.75,57.55,57.6,57.575,97.0,113.0,7.695312880859376,107.23500061035156,calls,0.0
AMZN230421C00055000,AMZN,2023-04-21 16:55:03,2023-04-21,55.0,52.3,52.55,52.6,52.575,89.0,114.0,6.82812646484375,107.23500061035156,calls,0.0
AMZN230421C00060000,AMZN,2023-04-21 16:41:21,2023-04-21,60.0,47.1,47.55,47.65,47.599999999999994,125.0,235.0,6.117189853515624,107.23500061035156,calls,0.0
AMZN230421C00065000,AMZN,2023-04-21 16:55:03,2023-04-21,65.0,42.3,42.5,42.6,42.55,88.0,279.0,5.2265659667968745,107.23500061035156,calls,0.0
AMZN230421C00070000,AMZN,2023-04-21 17:32:16,2023-04-21,70.0,37.7,37.6,37.7,37.650000000000006,111.0,164.0,4.804691494140624,107.23500061035156,calls,0.0
AMZN230421C00075000,AMZN,2023-04-21 18:50:10,2023-04-21,75.0,32.61,32.6,32.7,32.650000000000006,41.0,596.0,4.140629824218751,107.23500061035156,calls,0.0
AMZN230421C00080000,AMZN,2023-04-21 18:22:43,2023-04-21,80.0,28.0,27.5,27.6,27.55,319.0,9763.0,3.3125017187499997,107.23500061035156,calls,0.0
AMZN230421C00081000,AMZN,2023-04-21 18:08:51,2023-04-21,81.0,26.95,26.55,26.6,26.575000000000003,129.0,52.0,3.2460956347656245,107.23500061035156,calls,0.0
AMZN230421C00082000,AMZN,2023-04-21 18:08:51,2023-04-21,82.0,25.95,25.55,25.65,25.6,72.0,35.0,3.1796895507812497,107.23500061035156,calls,0.0
AMZN230421C00083000,AMZN,2023-04-21 18:08:51,2023-04-21,83.0,24.95,24.5,24.6,24.55,73.0,53.0,2.9648463378906245,107.23500061035156,calls,0.0
AMZN230421C00084000,AMZN,2023-04-21 15:23:38,2023-04-21,84.0,22.75,23.5,23.6,23.55,38.0,41.0,2.85156537109375,107.23500061035156,calls,0.0
AMZN230421C00085000,AMZN,2023-04-21 18:35:00,2023-04-21,85.0,22.75,22.55,22.6,22.575000000000003,140.0,5625.0,2.7812530468750003,107.23500061035156,calls,0.0
AMZN230421C00086000,AMZN,2023-04-21 18:38:53,2023-04-21,86.0,21.71,21.5,21.6,21.55,133.0,65.0,2.6230503173828126,107.23500061035156,calls,0.0
AMZN230421C00087000,AMZN,2023-04-21 15:23:02,2023-04-21,87.0,19.8,20.65,20.75,20.7,11.0,70.0,2.7480500048828125,107.23500061035156,calls,0.0
AMZN230421C00088000,AMZN,2023-04-21 17:57:37,2023-04-21,88.0,19.6,19.65,19.75,19.7,53.0,68.0,2.6289096777343754,107.23500061035156,calls,0.0
