contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AVGO230421C00220000,AVGO,2023-03-20 19:52:35,2023-04-21,220.0,423.27,413.3,417.0,415.15,4.0,0,11.726565170898438,631.280029296875,calls,0.02724622861768256
AVGO230421C00230000,AVGO,2023-03-20 19:49:53,2023-04-21,230.0,412.12,403.2,407.0,405.1,0.0,0,11.243167035522461,631.280029296875,calls,0.02724622861768256
AVGO230421C00240000,AVGO,2023-03-20 19:49:53,2023-04-21,240.0,402.09,391.8,396.8,394.3,8.0,0,10.337894163818362,631.280029296875,calls,0.02724622861768256
AVGO230421C00280000,AVGO,2022-12-12 16:46:24,2023-04-21,280.0,266.02,298.3,302.5,300.4,1.0,0,1.0000000000000003e-05,631.280029296875,calls,0.02724622861768256
AVGO230421C00290000,AVGO,2022-12-16 20:50:00,2023-04-21,290.0,266.3,289.2,293.4,291.29999999999995,1.0,0,1.0000000000000003e-05,631.280029296875,calls,0.02724622861768256
AVGO230421C00300000,AVGO,2022-09-20 14:04:12,2023-04-21,300.0,197.3,145.3,148.9,147.10000000000002,0.0,3,1.0000000000000003e-05,631.280029296875,calls,0.02724622861768256
AVGO230421C00320000,AVGO,2022-12-15 14:34:32,2023-04-21,320.0,240.0,259.5,263.7,261.6,2.0,0,1.0000000000000003e-05,631.280029296875,calls,0.02724622861768256
AVGO230421C00340000,AVGO,2023-03-20 19:29:54,2023-04-21,340.0,302.23,291.9,296.8,294.35,0.0,0,6.964845043945314,631.280029296875,calls,0.02724622861768256
AVGO230421C00350000,AVGO,2023-04-20 18:56:02,2023-04-21,350.0,285.14,280.9,283.4,282.15,3.0,2,5.386722016601562,631.280029296875,calls,0.02724622861768256
AVGO230421C00360000,AVGO,2023-04-20 18:57:49,2023-04-21,360.0,275.1,271.4,272.4,271.9,4.0,1,4.910160112304686,631.280029296875,calls,0.02724622861768256
AVGO230421C00370000,AVGO,2023-04-20 19:51:13,2023-04-21,370.0,261.95,261.0,263.2,262.1,1.0,1,4.886722641601562,631.280029296875,calls,0.02724622861768256
AVGO230421C00380000,AVGO,2023-04-20 19:44:48,2023-04-21,380.0,251.06,251.2,253.1,252.14999999999998,1.0,1,4.710941611328124,631.280029296875,calls,0.02724622861768256
AVGO230421C00400000,AVGO,2023-04-20 19:06:20,2023-04-21,400.0,233.45,230.7,233.5,232.1,3.0,3,4.248051564941406,631.280029296875,calls,0.02724622861768256
AVGO230421C00410000,AVGO,2023-01-05 20:57:51,2023-04-21,410.0,152.2,188.4,192.6,190.5,2.0,3,1.0000000000000003e-05,631.280029296875,calls,0.02724622861768256
AVGO230421C00420000,AVGO,2023-03-20 19:18:37,2023-04-21,420.0,220.6,213.3,217.2,215.25,149.0,0,5.160159799804687,631.280029296875,calls,0.02724622861768256
AVGO230421C00430000,AVGO,2023-03-20 19:17:31,2023-04-21,430.0,213.7,203.1,207.4,205.25,110.0,1,4.914554638061522,631.280029296875,calls,0.02724622861768256
AVGO230421C00440000,AVGO,2023-03-20 19:17:31,2023-04-21,440.0,205.7,193.6,196.5,195.05,102.0,0,4.617680009155273,631.280029296875,calls,0.02724622861768256
AVGO230421C00450000,AVGO,2023-03-20 19:36:21,2023-04-21,450.0,192.5,183.4,186.2,184.8,1380.0,0,4.314457731933593,631.280029296875,calls,0.02724622861768256
AVGO230421C00460000,AVGO,2023-04-20 15:19:41,2023-04-21,460.0,170.9,171.5,172.8,172.15,4.0,12,3.1152365869140626,631.280029296875,calls,0.02724622861768256
AVGO230421C00470000,AVGO,2023-03-20 19:36:21,2023-04-21,470.0,172.5,163.5,166.3,164.9,1391.0,0,3.886230753173828,631.280029296875,calls,0.02724622861768256
AVGO230421C00480000,AVGO,2023-03-20 19:36:21,2023-04-21,480.0,162.6,153.4,156.3,154.85000000000002,1264.0,0,3.6513680590820314,631.280029296875,calls,0.02724622861768256
AVGO230421C00490000,AVGO,2023-03-21 19:42:54,2023-04-21,490.0,150.5,140.6,144.0,142.3,1.0,1,2.646487758789063,631.280029296875,calls,0.02724622861768256
AVGO230421C00500000,AVGO,2023-03-29 13:56:06,2023-04-21,500.0,132.05,131.3,132.3,131.8,8.0,122,2.204106052246093,631.280029296875,calls,0.02724622861768256
AVGO230421C00510000,AVGO,2023-04-21 15:41:30,2023-04-21,510.0,119.3,121.6,122.5,122.05,2.0,161,2.178715490722656,631.280029296875,calls,0.02724622861768256
AVGO230421C00520000,AVGO,2023-04-13 17:45:15,2023-04-21,520.0,105.89,111.6,112.5,112.05,1.0,301,2.009770600585937,631.280029296875,calls,0.02724622861768256
AVGO230421C00530000,AVGO,2023-04-21 18:09:51,2023-04-21,530.0,102.81,101.5,102.5,102.0,23.0,234,1.8208016772460938,631.280029296875,calls,0.02724622861768256
AVGO230421C00540000,AVGO,2023-04-17 19:39:01,2023-04-21,540.0,87.6,91.5,92.4,91.95,1.0,181,1.6352557299804684,631.280029296875,calls,0.02724622861768256
AVGO230421C00550000,AVGO,2023-04-21 18:09:51,2023-04-21,550.0,82.89,81.5,82.9,82.2,31.0,514,1.5649435815429684,631.280029296875,calls,0.02724622861768256
AVGO230421C00555000,AVGO,2023-03-23 19:35:38,2023-04-21,555.0,85.5,76.6,77.4,77.0,0.0,1,1.4121123144531251,631.280029296875,calls,0.02724622861768256
AVGO230421C00560000,AVGO,2023-04-21 16:55:17,2023-04-21,560.0,70.8,71.4,72.8,72.1,6.0,189,1.3642609912109376,631.280029296875,calls,0.02724622861768256
AVGO230421C00570000,AVGO,2023-04-21 15:24:27,2023-04-21,570.0,57.44,61.3,62.5,61.9,78.0,391,1.1342816723632816,631.280029296875,calls,0.02724622861768256
AVGO230421C00575000,AVGO,2023-04-14 13:42:16,2023-04-21,575.0,51.0,56.3,57.7,57.0,2.0,2,1.0864303491210938,631.280029296875,calls,0.02724622861768256
AVGO230421C00580000,AVGO,2023-04-21 18:46:56,2023-04-21,580.0,52.18,51.3,52.5,51.9,107.0,589,0.97460962890625,631.280029296875,calls,0.02724622861768256
AVGO230421C00585000,AVGO,2023-04-21 15:51:42,2023-04-21,585.0,43.0,46.2,47.8,47.0,2.0,7,0.9223640576171875,631.280029296875,calls,0.02724622861768256
AVGO230421C00590000,AVGO,2023-04-21 18:41:02,2023-04-21,590.0,42.33,41.2,42.7,41.95,11.0,535,0.8266618896484373,631.280029296875,calls,0.02724622861768256
AVGO230421C00595000,AVGO,2023-04-21 16:01:28,2023-04-21,595.0,34.77,36.6,37.4,37.0,6.0,10,0.7563500927734376,631.280029296875,calls,0.02724622861768256
AVGO230421C00600000,AVGO,2023-04-21 18:45:40,2023-04-21,600.0,32.23,31.6,32.8,32.2,40.0,1236,0.7138700488281251,631.280029296875,calls,0.02724622861768256
AVGO230421C00602500,AVGO,2023-04-18 16:12:05,2023-04-21,602.5,28.4,29.1,30.0,29.55,2.0,4,0.6401403173828125,631.280029296875,calls,0.02724622861768256
AVGO230421C00605000,AVGO,2023-04-21 17:11:14,2023-04-21,605.0,26.58,26.6,27.5,27.05,5.0,68,0.596683720703125,631.280029296875,calls,0.02724622861768256
AVGO230421C00607500,AVGO,2023-04-21 17:11:14,2023-04-21,607.5,24.1,23.7,25.2,24.45,3.0,29,0.5336960693359375,631.280029296875,calls,0.02724622861768256
AVGO230421C00610000,AVGO,2023-04-21 17:05:56,2023-04-21,610.0,21.2,21.6,22.8,22.200000000000003,84.0,432,0.5336960693359375,631.280029296875,calls,0.02724622861768256
AVGO230421C00612500,AVGO,2023-04-19 16:40:32,2023-04-21,612.5,22.0,19.1,20.1,19.6,1.0,23,0.5449264257812501,631.280029296875,calls,0.02724622861768256
AVGO230421C00615000,AVGO,2023-04-21 14:14:10,2023-04-21,615.0,11.0,16.7,17.4,17.049999999999997,6.0,46,0.4682670361328125,631.280029296875,calls,0.02724622861768256
AVGO230421C00617500,AVGO,2023-04-21 15:50:53,2023-04-21,617.5,10.68,14.0,14.9,14.45,41.0,104,0.41797457031249996,631.280029296875,calls,0.02724622861768256
AVGO230421C00620000,AVGO,2023-04-21 18:35:20,2023-04-21,620.0,13.0,11.6,12.8,12.2,183.0,725,0.4118711157226562,631.280029296875,calls,0.02724622861768256
AVGO230421C00622500,AVGO,2023-04-21 18:47:43,2023-04-21,622.5,9.42,9.1,10.3,9.7,82.0,221,0.3552310571289062,631.280029296875,calls,0.02724622861768256
AVGO230421C00625000,AVGO,2023-04-21 18:18:58,2023-04-21,625.0,8.65,6.6,7.4,7.0,109.0,176,0.256843369140625,631.280029296875,calls,0.02724622861768256
AVGO230421C00627500,AVGO,2023-04-21 18:20:21,2023-04-21,627.5,6.0,4.1,5.2,4.65,242.0,183,0.22290816162109373,631.280029296875,calls,0.02724622861768256
AVGO230421C00630000,AVGO,2023-04-21 18:44:26,2023-04-21,630.0,2.98,2.15,2.5,2.325,374.0,881,0.13575083007812502,631.280029296875,calls,0.02724622861768256
AVGO230421C00632500,AVGO,2023-04-21 18:47:10,2023-04-21,632.5,0.7,0.65,0.9,0.775,163.0,288,0.10816321533203124,631.280029296875,calls,0.02724622861768256
AVGO230421C00635000,AVGO,2023-04-21 18:47:21,2023-04-21,635.0,0.15,0.1,0.15,0.125,267.0,425,0.0898528515625,631.280029296875,calls,0.02724622861768256
AVGO230421C00637500,AVGO,2023-04-21 18:39:54,2023-04-21,637.5,0.05,0.05,0.1,0.07500000000000001,145.0,250,0.11963770996093749,631.280029296875,calls,0.02724622861768256
