contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BAC230421C00015000,BAC,2023-04-18 13:46:07,2023-04-21,15.0,15.5,14.85,14.95,14.899999999999999,3.0,63.0,5.437503203124999,29.8799991607666,calls,0.02891566346275069
BAC230421C00016000,BAC,2023-04-18 13:46:07,2023-04-21,16.0,14.5,13.85,13.95,13.899999999999999,2.0,14.0,4.937503828124999,29.8799991607666,calls,0.02891566346275069
BAC230421C00017000,BAC,2023-04-18 13:46:07,2023-04-21,17.0,13.5,12.85,12.95,12.899999999999999,3.0,49.0,4.500004375,29.8799991607666,calls,0.02891566346275069
BAC230421C00018000,BAC,2023-04-20 15:16:18,2023-04-21,18.0,12.0,11.85,11.95,11.899999999999999,2.0,18.0,4.12500484375,29.8799991607666,calls,0.02891566346275069
BAC230421C00019000,BAC,2023-04-18 13:46:07,2023-04-21,19.0,11.5,10.85,10.95,10.899999999999999,2.0,32.0,3.6875007812500002,29.8799991607666,calls,0.02891566346275069
BAC230421C00020000,BAC,2023-04-20 19:52:43,2023-04-21,20.0,9.9,9.85,9.95,9.899999999999999,76.0,199.0,3.3125017187499997,29.8799991607666,calls,0.02891566346275069
BAC230421C00021000,BAC,2023-04-18 15:21:15,2023-04-21,21.0,8.85,8.85,8.95,8.899999999999999,12.0,72.0,2.93750265625,29.8799991607666,calls,0.02891566346275069
BAC230421C00022000,BAC,2023-04-20 18:31:14,2023-04-21,22.0,8.04,7.85,7.95,7.9,19.0,174.0,2.6250034375,29.8799991607666,calls,0.02891566346275069
BAC230421C00022500,BAC,2023-04-18 14:37:18,2023-04-21,22.5,7.45,7.35,7.45,7.4,8.0,58.0,2.43750390625,29.8799991607666,calls,0.02891566346275069
BAC230421C00023000,BAC,2023-04-19 19:28:54,2023-04-21,23.0,7.11,6.85,6.95,6.9,127.0,282.0,2.2500043749999996,29.8799991607666,calls,0.02891566346275069
BAC230421C00023500,BAC,2023-04-18 13:49:41,2023-04-21,23.5,7.0,6.4,6.45,6.425000000000001,2.0,51.0,2.4531288671875,29.8799991607666,calls,0.02891566346275069
