contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BMY230421C00040000,BMY,2023-03-29 19:01:38,2023-04-21,40.0,28.1,30.15,30.5,30.325,8.0,0.0,5.390628261718749,70.375,calls,0.03126110124333925
BMY230421C00045000,BMY,2023-04-05 19:33:20,2023-04-21,45.0,24.88,25.25,25.4,25.325,4.0,0.0,3.50000125,70.375,calls,0.03126110124333925
BMY230421C00050000,BMY,2023-04-05 19:52:10,2023-04-21,50.0,20.1,20.3,20.4,20.35,68.0,0.0,2.750003125,70.375,calls,0.03126110124333925
BMY230421C00057000,BMY,2023-04-19 16:36:16,2023-04-21,57.0,12.7,13.3,13.45,13.375,11.0,11.0,0.500005,70.375,calls,0.03126110124333925
BMY230421C00058000,BMY,2023-03-28 14:35:13,2023-04-21,58.0,10.5,12.3,12.4,12.350000000000001,1.0,0.0,1.65625171875,70.375,calls,0.03126110124333925
BMY230421C00060000,BMY,2023-04-20 18:20:08,2023-04-21,60.0,9.4,10.3,10.4,10.350000000000001,3.0,4.0,1.40625296875,70.375,calls,0.03126110124333925
BMY230421C00061000,BMY,2023-04-05 19:33:12,2023-04-21,61.0,8.9,9.3,9.4,9.350000000000001,3.0,0.0,1.2734411328124997,70.375,calls,0.03126110124333925
BMY230421C00062000,BMY,2023-03-21 15:57:34,2023-04-21,62.0,5.75,7.45,7.7,7.575,0.0,0.0,1.0000000000000003e-05,70.375,calls,0.03126110124333925
BMY230421C00062500,BMY,2023-04-21 13:45:24,2023-04-21,62.5,7.85,7.8,7.9,7.85,1.0,6.0,1.0781296093750001,70.375,calls,0.03126110124333925
BMY230421C00063000,BMY,2023-04-05 19:51:26,2023-04-21,63.0,7.0,7.3,7.4,7.35,218.0,0.0,1.015629921875,70.375,calls,0.03126110124333925
BMY230421C00064000,BMY,2023-04-14 19:56:19,2023-04-21,64.0,6.6,6.3,6.4,6.35,22.0,22.0,0.8906260937499999,70.375,calls,0.03126110124333925
BMY230421C00065000,BMY,2023-04-21 15:03:03,2023-04-21,65.0,5.07,5.3,5.4,5.35,5.0,30.0,0.7656273437500001,70.375,calls,0.03126110124333925
BMY230421C00066000,BMY,2023-04-17 13:30:20,2023-04-21,66.0,4.67,4.3,4.4,4.35,2.0,110.0,0.64062859375,70.375,calls,0.03126110124333925
BMY230421C00067000,BMY,2023-04-11 15:58:42,2023-04-21,67.0,3.53,3.3,3.45,3.375,10.0,10.0,0.6445348046875,70.375,calls,0.03126110124333925
BMY230421C00067500,BMY,2023-04-21 18:40:52,2023-04-21,67.5,2.85,2.8,2.89,2.8449999999999998,367.0,445.0,0.414068359375,70.375,calls,0.03126110124333925
BMY230421C00068000,BMY,2023-04-21 17:22:08,2023-04-21,68.0,2.35,2.31,2.38,2.3449999999999998,224.0,551.0,0.29688203124999996,70.375,calls,0.03126110124333925
BMY230421C00069000,BMY,2023-04-21 16:17:14,2023-04-21,69.0,1.46,1.31,1.39,1.35,433.0,1816.0,0.22266402343749997,70.375,calls,0.03126110124333925
BMY230421C00070000,BMY,2023-04-21 18:50:30,2023-04-21,70.0,0.36,0.36,0.38,0.37,1247.0,5996.0,0.062509375,70.375,calls,0.03126110124333925
BMY230421P00070000,BMY,2023-04-21 18:18:22,2023-04-21,70.0,0.03,0.01,0.03,0.02,100.0,4653.0,0.10157148437499999,70.375,puts,0.03126110124333925
BMY230421P00071000,BMY,2023-04-21 17:39:31,2023-04-21,71.0,0.8,0.6,0.7,0.6499999999999999,5.0,1545.0,0.19336744140625,70.375,puts,0.03126110124333925
BMY230421P00072000,BMY,2023-04-21 17:29:13,2023-04-21,72.0,1.69,1.62,1.71,1.665,36.0,1.0,0.37500625,70.375,puts,0.03126110124333925
BMY230421P00072500,BMY,2023-04-21 14:49:02,2023-04-21,72.5,2.28,2.12,2.21,2.165,16.0,211.0,0.45313046875,70.375,puts,0.03126110124333925
BMY230421P00073000,BMY,2023-04-14 19:05:59,2023-04-21,73.0,2.7,2.61,2.69,2.65,5.0,3.0,0.49219257812500006,70.375,puts,0.03126110124333925
BMY230421P00075000,BMY,2023-04-19 17:38:49,2023-04-21,75.0,5.33,4.6,4.7,4.65,3.0,7.0,0.632816171875,70.375,puts,0.03126110124333925
BMY230421P00077500,BMY,2023-03-30 14:27:22,2023-04-21,77.5,9.67,7.1,7.2,7.15,2.0,0.0,0.8906260937499999,70.375,puts,0.03126110124333925
BMY230421P00080000,BMY,2023-04-21 13:51:58,2023-04-21,80.0,9.8,9.6,9.7,9.649999999999999,5.0,5.0,1.140629296875,70.375,puts,0.03126110124333925
BMY230421P00085000,BMY,2023-04-06 19:36:25,2023-04-21,85.0,14.45,14.6,14.7,14.649999999999999,61.0,0.0,1.5781271093749998,70.375,puts,0.03126110124333925
BMY230421P00090000,BMY,2023-02-24 19:21:48,2023-04-21,90.0,19.7,22.65,23.25,22.95,3.0,17.0,6.207033491210938,70.375,puts,0.03126110124333925
BMY230421P00095000,BMY,2023-02-24 19:46:25,2023-04-21,95.0,24.75,27.3,28.35,27.825000000000003,2.0,19.0,6.79101713623047,70.375,puts,0.03126110124333925
BMY230421P00110000,BMY,2023-03-09 17:57:56,2023-04-21,110.0,43.2,38.55,40.05,39.3,1.0,0.0,5.0312537109374995,70.375,puts,0.03126110124333925
BMY230428C00050000,BMY,2023-04-12 19:59:14,2023-04-28,50.0,20.3,20.35,20.45,20.4,0.0,7.0,0.9687503125,70.375,calls,0.03126110124333925
BMY230428C00057000,BMY,2023-03-21 19:39:49,2023-04-28,57.0,10.64,12.55,12.8,12.675,0.0,0.0,1.0000000000000003e-05,70.375,calls,0.03126110124333925
BMY230428C00063000,BMY,2023-04-05 19:29:31,2023-04-28,63.0,6.85,7.4,7.55,7.475,134.0,0.0,0.5214891601562499,70.375,calls,0.03126110124333925
BMY230428C00064000,BMY,2023-04-17 18:59:26,2023-04-28,64.0,6.85,6.4,6.5,6.45,25.0,45.0,0.42774009765625004,70.375,calls,0.03126110124333925
