contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BRKB230421C00160000,BRK-B,2023-03-17 19:39:47,2023-04-21,160.0,135.86,158.0,162.1,160.05,2.0,2.0,1.0000000000000003e-05,323.5799865722656,calls,0.0
BRKB230421C00200000,BRK-B,2023-03-15 17:50:06,2023-04-21,200.0,96.55,118.9,121.25,120.075,7.0,7.0,1.0000000000000003e-05,323.5799865722656,calls,0.0
BRKB230421C00225000,BRK-B,2023-03-30 19:36:40,2023-04-21,225.0,80.71,98.4,98.9,98.65,9.0,9.0,2.74219064453125,323.5799865722656,calls,0.0
BRKB230421C00245000,BRK-B,2023-04-06 14:45:33,2023-04-21,245.0,65.51,78.45,78.9,78.67500000000001,1.0,0.0,2.2343794140624995,323.5799865722656,calls,0.0
BRKB230421C00250000,BRK-B,2023-04-21 17:38:14,2023-04-21,250.0,73.6,73.5,73.9,73.7,10.0,31.0,2.14844212890625,323.5799865722656,calls,0.0
BRKB230421C00260000,BRK-B,2023-04-20 17:34:09,2023-04-21,260.0,63.73,63.4,63.85,63.625,25.0,198.0,1.6484392578125,323.5799865722656,calls,0.0
BRKB230421C00265000,BRK-B,2023-04-20 18:23:49,2023-04-21,265.0,59.2,58.5,58.85,58.675,1.0,1.0,1.6640641796875002,323.5799865722656,calls,0.0
BRKB230421C00270000,BRK-B,2023-04-20 17:34:09,2023-04-21,270.0,53.75,53.4,53.8,53.599999999999994,28.0,203.0,1.2734411328124997,323.5799865722656,calls,0.0
BRKB230421C00275000,BRK-B,2023-04-21 18:42:42,2023-04-21,275.0,48.78,48.35,48.9,48.625,47.0,59.0,1.2656286718749998,323.5799865722656,calls,0.0
BRKB230421C00280000,BRK-B,2023-04-21 17:58:55,2023-04-21,280.0,44.25,43.45,43.85,43.650000000000006,24.0,48.0,1.203128984375,323.5799865722656,calls,0.0
BRKB230421C00282500,BRK-B,2023-03-27 16:02:09,2023-04-21,282.5,22.15,40.0,41.85,40.925,1.0,1.0,1.7138686181640623,323.5799865722656,calls,0.0
BRKB230421C00285000,BRK-B,2023-04-21 18:35:24,2023-04-21,285.0,38.75,38.4,38.85,38.625,1.0,14.0,1.015629921875,323.5799865722656,calls,0.0
BRKB230421C00290000,BRK-B,2023-04-19 14:22:27,2023-04-21,290.0,33.88,33.25,33.9,33.575,3.0,77.0,1.203128984375,323.5799865722656,calls,0.0
BRKB230421C00292500,BRK-B,2023-04-20 13:39:15,2023-04-21,292.5,29.53,30.3,31.65,30.975,1.0,2.0,1.2685583447265623,323.5799865722656,calls,0.0
BRKB230421C00295000,BRK-B,2023-04-21 18:15:43,2023-04-21,295.0,28.96,28.45,28.85,28.65,41.0,98.0,0.8125018749999999,323.5799865722656,calls,0.0
BRKB230421C00297500,BRK-B,2023-04-21 15:34:17,2023-04-21,297.5,25.73,26.0,26.35,26.175,2.0,18.0,0.7832052929687501,323.5799865722656,calls,0.0
BRKB230421C00300000,BRK-B,2023-04-21 17:43:40,2023-04-21,300.0,23.93,23.45,23.95,23.7,15.0,3218.0,0.74414318359375,323.5799865722656,calls,0.0
BRKB230421C00302500,BRK-B,2023-04-21 13:50:45,2023-04-21,302.5,19.75,21.0,21.35,21.175,1.0,299.0,0.65039412109375,323.5799865722656,calls,0.0
BRKB230421C00305000,BRK-B,2023-04-21 18:32:55,2023-04-21,305.0,18.75,18.4,18.8,18.6,36.0,848.0,0.6777375976562501,323.5799865722656,calls,0.0
BRKB230421C00307500,BRK-B,2023-04-21 16:47:37,2023-04-21,307.5,16.05,16.05,16.4,16.225,5.0,259.0,0.5537154003906251,323.5799865722656,calls,0.0
BRKB230421C00310000,BRK-B,2023-04-21 18:43:18,2023-04-21,310.0,13.6,13.45,13.75,13.6,69.0,8253.0,0.49609878906250005,323.5799865722656,calls,0.0
BRKB230421C00312500,BRK-B,2023-04-21 18:47:46,2023-04-21,312.5,11.3,11.0,11.35,11.175,54.0,136.0,0.46680220703125,323.5799865722656,calls,0.0
BRKB230421C00315000,BRK-B,2023-04-21 18:36:18,2023-04-21,315.0,8.67,8.55,8.9,8.725000000000001,123.0,1225.0,0.401373173828125,323.5799865722656,calls,0.0
BRKB230421C00317500,BRK-B,2023-04-21 18:51:19,2023-04-21,317.5,6.2,6.2,6.35,6.275,105.0,496.0,0.2978585839843749,323.5799865722656,calls,0.0
BRKB230421C00320000,BRK-B,2023-04-21 18:44:42,2023-04-21,320.0,3.9,3.5,3.85,3.675,691.0,2130.0,0.20557435058593748,323.5799865722656,calls,0.0
BRKB230421C00322500,BRK-B,2023-04-21 18:50:14,2023-04-21,322.5,1.35,1.07,1.45,1.26,175.0,454.0,0.118172880859375,323.5799865722656,calls,0.0
BRKB230421C00325000,BRK-B,2023-04-21 18:40:42,2023-04-21,325.0,0.03,0.01,0.06,0.034999999999999996,504.0,2993.0,0.06788041503906252,323.5799865722656,calls,0.0
