contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CMCSA230421C00015000,CMCSA,2023-03-01 15:32:23,2023-04-21,15.0,21.65,22.8,23.05,22.925,4.0,5,10.281253574218752,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00017500,CMCSA,2023-01-25 14:52:29,2023-04-21,17.5,22.55,19.55,19.85,19.700000000000003,0.0,6,1.0000000000000003e-05,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00020000,CMCSA,2023-04-19 19:52:25,2023-04-21,20.0,18.3,17.7,17.85,17.775,1.0,1,6.0156274804687495,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00022500,CMCSA,2022-11-23 16:37:39,2023-04-21,22.5,13.38,12.75,12.95,12.85,3.0,4,1.0000000000000003e-05,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00025000,CMCSA,2023-04-11 13:31:45,2023-04-21,25.0,13.5,12.7,12.85,12.774999999999999,5.0,9,4.0937548828125,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00027500,CMCSA,2023-04-11 13:31:45,2023-04-21,27.5,11.0,10.2,10.3,10.25,10.0,10,3.031252421875,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00030000,CMCSA,2023-04-18 13:53:07,2023-04-21,30.0,8.5,7.7,7.85,7.775,1.0,73,2.4843787890625,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00032500,CMCSA,2023-04-21 18:51:07,2023-04-21,32.5,5.23,5.2,5.3,5.25,87.0,343,1.6015644921874999,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00033000,CMCSA,2023-04-03 19:25:08,2023-04-21,33.0,5.12,4.7,4.8,4.75,0.0,0,1.46875265625,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00034500,CMCSA,2023-04-04 13:32:43,2023-04-21,34.5,3.6,3.2,3.35,3.2750000000000004,0.0,0,1.1640666796875,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00035000,CMCSA,2023-04-21 18:42:08,2023-04-21,35.0,2.72,2.71,2.8,2.755,25.0,13863,0.937500625,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00035500,CMCSA,2023-03-30 19:52:16,2023-04-21,35.5,1.86,2.22,2.31,2.265,1.0,158,0.8281267187499999,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00036000,CMCSA,2023-04-21 18:45:24,2023-04-21,36.0,1.74,1.72,1.8,1.76,1.0,307,0.6640658593750002,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00036500,CMCSA,2023-04-20 15:55:03,2023-04-21,36.5,1.46,1.22,1.31,1.2650000000000001,1.0,316,0.5273484765625001,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00037000,CMCSA,2023-04-21 18:11:02,2023-04-21,37.0,0.81,0.72,0.81,0.765,14.0,914,0.44922425781249997,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00037500,CMCSA,2023-04-21 18:51:16,2023-04-21,37.5,0.27,0.25,0.3,0.275,210.0,28156,0.22852333984375,37.70500183105469,calls,0.028643414601573835
CMCSA230421C00038000,CMCSA,2023-04-21 18:23:09,2023-04-21,38.0,0.04,0.01,0.03,0.02,216.0,1612,0.1601646484375,37.70500183105469,calls,0.028643414601573835
CMCSA230421P00037500,CMCSA,2023-04-21 17:31:03,2023-04-21,37.5,0.05,0.01,0.04,0.025,8.0,16023,0.1445398046875,37.70500183105469,puts,0.028643414601573835
CMCSA230421P00038000,CMCSA,2023-04-21 18:24:18,2023-04-21,38.0,0.24,0.21,0.29,0.25,74.0,403,1.0000000000000003e-05,37.70500183105469,puts,0.028643414601573835
CMCSA230421P00038500,CMCSA,2023-04-20 19:40:50,2023-04-21,38.5,0.83,0.71,0.79,0.75,15.0,281,1.0000000000000003e-05,37.70500183105469,puts,0.028643414601573835
