contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
COP230421C00050000,COP,2023-03-27 19:54:16,2023-04-21,50.0,47.75,52.0,52.15,52.075,5.0,7,7.078126152343751,101.80000305175781,calls,0.05063404027527138
COP230421C00075000,COP,2023-04-20 16:35:34,2023-04-21,75.0,28.0,26.9,27.15,27.025,10.0,19,3.281251796875,101.80000305175781,calls,0.05063404027527138
COP230421C00080000,COP,2023-04-21 16:46:30,2023-04-21,80.0,22.1,22.0,22.15,22.075,10.0,36,2.7968780078125004,101.80000305175781,calls,0.05063404027527138
COP230421C00083000,COP,2023-04-03 14:50:02,2023-04-21,83.0,24.55,19.0,19.15,19.075,0.0,6,2.441410146484375,101.80000305175781,calls,0.05063404027527138
COP230421C00085000,COP,2023-03-23 18:03:24,2023-04-21,85.0,12.29,17.0,17.15,17.075,20.0,30,2.2109419726562494,101.80000305175781,calls,0.05063404027527138
COP230421C00087000,COP,2023-04-20 13:44:40,2023-04-21,87.0,15.95,14.95,15.1,15.024999999999999,1.0,6,1.89453177734375,101.80000305175781,calls,0.05063404027527138
COP230421C00087500,COP,2023-03-16 14:46:24,2023-04-21,87.5,8.4,21.0,21.3,21.15,0.0,14,6.491212823486329,101.80000305175781,calls,0.05063404027527138
COP230421C00088000,COP,2023-04-05 17:13:37,2023-04-21,88.0,19.45,14.0,14.15,14.075,0.0,10,1.86328193359375,101.80000305175781,calls,0.05063404027527138
COP230421C00090000,COP,2023-04-21 17:57:37,2023-04-21,90.0,12.35,11.95,12.1,12.024999999999999,6.0,479,1.5625021874999998,101.80000305175781,calls,0.05063404027527138
COP230421C00091000,COP,2023-04-20 14:14:28,2023-04-21,91.0,12.0,11.0,11.15,11.075,11.0,23,1.5195336523437497,101.80000305175781,calls,0.05063404027527138
COP230421C00092000,COP,2023-03-27 15:29:39,2023-04-21,92.0,6.47,9.95,10.15,10.05,0.0,1,1.3730500097656249,101.80000305175781,calls,0.05063404027527138
COP230421C00092500,COP,2023-04-18 15:40:26,2023-04-21,92.5,12.55,9.5,9.65,9.575,16.0,106,1.3476595117187498,101.80000305175781,calls,0.05063404027527138
COP230421C00093000,COP,2023-04-20 13:50:10,2023-04-21,93.0,10.05,9.0,9.15,9.075,4.0,70,1.2890660546875,101.80000305175781,calls,0.05063404027527138
COP230421C00094000,COP,2023-03-23 19:36:59,2023-04-21,94.0,5.55,7.95,8.15,8.05,0.0,35,1.1445355273437499,101.80000305175781,calls,0.05063404027527138
COP230421C00095000,COP,2023-04-21 17:41:02,2023-04-21,95.0,7.22,7.0,7.15,7.075,14.0,773,1.056645341796875,101.80000305175781,calls,0.05063404027527138
COP230421C00096000,COP,2023-04-19 17:19:15,2023-04-21,96.0,9.42,6.0,6.15,6.075,6.0,363,0.937500625,101.80000305175781,calls,0.05063404027527138
COP230421C00097000,COP,2023-04-21 18:05:32,2023-04-21,97.0,5.37,4.95,5.1,5.025,1.0,363,0.7695335546875001,101.80000305175781,calls,0.05063404027527138
COP230421C00097500,COP,2023-04-21 17:59:53,2023-04-21,97.5,4.88,4.5,4.65,4.575,618.0,1076,0.75586181640625,101.80000305175781,calls,0.05063404027527138
COP230421C00098000,COP,2023-04-20 17:01:21,2023-04-21,98.0,5.4,4.0,4.15,4.075,80.0,230,0.69336244140625,101.80000305175781,calls,0.05063404027527138
COP230421C00099000,COP,2023-04-21 13:52:04,2023-04-21,99.0,4.32,3.0,3.15,3.075,4.0,263,0.5644574804687501,101.80000305175781,calls,0.05063404027527138
