contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
COST230421C00230000,COST,2023-03-14 17:41:44,2023-04-21,230.0,251.5,265.05,271.15,268.1,3.0,0.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00240000,COST,2022-11-15 19:58:43,2023-04-21,240.0,293.34,226.15,229.6,227.875,1.0,1.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00250000,COST,2023-01-06 14:30:06,2023-04-21,250.0,218.9,266.1,269.85,267.975,1.0,1.0,11.26269827331543,506.489990234375,calls,0.006933996856235686
COST230421C00270000,COST,2023-03-14 17:45:08,2023-04-21,270.0,211.0,225.2,231.2,228.2,1.0,0.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00280000,COST,2023-01-24 14:33:12,2023-04-21,280.0,213.0,215.5,219.9,217.7,1.0,6.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00300000,COST,2023-04-20 16:36:57,2023-04-21,300.0,210.0,202.15,210.65,206.4,1.0,13.0,6.751954685058594,506.489990234375,calls,0.006933996856235686
COST230421C00310000,COST,2023-01-03 18:54:47,2023-04-21,310.0,147.27,214.35,218.6,216.475,2.0,0.0,10.1875036328125,506.489990234375,calls,0.006933996856235686
COST230421C00320000,COST,2023-01-30 16:58:10,2023-04-21,320.0,186.05,159.3,162.5,160.9,2.0,0.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00345000,COST,2022-12-29 17:55:56,2023-04-21,345.0,119.32,160.9,163.9,162.4,0.0,1.0,3.8466800708007813,506.489990234375,calls,0.006933996856235686
COST230421C00350000,COST,2023-02-16 17:19:21,2023-04-21,350.0,161.5,136.5,141.5,139.0,6.0,13.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00355000,COST,2022-09-27 18:07:01,2023-04-21,355.0,138.35,152.75,155.65,154.2,0.0,1.0,4.448246627197266,506.489990234375,calls,0.006933996856235686
COST230421C00360000,COST,2023-04-12 18:35:18,2023-04-21,360.0,132.9,145.75,146.9,146.325,4.0,6.0,3.0664085839843747,506.489990234375,calls,0.006933996856235686
COST230421C00365000,COST,2022-12-16 20:44:56,2023-04-21,365.0,108.2,123.85,127.45,125.65,2.0,2.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
COST230421C00370000,COST,2022-09-27 18:55:04,2023-04-21,370.0,127.25,138.85,142.3,140.575,0.0,5.0,4.4399458563232415,506.489990234375,calls,0.006933996856235686
COST230421C00375000,COST,2023-03-01 15:05:25,2023-04-21,375.0,107.77,120.55,125.05,122.8,1.0,4.0,1.0000000000000003e-05,506.489990234375,calls,0.006933996856235686
