contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CRM230421C00085000,CRM,2023-03-02 15:12:51,2023-04-21,85.0,102.69,114.25,115.6,114.925,2.0,2.0,9.617191489257813,198.72000122070312,calls,0.0
CRM230421C00090000,CRM,2023-04-13 15:04:50,2023-04-21,90.0,102.83,108.75,109.1,108.925,1.0,0.0,6.76562654296875,198.72000122070312,calls,0.0
CRM230421C00100000,CRM,2023-03-22 18:13:24,2023-04-21,100.0,90.15,98.75,99.1,98.925,0.0,1.0,5.929690087890625,198.72000122070312,calls,0.0
CRM230421C00105000,CRM,2023-03-01 14:41:44,2023-04-21,105.0,60.82,94.5,95.8,95.15,0.0,1.0,7.7500003125,198.72000122070312,calls,0.0
CRM230421C00115000,CRM,2023-03-02 18:59:02,2023-04-21,115.0,73.35,84.6,85.65,85.125,2.0,3.0,6.7714859106445315,198.72000122070312,calls,0.0
CRM230421C00120000,CRM,2023-04-17 16:39:44,2023-04-21,120.0,76.65,78.7,78.95,78.825,3.0,9.0,4.1015673730468745,198.72000122070312,calls,0.0
CRM230421C00125000,CRM,2023-02-09 14:30:12,2023-04-21,125.0,50.05,48.3,49.6,48.95,1.0,6.0,1.0000000000000003e-05,198.72000122070312,calls,0.0
CRM230421C00130000,CRM,2023-04-21 14:44:31,2023-04-21,130.0,67.4,68.75,68.95,68.85,1.0,11.0,3.6093759765625,198.72000122070312,calls,0.0
CRM230421C00135000,CRM,2023-04-21 15:50:54,2023-04-21,135.0,62.59,63.75,63.95,63.85,1.0,62.0,3.3203141992187497,198.72000122070312,calls,0.0
CRM230421C00140000,CRM,2023-04-21 14:12:04,2023-04-21,140.0,57.14,58.75,58.95,58.85,1.0,15.0,3.042971142578125,198.72000122070312,calls,0.0
CRM230421C00145000,CRM,2023-04-21 15:32:39,2023-04-21,145.0,52.8,53.7,54.05,53.875,31.0,103.0,2.843752890625,198.72000122070312,calls,0.0
CRM230421C00150000,CRM,2023-04-21 18:29:46,2023-04-21,150.0,49.0,48.75,49.05,48.9,7.0,338.0,2.6328159179687503,198.72000122070312,calls,0.0
CRM230421C00155000,CRM,2023-04-21 18:19:45,2023-04-21,155.0,43.88,43.7,44.0,43.85,17.0,276.0,2.2500043749999996,198.72000122070312,calls,0.0
CRM230421C00157500,CRM,2023-04-21 18:49:17,2023-04-21,157.5,41.35,41.25,41.45,41.35,3.0,3.0,2.1250046874999997,198.72000122070312,calls,0.0
CRM230421C00160000,CRM,2023-04-21 16:27:21,2023-04-21,160.0,37.94,38.65,38.95,38.8,15.0,368.0,1.8671881640625,198.72000122070312,calls,0.0
CRM230421C00162500,CRM,2023-04-21 18:35:18,2023-04-21,162.5,36.3,36.25,36.45,36.35,3.0,22.0,1.875000625,198.72000122070312,calls,0.0
CRM230421C00165000,CRM,2023-04-21 18:09:45,2023-04-21,165.0,33.8,33.75,33.95,33.85,10.0,3233.0,1.75000125,198.72000122070312,calls,0.0
