contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CSCO230421C00020000,CSCO,2023-04-19 13:30:05,2023-04-21,20.0,29.2,26.85,26.95,26.9,2.0,11,6.87500140625,46.91740036010742,calls,0.03239736192400835
CSCO230421C00022500,CSCO,2022-10-13 15:21:17,2023-04-21,22.5,18.1,22.15,22.8,22.475,0.0,1,1.0000000000000003e-05,46.91740036010742,calls,0.03239736192400835
CSCO230421C00025000,CSCO,2023-04-03 19:46:02,2023-04-21,25.0,27.35,21.8,21.95,21.875,63.0,0,5.187503515625,46.91740036010742,calls,0.03239736192400835
CSCO230421C00027500,CSCO,2023-03-27 19:55:00,2023-04-21,27.5,23.1,19.3,19.45,19.375,1.0,0,4.4687544140624995,46.91740036010742,calls,0.03239736192400835
CSCO230421C00030000,CSCO,2023-04-21 16:05:22,2023-04-21,30.0,16.57,16.8,16.95,16.875,30.0,30,3.81250046875,46.91740036010742,calls,0.03239736192400835
CSCO230421C00032500,CSCO,2023-04-03 19:44:57,2023-04-21,32.5,19.85,14.3,14.45,14.375,146.0,0,3.1875020312499998,46.91740036010742,calls,0.03239736192400835
CSCO230421C00035000,CSCO,2023-04-12 19:35:49,2023-04-21,35.0,15.2,11.85,11.9,11.875,3.0,0,1.0000000000000003e-05,46.91740036010742,calls,0.03239736192400835
CSCO230421C00037500,CSCO,2023-04-17 18:59:23,2023-04-21,37.5,12.73,9.3,9.45,9.375,5.0,57,2.0781298046874994,46.91740036010742,calls,0.03239736192400835
CSCO230421C00040000,CSCO,2023-04-20 18:36:00,2023-04-21,40.0,6.9,6.8,6.95,6.875,4.0,34,1.5468772656249998,46.91740036010742,calls,0.03239736192400835
CSCO230421C00042000,CSCO,2023-04-21 17:51:05,2023-04-21,42.0,4.9,4.85,4.95,4.9,1.0,12,1.140629296875,46.91740036010742,calls,0.03239736192400835
CSCO230421C00042500,CSCO,2023-04-13 18:00:53,2023-04-21,42.5,8.2,4.3,4.45,4.375,2.0,9,1.0312548437500002,46.91740036010742,calls,0.03239736192400835
CSCO230421C00043000,CSCO,2023-04-11 16:36:18,2023-04-21,43.0,7.65,3.85,3.95,3.9000000000000004,45.0,56,0.937500625,46.91740036010742,calls,0.03239736192400835
CSCO230421C00044000,CSCO,2023-04-05 16:16:03,2023-04-21,44.0,7.8,2.84,2.92,2.88,1.0,1,0.500005,46.91740036010742,calls,0.03239736192400835
CSCO230421C00044500,CSCO,2023-04-21 14:33:25,2023-04-21,44.5,2.24,2.36,2.43,2.395,1.0,5,0.51562984375,46.91740036010742,calls,0.03239736192400835
CSCO230421C00045000,CSCO,2023-04-21 18:33:13,2023-04-21,45.0,1.86,1.85,1.9,1.875,15.0,100,1.0000000000000003e-05,46.91740036010742,calls,0.03239736192400835
CSCO230421C00045500,CSCO,2023-04-21 18:33:13,2023-04-21,45.5,1.38,1.36,1.44,1.4,79.0,74,0.37500625,46.91740036010742,calls,0.03239736192400835
