contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CVS230421C00045000,CVS,2023-04-19 19:53:28,2023-04-21,45.0,29.15,27.6,27.8,27.700000000000003,52.0,0,3.843750390625,72.66619873046875,calls,0.03128460512659417
CVS230421C00047500,CVS,2023-04-19 19:53:30,2023-04-21,47.5,26.66,24.95,25.5,25.225,5.0,0,3.718750703125,72.66619873046875,calls,0.03128460512659417
CVS230421C00050000,CVS,2023-04-19 18:47:12,2023-04-21,50.0,24.1,22.65,22.8,22.725,197.0,0,3.3281266796874993,72.66619873046875,calls,0.03128460512659417
CVS230421C00055000,CVS,2023-04-19 18:47:12,2023-04-21,55.0,19.25,17.65,17.75,17.7,205.0,0,2.3750040624999995,72.66619873046875,calls,0.03128460512659417
CVS230421C00060000,CVS,2023-04-19 19:22:57,2023-04-21,60.0,14.1,12.65,12.75,12.7,1374.0,0,1.703126484375,72.66619873046875,calls,0.03128460512659417
CVS230421C00063000,CVS,2023-04-19 18:47:12,2023-04-21,63.0,11.12,9.65,9.8,9.725000000000001,188.0,0,1.4453152734375,72.66619873046875,calls,0.03128460512659417
CVS230421C00064000,CVS,2023-04-19 18:47:12,2023-04-21,64.0,10.1,8.65,8.8,8.725000000000001,162.0,0,1.3125034374999998,72.66619873046875,calls,0.03128460512659417
CVS230421C00065000,CVS,2023-04-20 16:07:25,2023-04-21,65.0,8.38,7.65,7.8,7.725,10.0,11,1.1796916015624999,72.66619873046875,calls,0.03128460512659417
CVS230421C00066000,CVS,2023-04-19 18:45:16,2023-04-21,66.0,8.1,6.7,6.8,6.75,229.0,0,1.1171919140625,72.66619873046875,calls,0.03128460512659417
CVS230421C00067000,CVS,2023-04-19 18:45:16,2023-04-21,67.0,7.25,5.65,5.75,5.7,296.0,0,0.8203142968749999,72.66619873046875,calls,0.03128460512659417
CVS230421C00067500,CVS,2023-04-19 19:07:38,2023-04-21,67.5,6.63,5.15,5.25,5.2,480.0,0,0.7578149218750001,72.66619873046875,calls,0.03128460512659417
CVS230421C00068000,CVS,2023-04-20 13:42:28,2023-04-21,68.0,5.1,4.65,4.75,4.7,1.0,1,0.6953155468750001,72.66619873046875,calls,0.03128460512659417
CVS230421C00069000,CVS,2023-04-21 17:25:27,2023-04-21,69.0,3.95,3.65,3.8,3.7249999999999996,25.0,0,0.632816171875,72.66619873046875,calls,0.03128460512659417
CVS230421C00070000,CVS,2023-04-21 18:46:39,2023-04-21,70.0,2.7,2.69,2.77,2.73,15.0,39,0.500005,72.66619873046875,calls,0.03128460512659417
CVS230421C00071000,CVS,2023-04-21 16:44:24,2023-04-21,71.0,1.7,1.69,1.78,1.7349999999999999,4.0,0,0.414068359375,72.66619873046875,calls,0.03128460512659417
CVS230421C00072000,CVS,2023-04-21 17:40:37,2023-04-21,72.0,0.87,0.69,0.79,0.74,40.0,12,0.24024197265624997,72.66619873046875,calls,0.03128460512659417
CVS230421C00072500,CVS,2023-04-21 16:56:21,2023-04-21,72.5,0.33,0.24,0.27,0.255,232.0,26,0.11524322265625,72.66619873046875,calls,0.03128460512659417
CVS230421C00073000,CVS,2023-04-21 18:49:03,2023-04-21,73.0,0.02,0.02,0.04,0.03,305.0,160,0.09961837890625,72.66619873046875,calls,0.03128460512659417
CVS230421P00072500,CVS,2023-04-21 18:32:13,2023-04-21,72.5,0.06,0.03,0.04,0.035,227.0,2870,0.06739213867187502,72.66619873046875,puts,0.03128460512659417
CVS230421P00073000,CVS,2023-04-21 18:48:04,2023-04-21,73.0,0.32,0.25,0.31,0.28,216.0,781,1.0000000000000003e-05,72.66619873046875,puts,0.03128460512659417
CVS230421P00074000,CVS,2023-04-21 18:49:14,2023-04-21,74.0,1.3,1.24,1.31,1.275,220.0,927,1.0000000000000003e-05,72.66619873046875,puts,0.03128460512659417
CVS230421P00075000,CVS,2023-04-21 18:42:05,2023-04-21,75.0,2.28,2.22,2.32,2.27,102.0,3346,1.0000000000000003e-05,72.66619873046875,puts,0.03128460512659417
CVS230421P00076000,CVS,2023-04-21 18:40:59,2023-04-21,76.0,3.32,3.25,3.35,3.3,44.0,569,0.437505625,72.66619873046875,puts,0.03128460512659417
CVS230421P00077000,CVS,2023-04-21 17:50:19,2023-04-21,77.0,4.13,4.25,4.35,4.3,36.0,694,0.5468795312500001,72.66619873046875,puts,0.03128460512659417
CVS230421P00077500,CVS,2023-04-21 15:27:01,2023-04-21,77.5,4.86,4.75,4.85,4.8,8.0,489,0.5937540625000001,72.66619873046875,puts,0.03128460512659417
CVS230421P00078000,CVS,2023-04-21 13:55:52,2023-04-21,78.0,4.74,5.2,5.35,5.275,10.0,175,0.64062859375,72.66619873046875,puts,0.03128460512659417
CVS230421P00079000,CVS,2023-04-21 14:37:43,2023-04-21,79.0,6.08,6.2,6.35,6.275,30.0,134,0.73437765625,72.66619873046875,puts,0.03128460512659417
CVS230421P00080000,CVS,2023-04-21 18:03:03,2023-04-21,80.0,7.1,7.2,7.3,7.25,56.0,438,1.0000000000000003e-05,72.66619873046875,puts,0.03128460512659417
CVS230421P00081000,CVS,2023-04-20 19:20:05,2023-04-21,81.0,7.74,8.2,8.35,8.274999999999999,6.0,51,0.92187578125,72.66619873046875,puts,0.03128460512659417
CVS230421P00082000,CVS,2023-04-18 14:43:27,2023-04-21,82.0,6.55,9.2,9.35,9.274999999999999,10.0,32,1.015629921875,72.66619873046875,puts,0.03128460512659417
CVS230421P00082500,CVS,2023-04-21 17:12:06,2023-04-21,82.5,9.6,9.7,9.85,9.774999999999999,20.0,961,1.0625046875000002,72.66619873046875,puts,0.03128460512659417
CVS230421P00083000,CVS,2023-04-20 18:36:32,2023-04-21,83.0,9.57,10.2,10.35,10.274999999999999,1.0,32,1.09375453125,72.66619873046875,puts,0.03128460512659417
CVS230421P00084000,CVS,2023-04-20 15:05:19,2023-04-21,84.0,10.67,11.2,11.35,11.274999999999999,1.0,9,1.1875040625,72.66619873046875,puts,0.03128460512659417
CVS230421P00085000,CVS,2023-04-21 18:22:47,2023-04-21,85.0,12.25,12.25,12.3,12.275,8.0,510,1.0000000000000003e-05,72.66619873046875,puts,0.03128460512659417
CVS230421P00086000,CVS,2023-04-18 14:46:02,2023-04-21,86.0,10.45,13.2,13.35,13.274999999999999,10.0,44,1.3437532812499997,72.66619873046875,puts,0.03128460512659417
CVS230421P00087000,CVS,2023-03-30 13:51:06,2023-04-21,87.0,12.55,14.2,14.35,14.274999999999999,7.0,25,1.4375028125,72.66619873046875,puts,0.03128460512659417
CVS230421P00087500,CVS,2023-04-21 17:12:06,2023-04-21,87.5,14.6,14.7,14.85,14.774999999999999,13.0,451,1.46875265625,72.66619873046875,puts,0.03128460512659417
CVS230421P00090000,CVS,2023-04-21 17:27:43,2023-04-21,90.0,17.05,17.2,17.35,17.275,5.0,263,1.65625171875,72.66619873046875,puts,0.03128460512659417
CVS230421P00092500,CVS,2023-04-21 17:12:06,2023-04-21,92.5,19.6,19.7,19.85,19.775,10.0,17,1.8437507812499998,72.66619873046875,puts,0.03128460512659417
CVS230421P00095000,CVS,2023-04-19 13:51:29,2023-04-21,95.0,20.9,22.25,22.35,22.3,5.0,0,2.031254921875,72.66619873046875,puts,0.03128460512659417
CVS230421P00097500,CVS,2023-04-05 16:54:39,2023-04-21,97.5,20.5,24.7,24.85,24.775,10.0,0,2.1875045312499997,72.66619873046875,puts,0.03128460512659417
CVS230421P00100000,CVS,2023-04-05 16:54:39,2023-04-21,100.0,23.0,27.0,27.35,27.175,2.0,0,2.3750040624999995,72.66619873046875,puts,0.03128460512659417
CVS230428C00050000,CVS,2023-04-20 18:25:29,2023-04-28,50.0,23.7,22.7,22.85,22.775,7.0,10,1.2890660546875,72.66619873046875,calls,0.03128460512659417
CVS230428C00055000,CVS,2023-04-13 16:15:41,2023-04-28,55.0,20.45,17.75,17.85,17.8,5.0,0,1.0371141894531253,72.66619873046875,calls,0.03128460512659417
CVS230428C00061000,CVS,2023-04-12 14:10:06,2023-04-28,61.0,15.0,11.75,11.85,11.8,0.0,0,0.7050810742187501,72.66619873046875,calls,0.03128460512659417
CVS230428C00065000,CVS,2023-04-20 13:51:04,2023-04-28,65.0,8.55,7.75,7.85,7.8,5.0,5,0.526371923828125,72.66619873046875,calls,0.03128460512659417
CVS230428C00067000,CVS,2023-04-20 13:32:57,2023-04-28,67.0,6.15,5.75,5.9,5.825,2.0,2,0.4414118359375,72.66619873046875,calls,0.03128460512659417
CVS230428C00068000,CVS,2023-03-13 13:48:38,2023-04-28,68.0,9.7,6.75,7.15,6.95,5.0,4,1.0151416430664062,72.66619873046875,calls,0.03128460512659417
CVS230428C00070000,CVS,2023-04-21 16:28:27,2023-04-28,70.0,2.84,2.91,3.05,2.98,45.0,27,0.3100654931640625,72.66619873046875,calls,0.03128460512659417
CVS230428C00071000,CVS,2023-04-21 14:57:04,2023-04-28,71.0,2.07,2.01,2.1,2.0549999999999997,5.0,1,0.2514723291015625,72.66619873046875,calls,0.03128460512659417
CVS230428C00072000,CVS,2023-04-21 18:32:55,2023-04-28,72.0,1.28,1.3,1.34,1.32,165.0,27,0.22705851074218747,72.66619873046875,calls,0.03128460512659417
CVS230428C00073000,CVS,2023-04-21 18:45:58,2023-04-28,73.0,0.74,0.73,0.74,0.735,677.0,217,0.20850400878906244,72.66619873046875,calls,0.03128460512659417
CVS230428C00074000,CVS,2023-04-21 18:49:30,2023-04-28,74.0,0.34,0.33,0.34,0.335,534.0,781,0.1948322705078125,72.66619873046875,calls,0.03128460512659417
CVS230428C00075000,CVS,2023-04-21 18:42:05,2023-04-28,75.0,0.14,0.14,0.15,0.14500000000000002,968.0,1705,0.196297099609375,72.66619873046875,calls,0.03128460512659417
CVS230428C00076000,CVS,2023-04-21 18:26:36,2023-04-28,76.0,0.08,0.07,0.08,0.07500000000000001,259.0,914,0.21192194335937498,72.66619873046875,calls,0.03128460512659417
CVS230428C00077000,CVS,2023-04-21 18:24:55,2023-04-28,77.0,0.05,0.04,0.05,0.045,86.0,1028,0.23242955078125,72.66619873046875,calls,0.03128460512659417
CVS230428C00078000,CVS,2023-04-21 18:16:54,2023-04-28,78.0,0.04,0.03,0.04,0.035,59.0,559,0.26367923828125,72.66619873046875,calls,0.03128460512659417
CVS230428C00079000,CVS,2023-04-21 17:33:26,2023-04-28,79.0,0.03,0.03,0.04,0.035,91.0,209,0.3007882421875,72.66619873046875,calls,0.03128460512659417
CVS230428C00080000,CVS,2023-04-21 18:30:44,2023-04-28,80.0,0.04,0.03,0.04,0.035,40.0,1994,0.33789724609375,72.66619873046875,calls,0.03128460512659417
