contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
HD230421C00160000,HD,2023-03-24 19:39:21,2023-04-21,160.0,124.51,139.55,140.2,139.875,10.0,10.0,4.57812927734375,300.1300048828125,calls,0.025828807096534095
HD230421C00190000,HD,2023-03-07 20:50:04,2023-04-21,190.0,100.8,98.3,99.8,99.05,2.0,0.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00240000,HD,2023-04-17 14:15:26,2023-04-21,240.0,53.5,59.5,60.1,59.8,6.0,14.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00245000,HD,2023-03-01 19:29:38,2023-04-21,245.0,45.7,50.5,51.95,51.225,8.0,9.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00250000,HD,2023-04-19 15:38:34,2023-04-21,250.0,47.6,49.55,50.0,49.775,12.0,25.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00255000,HD,2023-04-17 19:18:07,2023-04-21,255.0,39.87,44.6,44.95,44.775000000000006,1.0,61.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00260000,HD,2023-04-19 14:08:19,2023-04-21,260.0,36.05,39.65,40.05,39.849999999999994,1.0,39.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00262500,HD,2023-04-21 17:57:40,2023-04-21,262.5,37.6,37.2,37.5,37.35,3.0,1.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00265000,HD,2023-04-18 14:56:25,2023-04-21,265.0,33.14,34.65,35.05,34.849999999999994,2.0,35.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00267500,HD,2023-04-20 18:44:30,2023-04-21,267.5,31.16,32.2,32.5,32.35,3.0,57.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00270000,HD,2023-04-21 17:57:40,2023-04-21,270.0,30.1,29.6,29.9,29.75,2.0,40.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00272500,HD,2023-04-20 15:55:14,2023-04-21,272.5,28.2,27.15,27.5,27.325,4.0,24.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00275000,HD,2023-04-20 13:45:35,2023-04-21,275.0,23.0,24.75,24.95,24.85,1.0,1867.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00277500,HD,2023-04-12 13:48:10,2023-04-21,277.5,19.18,22.2,22.55,22.375,2.0,100.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00280000,HD,2023-04-21 15:35:50,2023-04-21,280.0,20.97,19.7,20.1,19.9,18.0,359.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00282500,HD,2023-04-21 14:04:31,2023-04-21,282.5,18.1,17.2,17.5,17.35,2.0,90.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00285000,HD,2023-04-21 18:45:08,2023-04-21,285.0,14.94,14.75,14.95,14.85,49.0,782.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00287500,HD,2023-04-21 17:53:35,2023-04-21,287.5,12.85,12.15,12.4,12.275,9.0,352.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00290000,HD,2023-04-21 18:43:39,2023-04-21,290.0,10.04,9.6,10.05,9.825,226.0,2340.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00292500,HD,2023-04-21 18:37:50,2023-04-21,292.5,7.4,7.1,7.45,7.275,35.0,1074.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
HD230421C00295000,HD,2023-04-21 18:47:46,2023-04-21,295.0,4.77,4.6,4.95,4.775,95.0,2171.0,1.0000000000000003e-05,300.1300048828125,calls,0.025828807096534095
