contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
HON230421C00140000,HON,2023-04-21 18:06:52,2023-04-21,140.0,56.29,55.7,56.1,55.900000000000006,1.0,2.0,2.933596416015625,195.77000427246094,calls,0.020432139309927377
HON230421C00150000,HON,2023-04-12 14:39:56,2023-04-21,150.0,43.8,45.8,46.1,45.95,2.0,5.0,2.5156287109374995,195.77000427246094,calls,0.020432139309927377
HON230421C00165000,HON,2023-02-22 19:29:29,2023-04-21,165.0,32.0,23.4,24.6,24.0,0.0,1.0,1.0000000000000003e-05,195.77000427246094,calls,0.020432139309927377
HON230421C00170000,HON,2023-04-03 19:20:59,2023-04-21,170.0,24.03,25.8,26.1,25.950000000000003,1.0,3.0,1.46484642578125,195.77000427246094,calls,0.020432139309927377
HON230421C00175000,HON,2023-04-10 17:24:55,2023-04-21,175.0,17.1,20.8,21.1,20.950000000000003,1.0,3.0,1.2109414453124998,195.77000427246094,calls,0.020432139309927377
HON230421C00180000,HON,2023-04-21 13:53:59,2023-04-21,180.0,17.05,15.7,16.1,15.9,3.0,12.0,0.8984385156249999,195.77000427246094,calls,0.020432139309927377
HON230421C00182500,HON,2023-04-20 13:47:19,2023-04-21,182.5,14.8,13.2,13.6,13.399999999999999,1.0,4.0,0.7753928710937501,195.77000427246094,calls,0.020432139309927377
HON230421C00185000,HON,2023-04-21 16:05:27,2023-04-21,185.0,11.1,10.8,11.1,10.95,7.0,288.0,0.6962920996093751,195.77000427246094,calls,0.020432139309927377
HON230421C00187500,HON,2023-04-14 19:40:00,2023-04-21,187.5,9.5,8.3,8.6,8.45,20.0,78.0,0.5634809277343751,195.77000427246094,calls,0.020432139309927377
HON230421C00190000,HON,2023-04-21 18:42:31,2023-04-21,190.0,6.07,5.7,6.0,5.85,10.0,768.0,0.45508357421875,195.77000427246094,calls,0.020432139309927377
HON230421C00192500,HON,2023-04-21 17:28:29,2023-04-21,192.5,3.29,3.2,3.5,3.35,10.0,202.0,0.30371790039062496,195.77000427246094,calls,0.020432139309927377
HON230421C00195000,HON,2023-04-21 18:46:55,2023-04-21,195.0,0.98,0.85,1.15,1.0,193.0,787.0,0.1713950048828125,195.77000427246094,calls,0.020432139309927377
HON230421P00197500,HON,2023-04-21 18:37:00,2023-04-21,197.5,1.5,1.45,1.7,1.575,14.0,134.0,1.0000000000000003e-05,195.77000427246094,puts,0.020432139309927377
HON230421P00200000,HON,2023-04-21 16:56:18,2023-04-21,200.0,4.4,3.9,4.2,4.05,25.0,245.0,1.0000000000000003e-05,195.77000427246094,puts,0.020432139309927377
HON230421P00202500,HON,2023-04-18 14:51:03,2023-04-21,202.5,5.5,6.4,6.7,6.550000000000001,3.0,0.0,1.0000000000000003e-05,195.77000427246094,puts,0.020432139309927377
