contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
IBM230421C00060000,IBM,2023-04-14 18:55:12,2023-04-21,60.0,67.75,65.5,65.7,65.6,3.0,6.0,6.734376582031251,125.4000015258789,calls,0.0525677824544492
IBM230421C00065000,IBM,2023-03-13 14:18:48,2023-04-21,65.0,62.35,63.2,63.95,63.575,4.0,4.0,10.97656563964844,125.4000015258789,calls,0.0525677824544492
IBM230421C00075000,IBM,2023-04-20 18:48:29,2023-04-21,75.0,51.21,50.5,50.7,50.6,1.0,12.0,4.875003906249999,125.4000015258789,calls,0.0525677824544492
IBM230421C00080000,IBM,2022-08-26 13:41:48,2023-04-21,80.0,53.7,42.85,44.2,43.525000000000006,1.0,1.0,1.0000000000000003e-05,125.4000015258789,calls,0.0525677824544492
IBM230421C00085000,IBM,2023-04-18 14:11:44,2023-04-21,85.0,42.9,40.5,40.7,40.6,5.0,0.0,3.81250046875,125.4000015258789,calls,0.0525677824544492
IBM230421C00090000,IBM,2023-04-06 16:03:17,2023-04-21,90.0,40.78,35.5,35.75,35.625,1.0,2.0,3.3906265234374997,125.4000015258789,calls,0.0525677824544492
IBM230421C00095000,IBM,2023-03-13 14:07:58,2023-04-21,95.0,33.05,33.25,33.95,33.6,3.0,3.0,5.788088702392578,125.4000015258789,calls,0.0525677824544492
IBM230421C00100000,IBM,2023-04-21 15:52:48,2023-04-21,100.0,25.8,25.55,25.75,25.65,1.0,24.0,2.5039099902343747,125.4000015258789,calls,0.0525677824544492
IBM230421C00105000,IBM,2023-03-20 19:18:12,2023-04-21,105.0,20.95,20.15,23.1,21.625,10.0,30.0,3.050783623046875,125.4000015258789,calls,0.0525677824544492
IBM230421C00110000,IBM,2023-04-19 16:23:21,2023-04-21,110.0,16.3,15.5,15.75,15.625,5.0,5.0,1.5664084179687499,125.4000015258789,calls,0.0525677824544492
IBM230421C00112000,IBM,2023-03-20 14:08:33,2023-04-21,112.0,14.45,14.15,14.6,14.375,0.0,1.0,2.063481403808593,125.4000015258789,calls,0.0525677824544492
IBM230421C00113000,IBM,2023-03-23 19:00:02,2023-04-21,113.0,11.8,12.55,12.75,12.65,0.0,7.0,1.3359408203124996,125.4000015258789,calls,0.0525677824544492
IBM230421C00114000,IBM,2023-04-10 15:59:05,2023-04-21,114.0,16.64,11.5,11.75,11.625,4.0,19.0,1.2168007910156249,125.4000015258789,calls,0.0525677824544492
IBM230421C00115000,IBM,2023-04-21 16:49:25,2023-04-21,115.0,10.33,10.55,10.75,10.65,2.0,131.0,1.15625421875,125.4000015258789,calls,0.0525677824544492
IBM230421C00116000,IBM,2023-04-20 17:42:16,2023-04-21,116.0,10.85,9.55,9.7,9.625,32.0,39.0,1.0410204199218753,125.4000015258789,calls,0.0525677824544492
IBM230421C00117000,IBM,2023-04-21 14:56:26,2023-04-21,117.0,8.9,8.55,8.7,8.625,1.0,17.0,0.9511723632812499,125.4000015258789,calls,0.0525677824544492
IBM230421C00118000,IBM,2023-04-21 18:49:14,2023-04-21,118.0,7.59,7.55,7.7,7.625,1.0,39.0,0.86132951171875,125.4000015258789,calls,0.0525677824544492
IBM230421C00119000,IBM,2023-04-21 18:49:14,2023-04-21,119.0,6.6,6.55,6.7,6.625,1.0,55.0,0.77148666015625,125.4000015258789,calls,0.0525677824544492
IBM230421C00120000,IBM,2023-04-21 18:48:38,2023-04-21,120.0,5.56,5.55,5.7,5.625,16.0,368.0,0.6777375976562501,125.4000015258789,calls,0.0525677824544492
IBM230421C00121000,IBM,2023-04-21 18:48:38,2023-04-21,121.0,4.57,4.55,4.7,4.625,2.0,81.0,0.5839885351562499,125.4000015258789,calls,0.0525677824544492
IBM230421C00122000,IBM,2023-04-21 17:48:31,2023-04-21,122.0,3.65,3.55,3.7,3.625,115.0,207.0,0.5351608984375,125.4000015258789,calls,0.0525677824544492
IBM230421C00123000,IBM,2023-04-21 15:41:31,2023-04-21,123.0,2.96,2.56,2.7,2.63,24.0,167.0,0.428716650390625,125.4000015258789,calls,0.0525677824544492
IBM230421C00124000,IBM,2023-04-21 17:02:18,2023-04-21,124.0,1.56,1.57,1.73,1.65,77.0,188.0,0.32813171874999997,125.4000015258789,calls,0.0525677824544492
