contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JNJ230421C00085000,JNJ,2023-02-16 19:13:10,2023-04-21,85.0,74.1,66.25,70.0,68.125,15.0,0.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00095000,JNJ,2023-03-24 18:34:19,2023-04-21,95.0,57.95,67.1,67.35,67.225,4.0,4.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00100000,JNJ,2023-04-20 14:20:18,2023-04-21,100.0,62.1,62.1,62.35,62.225,35.0,31.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00110000,JNJ,2023-04-20 15:31:00,2023-04-21,110.0,51.91,52.1,52.35,52.225,1.0,8.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00115000,JNJ,2023-03-22 19:59:11,2023-04-21,115.0,36.75,47.15,47.5,47.325,0.0,5.0,2.9765650585937498,162.39999389648438,calls,0.027487685762139894
JNJ230421C00120000,JNJ,2023-04-19 15:14:59,2023-04-21,120.0,42.23,42.15,42.5,42.325,2.0,10.0,2.6484408789062504,162.39999389648438,calls,0.027487685762139894
JNJ230421C00125000,JNJ,2023-04-03 14:36:02,2023-04-21,125.0,30.76,37.15,37.5,37.325,1.0,2.0,2.3359416601562493,162.39999389648438,calls,0.027487685762139894
JNJ230421C00130000,JNJ,2023-04-19 19:19:10,2023-04-21,130.0,32.09,32.1,32.3,32.2,3.0,21.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00135000,JNJ,2023-03-22 19:52:18,2023-04-21,135.0,17.65,27.15,27.35,27.25,1.0,9.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
JNJ230421C00140000,JNJ,2023-04-19 14:14:06,2023-04-21,140.0,22.45,22.2,22.35,22.275,1.0,70.0,1.0000000000000003e-05,162.39999389648438,calls,0.027487685762139894
