contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JPM230421C00065000,JPM,2023-04-04 19:47:43,2023-04-21,65.0,63.1,75.7,75.85,75.775,4.0,0.0,5.562503046874999,140.74000549316406,calls,0.02842120110755776
JPM230421C00070000,JPM,2023-04-11 19:07:19,2023-04-21,70.0,58.7,70.7,70.85,70.775,61.0,28.0,5.062503671875,140.74000549316406,calls,0.02842120110755776
JPM230421C00075000,JPM,2023-04-04 19:48:33,2023-04-21,75.0,53.15,65.65,65.9,65.775,5.0,0.0,4.6093792382812495,140.74000549316406,calls,0.02842120110755776
JPM230421C00080000,JPM,2023-04-21 15:56:49,2023-04-21,80.0,60.1,60.65,60.85,60.75,1.0,5.0,3.6875007812500002,140.74000549316406,calls,0.02842120110755776
JPM230421C00085000,JPM,2023-04-04 18:23:49,2023-04-21,85.0,43.1,55.7,55.9,55.8,83.0,0.0,3.99218751953125,140.74000549316406,calls,0.02842120110755776
JPM230421C00090000,JPM,2023-04-04 18:23:31,2023-04-21,90.0,37.9,50.7,50.9,50.8,89.0,0.0,3.5781260546875,140.74000549316406,calls,0.02842120110755776
JPM230421C00095000,JPM,2023-04-20 19:47:48,2023-04-21,95.0,45.54,45.7,45.9,45.8,1.0,0.0,3.1875020312499998,140.74000549316406,calls,0.02842120110755776
JPM230421C00100000,JPM,2023-04-21 16:26:52,2023-04-21,100.0,40.1,40.65,40.85,40.75,10.0,33.0,2.3125042187499996,140.74000549316406,calls,0.02842120110755776
JPM230421C00105000,JPM,2023-04-18 19:47:53,2023-04-21,105.0,36.75,35.65,35.9,35.775,2.0,140.0,2.2968792578125,140.74000549316406,calls,0.02842120110755776
JPM230421C00110000,JPM,2023-04-19 15:18:01,2023-04-21,110.0,31.11,30.65,30.9,30.775,1.0,42.0,1.96875015625,140.74000549316406,calls,0.02842120110755776
JPM230421C00112000,JPM,2023-04-14 13:30:28,2023-04-21,112.0,21.65,28.65,28.9,28.775,0.0,4.0,1.8359383203124997,140.74000549316406,calls,0.02842120110755776
