contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
LOW230421C00095000,LOW,2023-01-26 20:08:40,2023-04-21,95.0,108.66,106.2,108.3,107.25,2.0,1,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00110000,LOW,2023-02-23 17:12:14,2023-04-21,110.0,90.0,78.5,80.95,79.725,2.0,2,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00120000,LOW,2023-03-13 15:51:52,2023-04-21,120.0,79.63,79.3,80.7,80.0,1.0,6,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00125000,LOW,2022-10-07 18:42:32,2023-04-21,125.0,74.2,60.5,61.95,61.225,4.0,4,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00130000,LOW,2022-11-10 16:29:06,2023-04-21,130.0,75.8,73.45,74.95,74.2,0.0,1,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00135000,LOW,2022-11-09 16:51:39,2023-04-21,135.0,60.0,68.85,70.15,69.5,1.0,3,1.0000000000000003e-05,211.2100067138672,calls,0.017991571796822956
LOW230421C00145000,LOW,2022-12-15 20:48:39,2023-04-21,145.0,65.4,67.65,69.55,68.6,13.0,14,5.591799885253906,211.2100067138672,calls,0.017991571796822956
LOW230421C00150000,LOW,2023-04-04 14:22:51,2023-04-21,150.0,53.5,60.75,61.5,61.125,10.0,22,3.3320329199218746,211.2100067138672,calls,0.017991571796822956
LOW230421C00155000,LOW,2023-01-20 15:07:47,2023-04-21,155.0,48.6,58.6,60.65,59.625,1.0,9,5.3476595654296855,211.2100067138672,calls,0.017991571796822956
LOW230421C00160000,LOW,2023-04-21 16:50:00,2023-04-21,160.0,50.76,50.8,51.55,51.175,2.0,10,2.8593778515625,211.2100067138672,calls,0.017991571796822956
LOW230421C00165000,LOW,2023-03-31 19:14:59,2023-04-21,165.0,34.42,45.7,46.65,46.175,7.0,13,2.712893842773437,211.2100067138672,calls,0.017991571796822956
LOW230421C00167500,LOW,2023-04-20 13:32:53,2023-04-21,167.5,41.33,43.25,44.05,43.65,2.0,0,2.4531288671875,211.2100067138672,calls,0.017991571796822956
