contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MA230421C00145000,MA,2022-11-07 14:30:03,2023-04-21,145.0,179.75,197.75,200.35,199.05,0.0,1,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00150000,MA,2023-01-19 15:07:26,2023-04-21,150.0,219.89,210.25,213.3,211.775,0.0,5,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00160000,MA,2023-01-23 15:52:20,2023-04-21,160.0,221.61,194.75,197.15,195.95,0.0,1,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00165000,MA,2022-09-19 14:13:36,2023-04-21,165.0,153.25,136.4,139.0,137.7,0.0,1,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00170000,MA,2023-01-30 15:45:01,2023-04-21,170.0,202.5,183.3,185.2,184.25,1.0,2,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00175000,MA,2023-01-05 15:08:25,2023-04-21,175.0,183.65,199.6,201.95,200.77499999999998,0.0,2,8.745121721801757,373.44000244140625,calls,0.0055341330686471705
MA230421C00185000,MA,2022-10-11 17:25:01,2023-04-21,185.0,110.65,150.55,153.1,151.825,5.0,10,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00195000,MA,2022-09-19 19:01:12,2023-04-21,195.0,123.1,108.7,110.65,109.67500000000001,0.0,1,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00200000,MA,2023-03-28 15:15:11,2023-04-21,200.0,155.0,173.45,173.9,173.675,5.0,0,5.0937536328125,373.44000244140625,calls,0.0055341330686471705
MA230421C00205000,MA,2022-10-04 15:32:09,2023-04-21,205.0,105.05,112.45,114.9,113.67500000000001,1.0,17,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00210000,MA,2023-01-19 18:26:03,2023-04-21,210.0,159.5,150.95,152.9,151.925,8.0,9,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00215000,MA,2022-10-27 14:05:13,2023-04-21,215.0,109.8,139.15,141.8,140.47500000000002,1.0,0,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00220000,MA,2023-02-06 15:47:56,2023-04-21,220.0,152.31,139.45,141.35,140.39999999999998,1.0,11,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
MA230421C00225000,MA,2022-10-05 17:16:23,2023-04-21,225.0,88.8,97.6,99.2,98.4,2.0,4,1.0000000000000003e-05,373.44000244140625,calls,0.0055341330686471705
