contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MCD230421C00190000,MCD,2023-02-02 19:24:33,2023-04-21,190.0,73.48,79.8,81.15,80.475,0.0,1.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00195000,MCD,2023-04-18 18:44:54,2023-04-21,195.0,95.77,96.5,97.1,96.8,2.0,2.0,3.05468986328125,292.0299987792969,calls,0.019669212149471864
MCD230421C00200000,MCD,2023-03-07 14:30:03,2023-04-21,200.0,72.55,81.95,84.0,82.975,1.0,1.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00205000,MCD,2023-03-01 15:19:54,2023-04-21,205.0,58.75,74.05,76.5,75.275,0.0,1.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00210000,MCD,2023-04-03 18:43:06,2023-04-21,210.0,73.15,81.75,82.1,81.925,2.0,2.0,2.5390661523437497,292.0299987792969,calls,0.019669212149471864
MCD230421C00220000,MCD,2023-03-20 17:31:55,2023-04-21,220.0,51.89,70.4,72.05,71.225,1.0,5.0,1.9375003125,292.0299987792969,calls,0.019669212149471864
MCD230421C00230000,MCD,2023-04-21 15:58:32,2023-04-21,230.0,62.4,61.45,62.1,61.775000000000006,20.0,26.0,1.8984380078125,292.0299987792969,calls,0.019669212149471864
MCD230421C00235000,MCD,2023-04-19 15:57:24,2023-04-21,235.0,56.23,56.7,57.1,56.900000000000006,1.0,10.0,1.74609501953125,292.0299987792969,calls,0.019669212149471864
MCD230421C00240000,MCD,2023-04-17 18:53:23,2023-04-21,240.0,49.0,51.5,52.1,51.8,3.0,12.0,1.5937520312499998,292.0299987792969,calls,0.019669212149471864
MCD230421C00245000,MCD,2023-03-15 14:16:46,2023-04-21,245.0,21.55,43.55,45.05,44.3,0.0,5.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00247500,MCD,2023-03-20 15:10:35,2023-04-21,247.5,24.3,42.75,43.2,42.975,0.0,1.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00250000,MCD,2023-04-20 16:17:31,2023-04-21,250.0,40.97,41.6,42.1,41.85,1.0,40.0,1.2968785156249998,292.0299987792969,calls,0.019669212149471864
MCD230421C00255000,MCD,2023-04-10 14:52:24,2023-04-21,255.0,27.75,36.65,37.0,36.825,1.0,111.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00257500,MCD,2023-03-23 19:00:02,2023-04-21,257.5,14.35,34.15,34.55,34.349999999999994,0.0,14.0,0.929688203125,292.0299987792969,calls,0.019669212149471864
MCD230421C00260000,MCD,2023-04-21 16:41:43,2023-04-21,260.0,32.32,31.65,32.0,31.825,15.0,520.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00262500,MCD,2023-04-13 13:36:27,2023-04-21,262.5,24.2,29.25,29.6,29.425,2.0,10.0,0.9335944140625,292.0299987792969,calls,0.019669212149471864
MCD230421C00265000,MCD,2023-04-21 18:23:48,2023-04-21,265.0,27.25,26.65,27.05,26.85,37.0,710.0,0.73437765625,292.0299987792969,calls,0.019669212149471864
MCD230421C00267500,MCD,2023-04-21 15:32:57,2023-04-21,267.5,24.47,24.2,24.55,24.375,2.0,53.0,0.6718782812500002,292.0299987792969,calls,0.019669212149471864
MCD230421C00270000,MCD,2023-04-21 18:45:52,2023-04-21,270.0,21.9,21.75,22.4,22.075,84.0,1417.0,0.6718782812500002,292.0299987792969,calls,0.019669212149471864
MCD230421C00272500,MCD,2023-04-21 18:32:48,2023-04-21,272.5,19.65,19.25,19.85,19.55,197.0,383.0,0.5468795312500001,292.0299987792969,calls,0.019669212149471864
MCD230421C00275000,MCD,2023-04-21 17:42:10,2023-04-21,275.0,17.34,16.65,17.1,16.875,205.0,1067.0,0.570316796875,292.0299987792969,calls,0.019669212149471864
MCD230421C00277500,MCD,2023-04-21 18:42:17,2023-04-21,277.5,14.47,14.25,15.25,14.75,61.0,207.0,0.6152382226562501,292.0299987792969,calls,0.019669212149471864
MCD230421C00280000,MCD,2023-04-21 18:47:17,2023-04-21,280.0,11.8,11.75,12.05,11.9,632.0,1928.0,0.35156898437499995,292.0299987792969,calls,0.019669212149471864
MCD230421C00282500,MCD,2023-04-21 18:32:02,2023-04-21,282.5,9.6,9.25,9.5,9.375,106.0,486.0,1.0000000000000003e-05,292.0299987792969,calls,0.019669212149471864
MCD230421C00285000,MCD,2023-04-21 18:51:25,2023-04-21,285.0,6.91,6.75,7.1,6.925,379.0,1774.0,0.2695385546875,292.0299987792969,calls,0.019669212149471864
MCD230421C00287500,MCD,2023-04-21 18:51:25,2023-04-21,287.5,4.4,4.25,4.6,4.425,230.0,917.0,0.18946123046875002,292.0299987792969,calls,0.019669212149471864
MCD230421C00290000,MCD,2023-04-21 18:47:59,2023-04-21,290.0,1.85,1.77,2.04,1.905,1015.0,1872.0,0.06836869140625002,292.0299987792969,calls,0.019669212149471864
MCD230421C00292500,MCD,2023-04-21 18:49:31,2023-04-21,292.5,0.08,0.06,0.08,0.07,1024.0,945.0,0.04053693847656249,292.0299987792969,calls,0.019669212149471864
MCD230421C00295000,MCD,2023-04-21 18:40:06,2023-04-21,295.0,0.01,0.01,0.03,0.02,385.0,912.0,0.11231356445312499,292.0299987792969,calls,0.019669212149471864
