contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MRK230421C00045000,MRK,2023-04-20 14:18:11,2023-04-21,45.0,68.9,70.1,70.25,70.175,1.0,3.0,5.7500028125,115.24500274658203,calls,0.024504316306103387
MRK230421C00055000,MRK,2023-04-14 16:26:36,2023-04-21,55.0,60.34,60.1,60.25,60.175,10.0,2.0,4.500004375,115.24500274658203,calls,0.024504316306103387
MRK230421C00060000,MRK,2023-03-24 16:43:28,2023-04-21,60.0,43.89,55.1,55.25,55.175,1.0,1.0,4.000005,115.24500274658203,calls,0.024504316306103387
MRK230421C00065000,MRK,2023-04-21 14:51:56,2023-04-21,65.0,50.2,50.05,50.25,50.15,8.0,9.0,3.6250009375000003,115.24500274658203,calls,0.024504316306103387
MRK230421C00070000,MRK,2023-03-23 17:41:50,2023-04-21,70.0,33.95,45.05,45.25,45.15,1.0,1.0,3.1250021875,115.24500274658203,calls,0.024504316306103387
MRK230421C00075000,MRK,2023-03-13 19:00:47,2023-04-21,75.0,31.15,38.55,39.25,38.9,30.0,0.0,1.0000000000000003e-05,115.24500274658203,calls,0.024504316306103387
MRK230421C00077500,MRK,2023-03-13 17:38:07,2023-04-21,77.5,29.28,36.2,36.55,36.375,2.0,0.0,1.0000000000000003e-05,115.24500274658203,calls,0.024504316306103387
MRK230421C00080000,MRK,2023-03-30 13:58:01,2023-04-21,80.0,25.1,35.05,35.2,35.125,1.0,11.0,1.0000000000000003e-05,115.24500274658203,calls,0.024504316306103387
MRK230421C00082500,MRK,2023-03-14 16:41:45,2023-04-21,82.5,24.25,33.0,33.8,33.4,2.0,2.0,4.289067138671875,115.24500274658203,calls,0.024504316306103387
MRK230421C00085000,MRK,2023-04-03 18:42:33,2023-04-21,85.0,24.13,30.05,30.25,30.15,1.0,2.0,1.96875015625,115.24500274658203,calls,0.024504316306103387
MRK230421C00087500,MRK,2023-03-14 15:56:16,2023-04-21,87.5,19.55,28.05,28.8,28.425,5.0,5.0,3.7031257421875,115.24500274658203,calls,0.024504316306103387
MRK230421C00090000,MRK,2023-04-21 13:37:43,2023-04-21,90.0,24.95,25.05,25.25,25.15,11.0,440.0,1.625001875,115.24500274658203,calls,0.024504316306103387
MRK230421C00092500,MRK,2023-04-20 13:36:36,2023-04-21,92.5,21.91,22.55,22.75,22.65,1.0,321.0,1.46875265625,115.24500274658203,calls,0.024504316306103387
MRK230421C00095000,MRK,2023-04-21 18:20:56,2023-04-21,95.0,20.18,20.1,20.25,20.175,11.0,903.0,1.3125034374999998,115.24500274658203,calls,0.024504316306103387
MRK230421C00096000,MRK,2023-03-24 13:31:39,2023-04-21,96.0,9.25,19.1,19.25,19.175,16.0,18.0,1.2500037499999999,115.24500274658203,calls,0.024504316306103387
MRK230421C00097000,MRK,2023-04-21 17:55:10,2023-04-21,97.0,18.2,18.1,18.25,18.175,3.0,3.0,1.1875040625,115.24500274658203,calls,0.024504316306103387
MRK230421C00097500,MRK,2023-04-21 16:30:06,2023-04-21,97.5,17.86,17.6,17.75,17.675,2.0,5868.0,1.125004375,115.24500274658203,calls,0.024504316306103387
MRK230421C00099000,MRK,2023-04-05 16:05:32,2023-04-21,99.0,13.4,16.05,16.25,16.15,0.0,3.0,1.0625046875000002,115.24500274658203,calls,0.024504316306103387
MRK230421C00100000,MRK,2023-04-21 18:38:28,2023-04-21,100.0,15.13,15.1,15.25,15.175,119.0,1459.0,0.9687503125,115.24500274658203,calls,0.024504316306103387
MRK230421C00101000,MRK,2023-03-31 14:44:21,2023-04-21,101.0,5.72,14.1,14.25,14.175,2.0,6.0,0.937500625,115.24500274658203,calls,0.024504316306103387
