contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NEE230421C00037500,NEE,2022-10-28 18:35:29,2023-04-21,37.5,41.5,48.0,48.6,48.3,2.0,2.0,19.328128959960935,78.91850280761719,calls,0.021977102178788375
NEE230421C00040000,NEE,2023-03-23 16:31:51,2023-04-21,40.0,35.25,38.9,39.1,39.0,1.0,1.0,5.87500265625,78.91850280761719,calls,0.021977102178788375
NEE230421C00042500,NEE,2023-03-20 19:46:24,2023-04-21,42.5,33.59,36.3,36.7,36.5,0.0,4.0,5.406253242187499,78.91850280761719,calls,0.021977102178788375
NEE230421C00047500,NEE,2023-03-02 17:02:19,2023-04-21,47.5,24.05,29.2,30.0,29.6,7.0,7.0,1.0000000000000003e-05,78.91850280761719,calls,0.021977102178788375
NEE230421C00050000,NEE,2023-03-24 13:33:14,2023-04-21,50.0,24.3,28.9,29.2,29.049999999999997,2.0,2.0,4.421879472656249,78.91850280761719,calls,0.021977102178788375
NEE230421C00055000,NEE,2023-01-11 18:21:01,2023-04-21,55.0,30.0,20.2,20.5,20.35,2.0,22.0,1.0000000000000003e-05,78.91850280761719,calls,0.021977102178788375
NEE230421C00060000,NEE,2023-03-27 17:31:11,2023-04-21,60.0,16.25,18.9,19.1,19.0,2.0,1.0,2.6250034375,78.91850280761719,calls,0.021977102178788375
NEE230421C00062500,NEE,2023-03-21 17:12:35,2023-04-21,62.5,12.3,16.1,16.4,16.25,20.0,47.0,1.0000000000000003e-05,78.91850280761719,calls,0.021977102178788375
NEE230421C00065000,NEE,2023-04-21 17:31:49,2023-04-21,65.0,13.98,13.9,14.1,14.0,1.0,4.0,1.953125234375,78.91850280761719,calls,0.021977102178788375
NEE230421C00067500,NEE,2023-04-06 19:46:10,2023-04-21,67.5,11.5,11.4,11.6,11.5,2.0,57.0,1.625001875,78.91850280761719,calls,0.021977102178788375
NEE230421C00070000,NEE,2023-04-21 15:39:43,2023-04-21,70.0,8.83,8.9,9.1,9.0,1.0,233.0,1.3046909765624997,78.91850280761719,calls,0.021977102178788375
NEE230421C00072500,NEE,2023-04-21 18:50:10,2023-04-21,72.5,6.5,6.4,6.6,6.5,25.0,1235.0,0.98437515625,78.91850280761719,calls,0.021977102178788375
NEE230421C00075000,NEE,2023-04-21 18:43:30,2023-04-21,75.0,4.0,3.9,4.1,4.0,64.0,7464.0,0.6562534375000001,78.91850280761719,calls,0.021977102178788375
NEE230421C00077500,NEE,2023-04-21 18:37:19,2023-04-21,77.5,1.45,1.4,1.6,1.5,252.0,3603.0,0.4062559375,78.91850280761719,calls,0.021977102178788375
NEE230421C00120000,NEE,2022-08-08 15:36:01,2023-04-21,120.0,0.85,0.6,0.85,0.725,1.0,1.0,5.23437845703125,78.91850280761719,calls,0.021977102178788375
NEE230421P00037500,NEE,2022-10-20 18:56:12,2023-04-21,37.5,0.4,0.05,0.2,0.125,0.0,1.0,6.781251523437501,78.91850280761719,puts,0.021977102178788375
