contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NFLX230421C00160000,NFLX,2023-04-21 17:47:47,2023-04-21,160.0,166.05,167.1,167.2,167.14999999999998,11.0,13.0,5.671877910156249,326.9700012207031,calls,0.0
NFLX230421C00180000,NFLX,2023-04-21 16:44:31,2023-04-21,180.0,145.15,147.15,147.2,147.175,16.0,6.0,4.8906288867187495,326.9700012207031,calls,0.0
NFLX230421C00185000,NFLX,2023-04-21 16:41:29,2023-04-21,185.0,139.45,142.2,142.45,142.325,10.0,10.0,5.0429724462890615,326.9700012207031,calls,0.0
NFLX230421C00190000,NFLX,2023-04-21 16:48:34,2023-04-21,190.0,136.0,137.25,137.55,137.4,8.0,2.0,4.964847543945313,326.9700012207031,calls,0.0
NFLX230421C00195000,NFLX,2023-04-21 17:37:44,2023-04-21,195.0,131.1,132.3,132.55,132.425,18.0,15.0,4.7929727587890625,326.9700012207031,calls,0.0
NFLX230421C00200000,NFLX,2023-04-21 16:23:47,2023-04-21,200.0,125.0,127.3,127.55,127.425,17.0,9.0,4.5859417675781255,326.9700012207031,calls,0.0
NFLX230421C00205000,NFLX,2023-04-21 16:23:47,2023-04-21,205.0,120.0,122.3,122.55,122.425,1.0,0.0,4.380863898925781,326.9700012207031,calls,0.0
NFLX230421C00210000,NFLX,2023-04-21 16:44:31,2023-04-21,210.0,115.15,117.2,117.5,117.35,11.0,7.0,4.066411166992188,326.9700012207031,calls,0.0
NFLX230421C00215000,NFLX,2023-04-21 18:29:19,2023-04-21,215.0,112.5,112.1,112.5,112.3,17.0,108.0,3.7968755078125005,326.9700012207031,calls,0.0
NFLX230421C00220000,NFLX,2023-04-21 16:44:31,2023-04-21,220.0,105.15,107.1,107.4,107.25,8.0,82.0,3.5273449316406245,326.9700012207031,calls,0.0
NFLX230421C00225000,NFLX,2023-04-21 15:08:23,2023-04-21,225.0,97.25,102.2,102.5,102.35,9.0,14.0,3.5039074902343748,326.9700012207031,calls,0.0
NFLX230421C00230000,NFLX,2023-04-21 16:41:29,2023-04-21,230.0,94.45,97.1,97.4,97.25,3.0,22.0,3.1738301904296877,326.9700012207031,calls,0.0
NFLX230421C00235000,NFLX,2023-04-21 15:08:23,2023-04-21,235.0,87.25,91.9,92.15,92.025,4.0,24.0,2.44531638671875,326.9700012207031,calls,0.0
NFLX230421C00240000,NFLX,2023-04-21 14:05:55,2023-04-21,240.0,81.15,87.1,87.4,87.25,1.0,29.0,2.8339872900390626,326.9700012207031,calls,0.0
NFLX230421C00245000,NFLX,2023-04-21 17:07:26,2023-04-21,245.0,80.7,81.9,82.15,82.025,14.0,11.0,2.16406708984375,326.9700012207031,calls,0.0
NFLX230421C00247500,NFLX,2023-04-21 17:07:26,2023-04-21,247.5,78.2,79.6,79.9,79.75,3.0,4.0,2.58594103515625,326.9700012207031,calls,0.0
NFLX230421C00250000,NFLX,2023-04-21 17:07:26,2023-04-21,250.0,75.7,76.9,77.4,77.15,2.0,72.0,2.3476603808593746,326.9700012207031,calls,0.0
NFLX230421C00255000,NFLX,2023-04-21 13:54:46,2023-04-21,255.0,66.3,72.15,72.4,72.275,6.0,106.0,2.3750040624999995,326.9700012207031,calls,0.0
NFLX230421C00260000,NFLX,2023-04-21 13:36:08,2023-04-21,260.0,63.95,67.3,67.55,67.425,2.0,184.0,2.3671915820312495,326.9700012207031,calls,0.0
NFLX230421C00265000,NFLX,2023-04-21 16:45:53,2023-04-21,265.0,61.0,62.15,62.2,62.175,18.0,134.0,1.93359408203125,326.9700012207031,calls,0.0
NFLX230421C00270000,NFLX,2023-04-21 13:38:54,2023-04-21,270.0,53.7,57.2,57.5,57.35,1.0,85.0,1.970703271484375,326.9700012207031,calls,0.0
NFLX230421C00272500,NFLX,2023-04-21 16:23:47,2023-04-21,272.5,52.5,54.4,54.65,54.525,2.0,45.0,1.4296903515625,326.9700012207031,calls,0.0
NFLX230421C00275000,NFLX,2023-04-21 15:30:28,2023-04-21,275.0,47.19,52.1,52.4,52.25,7.0,184.0,1.71875140625,326.9700012207031,calls,0.0
NFLX230421C00277500,NFLX,2023-04-21 14:43:58,2023-04-21,277.5,45.1,49.4,49.65,49.525,6.0,97.0,1.3046909765624997,326.9700012207031,calls,0.0
NFLX230421C00280000,NFLX,2023-04-21 17:56:26,2023-04-21,280.0,46.41,46.9,47.2,47.05,68.0,205.0,1.3007847460937496,326.9700012207031,calls,0.0
NFLX230421C00282500,NFLX,2023-04-21 13:39:51,2023-04-21,282.5,41.35,44.6,44.9,44.75,6.0,67.0,1.4902369238281248,326.9700012207031,calls,0.0
NFLX230421C00285000,NFLX,2023-04-21 16:13:37,2023-04-21,285.0,39.1,42.15,42.5,42.325,7.0,164.0,1.4755885595703124,326.9700012207031,calls,0.0
NFLX230421C00287500,NFLX,2023-04-21 16:28:24,2023-04-21,287.5,37.04,39.6,39.75,39.675,4.0,63.0,1.2695349023437497,326.9700012207031,calls,0.0
NFLX230421C00290000,NFLX,2023-04-21 16:43:12,2023-04-21,290.0,34.8,36.9,37.2,37.05,27.0,655.0,1.0390673046875003,326.9700012207031,calls,0.0
NFLX230421C00292500,NFLX,2023-04-21 18:08:59,2023-04-21,292.5,35.1,34.4,34.65,34.525,32.0,85.0,0.9257819921875,326.9700012207031,calls,0.0
NFLX230421C00295000,NFLX,2023-04-21 18:11:00,2023-04-21,295.0,32.85,32.2,32.5,32.35,31.0,505.0,1.1796916015624999,326.9700012207031,calls,0.0
NFLX230421C00297500,NFLX,2023-04-21 18:16:21,2023-04-21,297.5,30.65,29.4,29.7,29.549999999999997,23.0,124.0,0.8437515624999999,326.9700012207031,calls,0.0
NFLX230421C00300000,NFLX,2023-04-21 18:16:21,2023-04-21,300.0,28.15,27.15,27.4,27.275,180.0,1728.0,0.9765627343750001,326.9700012207031,calls,0.0
NFLX230421C00302500,NFLX,2023-04-21 18:25:54,2023-04-21,302.5,25.1,24.65,25.0,24.825,58.0,222.0,0.928711650390625,326.9700012207031,calls,0.0
NFLX230421C00305000,NFLX,2023-04-21 18:32:39,2023-04-21,305.0,22.4,22.2,22.5,22.35,128.0,831.0,0.8623060644531251,326.9700012207031,calls,0.0
NFLX230421C00307500,NFLX,2023-04-21 18:25:35,2023-04-21,307.5,20.15,19.45,19.8,19.625,98.0,256.0,0.6523472265625001,326.9700012207031,calls,0.0
NFLX230421C00310000,NFLX,2023-04-21 18:08:55,2023-04-21,310.0,17.71,17.15,17.5,17.325,1650.0,5724.0,0.6894562304687502,326.9700012207031,calls,0.0
NFLX230421C00312500,NFLX,2023-04-21 18:35:54,2023-04-21,312.5,14.4,14.45,14.7,14.575,49.0,240.0,0.5507857421875001,326.9700012207031,calls,0.0
NFLX230421C00315000,NFLX,2023-04-21 18:50:53,2023-04-21,315.0,12.1,12.15,12.45,12.3,283.0,1032.0,0.51562984375,326.9700012207031,calls,0.0
NFLX230421C00317500,NFLX,2023-04-21 18:04:22,2023-04-21,317.5,9.64,9.65,10.0,9.825,755.0,682.0,0.4936574072265626,326.9700012207031,calls,0.0
NFLX230421C00320000,NFLX,2023-04-21 18:50:51,2023-04-21,320.0,7.15,7.25,7.45,7.35,2795.0,3017.0,0.38623660644531244,326.9700012207031,calls,0.0
NFLX230421C00322500,NFLX,2023-04-21 18:50:57,2023-04-21,322.5,4.6,4.45,4.9,4.675000000000001,8812.0,1631.0,0.2766185620117187,326.9700012207031,calls,0.0
NFLX230421C00325000,NFLX,2023-04-21 18:51:47,2023-04-21,325.0,2.28,2.15,2.3,2.2249999999999996,16670.0,1634.0,0.1511315356445313,326.9700012207031,calls,0.0
NFLX230421C00327500,NFLX,2023-04-21 18:51:45,2023-04-21,327.5,0.51,0.47,0.54,0.505,10329.0,2201.0,0.11353425537109374,326.9700012207031,calls,0.0
