contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NKE230421C00045000,NKE,2023-03-29 13:34:23,2023-04-21,45.0,73.7,79.95,80.25,80.1,0.0,2.0,7.937500078125,125.02999877929688,calls,0.010205550767479388
NKE230421C00047500,NKE,2022-10-10 19:09:06,2023-04-21,47.5,40.4,45.3,45.95,45.625,0.0,3.0,1.0000000000000003e-05,125.02999877929688,calls,0.010205550767479388
NKE230421C00055000,NKE,2022-12-08 17:47:26,2023-04-21,55.0,56.0,69.7,70.45,70.075,1.0,32.0,6.1562523046874995,125.02999877929688,calls,0.010205550767479388
NKE230421C00065000,NKE,2023-04-21 13:55:07,2023-04-21,65.0,59.1,59.8,60.15,59.974999999999994,1.0,50.0,5.62500296875,125.02999877929688,calls,0.010205550767479388
NKE230421C00070000,NKE,2023-03-03 18:53:38,2023-04-21,70.0,51.02,52.45,53.35,52.900000000000006,1.0,78.0,1.0000000000000003e-05,125.02999877929688,calls,0.010205550767479388
NKE230421C00075000,NKE,2022-12-29 16:24:46,2023-04-21,75.0,43.6,52.9,53.5,53.2,1.0,121.0,9.001957498779296,125.02999877929688,calls,0.010205550767479388
NKE230421C00080000,NKE,2023-04-14 13:30:11,2023-04-21,80.0,47.2,44.75,45.15,44.95,1.0,122.0,3.9843750390625,125.02999877929688,calls,0.010205550767479388
NKE230421C00082500,NKE,2023-01-24 15:52:13,2023-04-21,82.5,45.8,37.35,37.7,37.525000000000006,1.0,37.0,1.0000000000000003e-05,125.02999877929688,calls,0.010205550767479388
NKE230421C00085000,NKE,2023-03-21 13:52:50,2023-04-21,85.0,39.35,39.35,40.0,39.675,1.0,109.0,1.0000000000000003e-05,125.02999877929688,calls,0.010205550767479388
NKE230421C00087500,NKE,2023-03-15 16:12:47,2023-04-21,87.5,30.1,38.3,38.9,38.599999999999994,2.0,126.0,4.9882850146484365,125.02999877929688,calls,0.010205550767479388
NKE230421C00090000,NKE,2023-04-21 18:34:05,2023-04-21,90.0,35.33,35.0,35.15,35.075,19.0,499.0,2.6562533593750004,125.02999877929688,calls,0.010205550767479388
NKE230421C00092500,NKE,2023-04-13 19:08:53,2023-04-21,92.5,34.08,32.45,32.65,32.55,1.0,618.0,2.2343794140624995,125.02999877929688,calls,0.010205550767479388
NKE230421C00095000,NKE,2023-04-21 18:21:42,2023-04-21,95.0,30.42,29.95,30.15,30.049999999999997,2.0,2801.0,2.0625048437499998,125.02999877929688,calls,0.010205550767479388
NKE230421C00097500,NKE,2023-04-04 19:42:13,2023-04-21,97.5,26.5,27.45,27.65,27.549999999999997,1.0,1453.0,1.875000625,125.02999877929688,calls,0.010205550767479388
NKE230421C00100000,NKE,2023-04-21 14:50:57,2023-04-21,100.0,24.03,25.0,25.15,25.075,16.0,545.0,1.890625546875,125.02999877929688,calls,0.010205550767479388
NKE230421C00105000,NKE,2023-04-21 18:07:48,2023-04-21,105.0,20.42,20.0,20.15,20.075,6.0,847.0,1.5156274218749999,125.02999877929688,calls,0.010205550767479388
