contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NVDA230421C00060000,NVDA,2023-04-21 14:37:56,2023-04-21,60.0,209.85,209.7,209.9,209.8,3.0,82.0,12.296877314453127,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00065000,NVDA,2023-04-21 15:15:14,2023-04-21,65.0,204.7,204.65,204.75,204.7,1.0,15.0,10.984378134765628,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00070000,NVDA,2023-04-20 13:49:49,2023-04-21,70.0,208.2,199.6,199.75,199.675,1.0,27.0,10.218753613281251,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00075000,NVDA,2023-04-21 17:21:03,2023-04-21,75.0,194.5,194.65,194.85,194.75,26.0,33.0,10.234378603515626,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00080000,NVDA,2023-04-21 13:48:00,2023-04-21,80.0,189.85,189.6,189.8,189.7,10.0,76.0,9.421879111328124,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00085000,NVDA,2023-04-21 17:22:18,2023-04-21,85.0,184.05,184.7,185.0,184.85,5.0,38.0,9.75000390625,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00090000,NVDA,2023-04-21 17:18:30,2023-04-21,90.0,180.3,179.65,179.85,179.75,3.0,42.0,8.835941977539063,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00095000,NVDA,2023-04-21 17:22:18,2023-04-21,95.0,174.05,174.8,174.95,174.875,3.0,88.0,8.953129404296874,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00100000,NVDA,2023-04-21 17:57:37,2023-04-21,100.0,170.4,169.6,169.75,169.675,6.0,235.0,7.60937548828125,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00105000,NVDA,2023-04-21 17:57:37,2023-04-21,105.0,165.4,164.6,164.8,164.7,10.0,147.0,7.4062507421875,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00110000,NVDA,2023-04-21 13:30:02,2023-04-21,110.0,159.6,159.65,159.8,159.72500000000002,1.0,231.0,7.187501015625001,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00115000,NVDA,2023-04-21 17:57:37,2023-04-21,115.0,155.4,154.65,154.8,154.72500000000002,12.0,206.0,6.8593764257812495,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00120000,NVDA,2023-04-21 17:57:37,2023-04-21,120.0,150.4,149.75,149.9,149.825,12.0,563.0,6.9140638574218745,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00125000,NVDA,2023-04-21 17:57:37,2023-04-21,125.0,145.4,144.6,144.75,144.675,10.0,1194.0,6.0000025,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00130000,NVDA,2023-04-21 17:57:37,2023-04-21,130.0,140.35,139.6,139.75,139.675,11.0,634.0,5.7109403613281255,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00135000,NVDA,2023-04-21 17:22:28,2023-04-21,135.0,134.15,134.7,134.85,134.77499999999998,16.0,818.0,5.832033959960938,269.5409851074219,calls,0.0005936017483064187
NVDA230421C00140000,NVDA,2023-04-21 18:25:15,2023-04-21,140.0,130.15,129.7,129.85,129.77499999999998,41.0,4106.0,5.5507843115234365,269.5409851074219,calls,0.0005936017483064187
