contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ORCL230421C00055000,ORCL,2023-02-07 20:00:07,2023-04-21,55.0,33.1,31.65,32.55,32.099999999999994,0.0,4.0,1.0000000000000003e-05,94.77999877929688,calls,0.014067665652097243
ORCL230421C00060000,ORCL,2023-04-10 14:34:48,2023-04-21,60.0,34.1,35.0,35.15,35.075,2.0,2.0,4.925785092773436,94.77999877929688,calls,0.014067665652097243
ORCL230421C00065000,ORCL,2023-04-21 16:29:08,2023-04-21,65.0,29.7,30.0,30.15,30.075,1.0,1.0,4.179692275390625,94.77999877929688,calls,0.014067665652097243
ORCL230421C00070000,ORCL,2023-04-21 15:40:53,2023-04-21,70.0,24.5,24.95,25.15,25.049999999999997,1.0,12.0,3.4179702050781247,94.77999877929688,calls,0.014067665652097243
ORCL230421C00073000,ORCL,2023-04-12 14:05:05,2023-04-21,73.0,22.1,22.0,22.1,22.05,5.0,5.0,3.0195337011718753,94.77999877929688,calls,0.014067665652097243
ORCL230421C00075000,ORCL,2023-04-21 15:49:09,2023-04-21,75.0,19.52,19.95,20.15,20.049999999999997,50.0,58.0,2.761721845703125,94.77999877929688,calls,0.014067665652097243
ORCL230421C00076000,ORCL,2023-03-24 17:42:05,2023-04-21,76.0,12.3,18.95,19.15,19.049999999999997,1.0,0.0,2.6328159179687503,94.77999877929688,calls,0.014067665652097243
ORCL230421C00077500,ORCL,2023-04-20 14:02:17,2023-04-21,77.5,17.6,17.45,17.6,17.525,2.0,2.0,2.394535263671875,94.77999877929688,calls,0.014067665652097243
ORCL230421C00078000,ORCL,2023-04-06 18:21:27,2023-04-21,78.0,17.25,17.0,17.15,17.075,59.0,0.0,2.425785185546875,94.77999877929688,calls,0.014067665652097243
ORCL230421C00079000,ORCL,2023-04-04 17:34:18,2023-04-21,79.0,14.65,16.0,16.1,16.05,1.0,0.0,2.253910615234375,94.77999877929688,calls,0.014067665652097243
ORCL230421C00080000,ORCL,2023-04-21 17:28:28,2023-04-21,80.0,14.78,14.95,15.15,15.05,2.0,14.0,2.128910927734375,94.77999877929688,calls,0.014067665652097243
ORCL230421C00081000,ORCL,2023-04-20 14:12:18,2023-04-21,81.0,14.15,13.95,14.15,14.05,4.0,4.0,2.003911240234375,94.77999877929688,calls,0.014067665652097243
ORCL230421C00082000,ORCL,2023-04-04 14:29:48,2023-04-21,82.0,11.54,13.0,13.1,13.05,2.0,0.0,1.8789068554687498,94.77999877929688,calls,0.014067665652097243
ORCL230421C00082500,ORCL,2023-04-21 16:29:08,2023-04-21,82.5,12.22,12.45,12.65,12.55,1.0,5.0,1.81640716796875,94.77999877929688,calls,0.014067665652097243
ORCL230421C00083000,ORCL,2023-04-20 14:12:28,2023-04-21,83.0,12.11,11.95,12.1,12.024999999999999,1.0,1.0,1.71484517578125,94.77999877929688,calls,0.014067665652097243
ORCL230421C00084000,ORCL,2023-04-13 19:00:01,2023-04-21,84.0,11.75,10.95,11.1,11.024999999999999,2.0,1.0,1.5937520312499998,94.77999877929688,calls,0.014067665652097243
