contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PEP230421C00085000,PEP,2022-09-21 18:39:07,2023-04-21,85.0,85.85,87.75,89.2,88.475,0.0,7.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00090000,PEP,2023-04-10 14:24:47,2023-04-21,90.0,92.6,95.4,95.7,95.55000000000001,3.0,3.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00100000,PEP,2023-03-01 19:16:51,2023-04-21,100.0,70.9,82.1,83.15,82.625,10.0,1.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00105000,PEP,2023-03-01 20:56:59,2023-04-21,105.0,66.4,77.05,78.25,77.65,2.0,0.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00110000,PEP,2023-04-20 19:52:03,2023-04-21,110.0,74.99,75.4,75.7,75.55000000000001,12.0,4.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00115000,PEP,2023-03-01 20:57:29,2023-04-21,115.0,56.4,66.65,68.15,67.4,2.0,0.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00120000,PEP,2023-04-20 15:11:17,2023-04-21,120.0,65.42,65.5,65.75,65.625,1.0,4.0,2.81250296875,185.74000549316406,calls,0.024442768739807583
PEP230421C00130000,PEP,2023-03-01 20:58:38,2023-04-21,130.0,41.4,51.65,53.25,52.45,3.0,0.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00135000,PEP,2023-03-31 15:27:05,2023-04-21,135.0,47.2,50.5,50.7,50.6,2.0,13.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00145000,PEP,2023-02-21 19:16:57,2023-04-21,145.0,31.92,30.85,32.25,31.55,7.0,3.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00150000,PEP,2023-04-18 18:22:29,2023-04-21,150.0,34.83,35.5,35.7,35.6,2.0,40.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00152500,PEP,2023-04-19 18:35:53,2023-04-21,152.5,32.25,32.95,33.2,33.075,2.0,0.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00155000,PEP,2023-04-19 15:58:54,2023-04-21,155.0,29.93,30.5,30.7,30.6,5.0,43.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00160000,PEP,2023-04-21 17:02:38,2023-04-21,160.0,25.6,25.45,25.75,25.6,1.0,618.0,1.0625046875000002,185.74000549316406,calls,0.024442768739807583
PEP230421C00165000,PEP,2023-04-21 15:17:34,2023-04-21,165.0,20.73,20.5,20.7,20.6,2.0,1561.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00167500,PEP,2023-04-21 14:10:51,2023-04-21,167.5,17.78,18.0,18.2,18.1,1.0,8.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00170000,PEP,2023-04-21 18:34:09,2023-04-21,170.0,15.62,15.5,15.7,15.6,13.0,2751.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00172500,PEP,2023-04-21 18:37:42,2023-04-21,172.5,13.09,12.9,13.2,13.05,2.0,34.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00175000,PEP,2023-04-21 18:37:25,2023-04-21,175.0,10.6,10.45,10.7,10.575,118.0,5064.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00177500,PEP,2023-04-21 18:41:18,2023-04-21,177.5,8.1,8.0,8.2,8.1,190.0,655.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00180000,PEP,2023-04-21 18:31:25,2023-04-21,180.0,5.64,5.45,5.7,5.575,578.0,3082.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00182500,PEP,2023-04-21 18:35:19,2023-04-21,182.5,3.14,3.0,3.2,3.1,231.0,1283.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421C00185000,PEP,2023-04-21 18:52:11,2023-04-21,185.0,0.68,0.53,0.71,0.62,4005.0,6922.0,1.0000000000000003e-05,185.74000549316406,calls,0.024442768739807583
PEP230421P00182500,PEP,2023-04-21 18:47:06,2023-04-21,182.5,0.02,0.01,0.03,0.02,38.0,1017.0,0.1914143359375,185.74000549316406,puts,0.024442768739807583
PEP230421P00185000,PEP,2023-04-21 18:30:09,2023-04-21,185.0,0.03,0.02,0.05,0.035,247.0,627.0,0.071298349609375,185.74000549316406,puts,0.024442768739807583
PEP230421P00187500,PEP,2023-04-21 13:51:29,2023-04-21,187.5,2.2,1.8,1.99,1.895,5.0,15.0,0.21289849609375,185.74000549316406,puts,0.024442768739807583
PEP230421P00190000,PEP,2023-04-18 17:18:46,2023-04-21,190.0,5.7,4.3,4.55,4.425,1.0,80.0,0.405279384765625,185.74000549316406,puts,0.024442768739807583
PEP230421P00195000,PEP,2023-03-30 18:59:06,2023-04-21,195.0,14.45,9.3,9.5,9.4,20.0,0.0,0.585941640625,185.74000549316406,puts,0.024442768739807583
PEP230421P00200000,PEP,2023-02-27 16:14:06,2023-04-21,200.0,24.59,19.1,19.35,19.225,1.0,0.0,2.636233878173828,185.74000549316406,puts,0.024442768739807583
PEP230421P00210000,PEP,2022-11-28 15:16:42,2023-04-21,210.0,26.3,26.8,28.0,27.4,0.0,0.0,2.761721845703125,185.74000549316406,puts,0.024442768739807583
PEP230428C00162500,PEP,2023-04-18 13:36:55,2023-04-28,162.5,22.0,23.15,23.4,23.275,1.0,0.0,0.4892629199218751,185.74000549316406,calls,0.024442768739807583
PEP230428C00165000,PEP,2023-04-19 17:11:15,2023-04-28,165.0,19.92,20.65,20.95,20.799999999999997,2.0,4.0,0.46484910156250003,185.74000549316406,calls,0.024442768739807583
PEP230428C00167500,PEP,2023-04-21 13:39:13,2023-04-28,167.5,18.75,18.2,18.5,18.35,1.0,4.0,0.43457596679687505,185.74000549316406,calls,0.024442768739807583
PEP230428C00170000,PEP,2023-04-21 17:58:29,2023-04-28,170.0,15.85,15.75,15.95,15.85,1.0,2.0,0.367193828125,185.74000549316406,calls,0.024442768739807583
PEP230428C00175000,PEP,2023-04-21 18:47:54,2023-04-28,175.0,10.9,10.8,11.1,10.95,5.0,27.0,0.305671005859375,185.74000549316406,calls,0.024442768739807583
PEP230428C00177500,PEP,2023-04-19 16:44:10,2023-04-28,177.5,7.88,8.45,8.7,8.575,3.0,4.0,0.2690502783203125,185.74000549316406,calls,0.024442768739807583
PEP230428C00180000,PEP,2023-04-21 16:45:09,2023-04-28,180.0,6.18,6.15,6.4,6.275,14.0,187.0,0.23828886718749998,185.74000549316406,calls,0.024442768739807583
PEP230428C00182500,PEP,2023-04-21 18:14:58,2023-04-28,182.5,4.3,4.1,4.3,4.199999999999999,43.0,104.0,0.21436332519531248,185.74000549316406,calls,0.024442768739807583
PEP230428C00185000,PEP,2023-04-21 18:45:10,2023-04-28,185.0,2.41,2.41,2.51,2.46,93.0,1233.0,0.19361157958984376,185.74000549316406,calls,0.024442768739807583
PEP230428C00187500,PEP,2023-04-21 18:51:07,2023-04-28,187.5,1.13,1.14,1.16,1.15,1140.0,292.0,0.17359224853515626,185.74000549316406,calls,0.024442768739807583
PEP230428C00190000,PEP,2023-04-21 18:20:07,2023-04-28,190.0,0.45,0.38,0.49,0.435,116.0,377.0,0.17212741943359378,185.74000549316406,calls,0.024442768739807583
