contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PFE230421C00022500,PFE,2023-03-23 13:56:12,2023-04-21,22.5,18.0,17.65,17.75,17.7,4.0,23.0,5.468753164062499,40.13140106201172,calls,0.040068374326510336
PFE230421C00025000,PFE,2023-04-19 19:51:15,2023-04-21,25.0,15.25,15.15,15.25,15.2,1.0,81.0,4.57812927734375,40.13140106201172,calls,0.040068374326510336
PFE230421C00027500,PFE,2023-04-04 19:22:06,2023-04-21,27.5,13.5,12.65,12.75,12.7,1.0,72.0,3.7656255859375003,40.13140106201172,calls,0.040068374326510336
PFE230421C00030000,PFE,2023-04-21 16:44:18,2023-04-21,30.0,10.15,10.15,10.25,10.2,3.0,32.0,3.0000025,40.13140106201172,calls,0.040068374326510336
PFE230421C00031000,PFE,2023-03-29 13:38:03,2023-04-21,31.0,9.2,9.15,9.25,9.2,1.0,2.0,2.718753203125,40.13140106201172,calls,0.040068374326510336
PFE230421C00032000,PFE,2023-04-03 13:56:34,2023-04-21,32.0,9.0,8.15,8.25,8.2,0.0,1.0,2.43750390625,40.13140106201172,calls,0.040068374326510336
PFE230421C00032500,PFE,2023-04-11 13:58:49,2023-04-21,32.5,9.3,7.65,7.75,7.7,3.0,13.0,2.2968792578125,40.13140106201172,calls,0.040068374326510336
PFE230421C00033000,PFE,2023-04-05 13:35:00,2023-04-21,33.0,8.3,7.15,7.25,7.2,0.0,3.0,2.156254609375,40.13140106201172,calls,0.040068374326510336
PFE230421C00034000,PFE,2023-04-06 14:10:39,2023-04-21,34.0,7.65,6.15,6.25,6.2,6.0,6.0,1.875000625,40.13140106201172,calls,0.040068374326510336
PFE230421C00034500,PFE,2023-04-11 13:55:54,2023-04-21,34.5,7.3,5.65,5.75,5.7,0.0,3.0,1.7421887890624999,40.13140106201172,calls,0.040068374326510336
PFE230421C00035000,PFE,2023-04-21 15:20:13,2023-04-21,35.0,5.0,5.15,5.25,5.2,20.0,82.0,1.609376953125,40.13140106201172,calls,0.040068374326510336
PFE230421C00036000,PFE,2023-04-19 18:36:54,2023-04-21,36.0,4.35,4.15,4.25,4.2,40.0,32.0,1.3359408203124996,40.13140106201172,calls,0.040068374326510336
PFE230421C00036500,PFE,2023-04-06 19:14:09,2023-04-21,36.5,5.08,3.65,3.75,3.7,4.0,4.0,1.1953165234375,40.13140106201172,calls,0.040068374326510336
PFE230421C00037000,PFE,2023-04-18 17:19:59,2023-04-21,37.0,3.62,3.15,3.25,3.2,19.0,56.0,1.0625046875000002,40.13140106201172,calls,0.040068374326510336
PFE230421C00037500,PFE,2023-04-21 17:50:00,2023-04-21,37.5,2.71,2.68,2.75,2.715,46.0,205.0,0.9687503125,40.13140106201172,calls,0.040068374326510336
PFE230421C00038000,PFE,2023-04-21 15:43:03,2023-04-21,38.0,2.13,2.18,2.25,2.215,2.0,62.0,0.8281267187499999,40.13140106201172,calls,0.040068374326510336
PFE230421C00038500,PFE,2023-04-20 19:32:39,2023-04-21,38.5,1.42,1.68,1.75,1.7149999999999999,2.0,44.0,0.6796907031250001,40.13140106201172,calls,0.040068374326510336
PFE230421C00039000,PFE,2023-04-21 17:22:15,2023-04-21,39.0,1.22,1.18,1.24,1.21,90.0,4817.0,0.51562984375,40.13140106201172,calls,0.040068374326510336
PFE230421C00039500,PFE,2023-04-21 18:40:42,2023-04-21,39.5,0.69,0.68,0.74,0.71,39.0,237.0,0.4023497265625,40.13140106201172,calls,0.040068374326510336
PFE230421C00040000,PFE,2023-04-21 18:46:05,2023-04-21,40.0,0.23,0.19,0.24,0.215,9086.0,13324.0,0.1992267578125,40.13140106201172,calls,0.040068374326510336
PFE230421P00040000,PFE,2023-04-21 18:36:32,2023-04-21,40.0,0.02,0.01,0.02,0.015,8564.0,19852.0,0.07813421875000001,40.13140106201172,puts,0.040068374326510336
PFE230421P00040500,PFE,2023-04-21 18:44:35,2023-04-21,40.5,0.28,0.27,0.32,0.29500000000000004,556.0,3850.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00041000,PFE,2023-04-21 18:38:22,2023-04-21,41.0,0.83,0.75,0.82,0.7849999999999999,141.0,2383.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00041500,PFE,2023-04-21 18:30:25,2023-04-21,41.5,1.33,1.25,1.32,1.2850000000000001,241.0,2825.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00042000,PFE,2023-04-21 18:45:07,2023-04-21,42.0,1.8,1.78,1.82,1.8,62.0,1539.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00042500,PFE,2023-04-21 18:47:36,2023-04-21,42.5,2.32,2.26,2.32,2.29,195.0,1201.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00043000,PFE,2023-04-21 18:33:31,2023-04-21,43.0,2.8,2.78,2.82,2.8,2.0,260.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
PFE230421P00043500,PFE,2023-04-20 14:28:37,2023-04-21,43.5,3.45,3.25,3.35,3.3,2.0,13.0,1.0000000000000003e-05,40.13140106201172,puts,0.040068374326510336
