contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PM230421C00085000,PM,2023-03-09 16:17:07,2023-04-21,85.0,14.7,13.9,14.5,14.2,0.0,0,3.221681633300781,97.37999725341797,calls,0.05183816124848801
PM230421C00087500,PM,2023-04-11 16:26:56,2023-04-21,87.5,11.9,9.6,9.9,9.75,1.0,1,0.92187578125,97.37999725341797,calls,0.05183816124848801
PM230421C00090000,PM,2023-04-17 19:57:23,2023-04-21,90.0,10.1,7.1,7.4,7.25,1.0,21,0.70312796875,97.37999725341797,calls,0.05183816124848801
PM230421C00091000,PM,2023-04-04 16:38:09,2023-04-21,91.0,6.66,6.1,6.4,6.25,8.0,17,0.6171913281250001,97.37999725341797,calls,0.05183816124848801
PM230421C00092000,PM,2023-03-28 18:09:11,2023-04-21,92.0,3.9,5.2,5.4,5.300000000000001,3.0,10,0.5312546875,97.37999725341797,calls,0.05183816124848801
PM230421C00092500,PM,2023-04-21 15:56:01,2023-04-21,92.5,4.1,4.6,4.9,4.75,6.0,24,0.48828636718750007,97.37999725341797,calls,0.05183816124848801
PM230421C00093000,PM,2023-04-21 17:48:25,2023-04-21,93.0,3.87,4.2,4.4,4.300000000000001,2.0,62,0.445318046875,97.37999725341797,calls,0.05183816124848801
PM230421C00094000,PM,2023-04-21 16:13:05,2023-04-21,94.0,2.67,3.2,3.4,3.3,6.0,112,0.35547519531249994,97.37999725341797,calls,0.05183816124848801
PM230421C00095000,PM,2023-04-21 18:28:24,2023-04-21,95.0,2.12,2.2,2.35,2.2750000000000004,778.0,324,1.0000000000000003e-05,97.37999725341797,calls,0.05183816124848801
PM230421C00096000,PM,2023-04-21 15:47:36,2023-04-21,96.0,0.59,1.2,1.35,1.275,101.0,151,1.0000000000000003e-05,97.37999725341797,calls,0.05183816124848801
PM230421C00097000,PM,2023-04-21 18:41:01,2023-04-21,97.0,0.2,0.25,0.35,0.3,49.0,228,1.0000000000000003e-05,97.37999725341797,calls,0.05183816124848801
PM230421P00097000,PM,2023-04-21 18:38:55,2023-04-21,97.0,0.1,0.05,0.1,0.07500000000000001,29.0,314,0.12012598632812499,97.37999725341797,puts,0.05183816124848801
PM230421P00097500,PM,2023-04-21 18:32:12,2023-04-21,97.5,0.43,0.25,0.4,0.325,55.0,646,0.165047412109375,97.37999725341797,puts,0.05183816124848801
PM230421P00098000,PM,2023-04-21 18:51:05,2023-04-21,98.0,0.8,0.7,0.85,0.7749999999999999,468.0,974,0.23438265625,97.37999725341797,puts,0.05183816124848801
PM230421P00099000,PM,2023-04-21 18:32:31,2023-04-21,99.0,1.85,1.65,1.8,1.725,53.0,645,0.34961587890624996,97.37999725341797,puts,0.05183816124848801
PM230421P00100000,PM,2023-04-21 18:01:30,2023-04-21,100.0,3.14,2.65,2.85,2.75,7.0,454,0.516606396484375,97.37999725341797,puts,0.05183816124848801
PM230421P00101000,PM,2023-04-20 15:11:32,2023-04-21,101.0,4.2,3.6,3.9,3.75,21.0,79,0.5390671093750001,97.37999725341797,puts,0.05183816124848801
PM230421P00102000,PM,2023-04-21 18:45:34,2023-04-21,102.0,4.85,4.6,4.8,4.699999999999999,21.0,99,0.5742230078125,97.37999725341797,puts,0.05183816124848801
PM230421P00105000,PM,2023-04-19 15:24:29,2023-04-21,105.0,3.5,7.6,7.9,7.75,1.0,1,0.929688203125,97.37999725341797,puts,0.05183816124848801
PM230428C00085000,PM,2023-04-10 13:37:37,2023-04-28,85.0,13.85,12.2,12.5,12.35,1.0,1,0.5293015820312501,97.37999725341797,calls,0.05183816124848801
PM230428C00089000,PM,2023-03-30 14:07:28,2023-04-28,89.0,9.23,8.2,8.5,8.35,0.0,0,0.3789124609375,97.37999725341797,calls,0.05183816124848801
PM230428C00090000,PM,2023-04-18 17:10:43,2023-04-28,90.0,10.72,7.2,7.5,7.35,5.0,1,0.340826904296875,97.37999725341797,calls,0.05183816124848801
PM230428C00092000,PM,2023-04-21 13:30:02,2023-04-28,92.0,5.9,5.2,5.5,5.35,16.0,28,0.26367923828125,97.37999725341797,calls,0.05183816124848801
PM230428C00093000,PM,2023-04-04 19:36:26,2023-04-28,93.0,5.39,4.2,4.5,4.35,2.0,3,0.22461712890624996,97.37999725341797,calls,0.05183816124848801
PM230428C00094000,PM,2023-04-20 18:24:31,2023-04-28,94.0,3.15,3.3,3.6,3.45,20.0,28,0.21973436523437498,97.37999725341797,calls,0.05183816124848801
PM230428C00095000,PM,2023-04-21 16:13:05,2023-04-28,95.0,2.05,2.45,2.6,2.5250000000000004,46.0,93,0.1733481103515625,97.37999725341797,calls,0.05183816124848801
PM230428C00096000,PM,2023-04-21 13:58:52,2023-04-28,96.0,1.74,1.6,1.8,1.7000000000000002,21.0,44,0.16748879394531252,97.37999725341797,calls,0.05183816124848801
PM230428C00097000,PM,2023-04-21 18:49:24,2023-04-28,97.0,1.0,0.9,1.0,0.95,163.0,91,0.13868048828125001,97.37999725341797,calls,0.05183816124848801
PM230428C00098000,PM,2023-04-21 18:12:50,2023-04-28,98.0,0.41,0.4,0.5,0.45,35.0,81,0.13355358642578125,97.37999725341797,calls,0.05183816124848801
PM230428C00099000,PM,2023-04-21 18:27:41,2023-04-28,99.0,0.17,0.15,0.2,0.175,15.0,110,0.1289149609375,97.37999725341797,calls,0.05183816124848801
PM230428C00100000,PM,2023-04-21 18:11:28,2023-04-28,100.0,0.05,0.05,0.1,0.07500000000000001,77.0,452,0.14112187011718752,97.37999725341797,calls,0.05183816124848801
PM230428P00094000,PM,2023-04-21 17:00:19,2023-04-28,94.0,0.15,0.05,0.15,0.1,3.0,120,0.1958088232421875,97.37999725341797,puts,0.05183816124848801
PM230428P00095000,PM,2023-04-21 16:55:13,2023-04-28,95.0,0.23,0.15,0.25,0.2,8.0,402,0.18164880859375,97.37999725341797,puts,0.05183816124848801
PM230428P00096000,PM,2023-04-21 17:03:22,2023-04-28,96.0,0.49,0.3,0.45,0.375,9.0,63,0.1733481103515625,97.37999725341797,puts,0.05183816124848801
PM230428P00097000,PM,2023-04-21 18:08:50,2023-04-28,97.0,0.77,0.65,0.7,0.675,60.0,85,0.15284050292968754,97.37999725341797,puts,0.05183816124848801
PM230428P00098000,PM,2023-04-21 14:44:33,2023-04-28,98.0,1.4,1.1,1.2,1.15,86.0,85,0.14795773925781253,97.37999725341797,puts,0.05183816124848801
PM230428P00099000,PM,2023-04-21 15:32:50,2023-04-28,99.0,2.54,1.75,1.95,1.85,5.0,288,0.159188095703125,97.37999725341797,puts,0.05183816124848801
PM230428P00100000,PM,2023-04-21 18:37:12,2023-04-28,100.0,2.96,2.65,2.9,2.775,2.0,40,0.196297099609375,97.37999725341797,puts,0.05183816124848801
PM230428P00101000,PM,2023-04-20 19:02:28,2023-04-28,101.0,4.5,3.6,3.9,3.75,8.0,73,0.24024197265624997,97.37999725341797,puts,0.05183816124848801
PM230505C00081000,PM,2023-04-14 13:31:26,2023-05-05,81.0,19.8,16.3,16.6,16.450000000000003,0.0,0,0.5585981640625001,97.37999725341797,calls,0.05183816124848801
