contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
RTX230421C00060000,RTX,2023-04-18 14:21:29,2023-04-21,60.0,44.55,42.0,42.15,42.075,2.0,1.0,4.562504296875,101.98999786376953,calls,0.021256986424255536
RTX230421C00070000,RTX,2023-02-22 19:02:00,2023-04-21,70.0,30.95,26.2,27.0,26.6,0.0,5.0,1.0000000000000003e-05,101.98999786376953,calls,0.021256986424255536
RTX230421C00080000,RTX,2023-04-21 18:19:27,2023-04-21,80.0,22.16,22.0,22.15,22.075,2.0,3.0,2.28906677734375,101.98999786376953,calls,0.021256986424255536
RTX230421C00085000,RTX,2023-04-17 13:40:48,2023-04-21,85.0,17.25,17.0,17.15,17.075,1.0,12.0,1.7890635546875,101.98999786376953,calls,0.021256986424255536
RTX230421C00088000,RTX,2023-03-20 17:29:35,2023-04-21,88.0,10.4,15.85,16.35,16.1,0.0,2.0,3.5332042919921873,101.98999786376953,calls,0.021256986424255536
RTX230421C00090000,RTX,2023-04-21 13:53:53,2023-04-21,90.0,12.54,12.0,12.15,12.075,10.0,40.0,1.3007847460937496,101.98999786376953,calls,0.021256986424255536
RTX230421C00091000,RTX,2023-03-20 18:50:34,2023-04-21,91.0,7.85,12.8,13.35,13.075,0.0,1.0,3.0136743408203124,101.98999786376953,calls,0.021256986424255536
RTX230421C00092000,RTX,2023-04-17 17:48:10,2023-04-21,92.0,10.9,10.0,10.15,10.075,5.0,0.0,1.109379453125,101.98999786376953,calls,0.021256986424255536
RTX230421C00093000,RTX,2023-04-12 17:14:48,2023-04-21,93.0,8.9,9.0,9.15,9.075,10.0,24.0,1.01172369140625,101.98999786376953,calls,0.021256986424255536
RTX230421C00094000,RTX,2023-04-20 15:57:25,2023-04-21,94.0,8.78,8.0,8.15,8.075,1.0,1.0,0.914063359375,101.98999786376953,calls,0.021256986424255536
RTX230421C00095000,RTX,2023-04-21 18:38:49,2023-04-21,95.0,7.13,7.0,7.15,7.075,5.0,173.0,0.8164080859374999,101.98999786376953,calls,0.021256986424255536
RTX230421C00096000,RTX,2023-04-21 13:48:52,2023-04-21,96.0,6.7,6.0,6.15,6.075,1.0,228.0,0.7187528125,101.98999786376953,calls,0.021256986424255536
RTX230421C00097000,RTX,2023-04-20 14:53:11,2023-04-21,97.0,5.8,5.0,5.15,5.075,2.0,112.0,0.6210975390625001,101.98999786376953,calls,0.021256986424255536
RTX230421C00098000,RTX,2023-04-21 14:28:06,2023-04-21,98.0,4.72,4.0,4.15,4.075,8.0,302.0,0.5195360546875,101.98999786376953,calls,0.021256986424255536
