contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
SCHW230421C00022500,SCHW,2023-04-17 18:28:15,2023-04-21,22.5,29.0,31.05,31.9,31.475,2.0,11.0,9.28125419921875,53.73500061035156,calls,0.016227784313675376
SCHW230421C00025000,SCHW,2023-03-27 19:26:00,2023-04-21,25.0,30.02,28.05,29.4,28.725,1.0,2.0,10.25781608886719,53.73500061035156,calls,0.016227784313675376
SCHW230421C00030000,SCHW,2023-04-21 18:51:09,2023-04-21,30.0,23.7,23.6,23.7,23.65,2.0,860.0,1.0000000000000003e-05,53.73500061035156,calls,0.016227784313675376
SCHW230421C00032500,SCHW,2023-04-11 16:25:55,2023-04-21,32.5,19.8,21.1,22.0,21.55,6.0,60.0,6.054689931640624,53.73500061035156,calls,0.016227784313675376
SCHW230421C00035000,SCHW,2023-04-18 19:46:41,2023-04-21,35.0,19.03,18.6,19.6,19.1,28.0,872.0,5.4765656542968735,53.73500061035156,calls,0.016227784313675376
SCHW230421C00037500,SCHW,2023-04-14 13:39:00,2023-04-21,37.5,14.45,16.15,16.25,16.2,1.0,60.0,2.81250296875,53.73500061035156,calls,0.016227784313675376
SCHW230421C00040000,SCHW,2023-04-21 17:34:51,2023-04-21,40.0,13.75,13.65,13.75,13.7,5.0,183.0,2.3437541406249993,53.73500061035156,calls,0.016227784313675376
SCHW230421C00041500,SCHW,2023-04-12 13:47:42,2023-04-21,41.5,10.65,12.15,12.25,12.2,0.0,7.0,2.0625048437499998,53.73500061035156,calls,0.016227784313675376
SCHW230421C00042500,SCHW,2023-04-19 13:50:55,2023-04-21,42.5,12.7,11.15,11.25,11.2,18.0,61.0,1.9062504687500001,53.73500061035156,calls,0.016227784313675376
SCHW230421C00043500,SCHW,2023-04-18 17:00:12,2023-04-21,43.5,10.59,10.1,10.25,10.175,5.0,2.0,1.75000125,53.73500061035156,calls,0.016227784313675376
SCHW230421C00044000,SCHW,2023-04-19 13:36:25,2023-04-21,44.0,10.24,9.65,9.75,9.7,2.0,8.0,1.65625171875,53.73500061035156,calls,0.016227784313675376
SCHW230421C00045000,SCHW,2023-04-21 18:41:05,2023-04-21,45.0,8.7,8.6,8.7,8.649999999999999,159.0,490.0,1.0000000000000003e-05,53.73500061035156,calls,0.016227784313675376
SCHW230421C00046000,SCHW,2023-04-21 13:45:52,2023-04-21,46.0,7.55,7.65,7.75,7.7,3.0,50.0,1.3281283593749997,53.73500061035156,calls,0.016227784313675376
SCHW230421C00047000,SCHW,2023-04-21 18:38:56,2023-04-21,47.0,6.65,6.65,6.75,6.7,3.0,959.0,1.15625421875,53.73500061035156,calls,0.016227784313675376
SCHW230421C00047500,SCHW,2023-04-20 14:31:44,2023-04-21,47.5,8.2,6.15,6.25,6.2,49.0,346.0,1.0781296093750001,53.73500061035156,calls,0.016227784313675376
SCHW230421C00048000,SCHW,2023-04-21 18:34:41,2023-04-21,48.0,5.7,5.65,5.75,5.7,13.0,1301.0,1.000005,53.73500061035156,calls,0.016227784313675376
SCHW230421C00048500,SCHW,2023-04-21 15:21:44,2023-04-21,48.5,4.81,5.15,5.3,5.225,11.0,342.0,1.1875040625,53.73500061035156,calls,0.016227784313675376
SCHW230421C00049000,SCHW,2023-04-21 18:33:12,2023-04-21,49.0,4.65,4.65,4.75,4.7,146.0,655.0,0.8437515624999999,53.73500061035156,calls,0.016227784313675376
SCHW230421C00049500,SCHW,2023-04-21 17:54:56,2023-04-21,49.5,4.25,4.1,4.25,4.175,4.0,2860.0,0.7656273437500001,53.73500061035156,calls,0.016227784313675376
SCHW230421C00050000,SCHW,2023-04-21 18:43:31,2023-04-21,50.0,3.69,3.65,3.75,3.7,444.0,4154.0,0.6875031250000001,53.73500061035156,calls,0.016227784313675376
SCHW230421C00050500,SCHW,2023-04-21 17:54:21,2023-04-21,50.5,3.2,3.1,3.4,3.25,10.0,340.0,0.6015664843750002,53.73500061035156,calls,0.016227784313675376
SCHW230421C00051000,SCHW,2023-04-21 18:36:48,2023-04-21,51.0,2.65,2.63,2.79,2.71,164.0,1900.0,0.6718782812500002,53.73500061035156,calls,0.016227784313675376
SCHW230421C00051500,SCHW,2023-04-21 18:15:27,2023-04-21,51.5,2.26,2.13,2.36,2.245,68.0,1774.0,0.7148466015625,53.73500061035156,calls,0.016227784313675376
SCHW230421C00052000,SCHW,2023-04-21 18:49:45,2023-04-21,52.0,1.65,1.65,1.76,1.705,273.0,5011.0,0.39063109375,53.73500061035156,calls,0.016227784313675376
SCHW230421C00052500,SCHW,2023-04-21 18:50:37,2023-04-21,52.5,1.21,1.18,1.2,1.19,266.0,3890.0,1.0000000000000003e-05,53.73500061035156,calls,0.016227784313675376
SCHW230421C00053000,SCHW,2023-04-21 18:52:09,2023-04-21,53.0,0.74,0.67,0.74,0.7050000000000001,1873.0,7582.0,0.14063359375,53.73500061035156,calls,0.016227784313675376
SCHW230421C00053500,SCHW,2023-04-21 18:42:35,2023-04-21,53.5,0.23,0.21,0.29,0.25,3947.0,2204.0,0.12696185546875,53.73500061035156,calls,0.016227784313675376
SCHW230421C00054000,SCHW,2023-04-21 18:52:09,2023-04-21,54.0,0.03,0.02,0.04,0.03,8474.0,6421.0,0.117196328125,53.73500061035156,calls,0.016227784313675376
SCHW230421C00054500,SCHW,2023-04-21 18:35:10,2023-04-21,54.5,0.01,0.01,0.02,0.015,3315.0,1651.0,0.1914143359375,53.73500061035156,calls,0.016227784313675376
SCHW230421P00053000,SCHW,2023-04-21 18:26:30,2023-04-21,53.0,0.02,0.01,0.02,0.015,1777.0,3492.0,0.187508125,53.73500061035156,puts,0.016227784313675376
SCHW230421P00053500,SCHW,2023-04-21 18:45:39,2023-04-21,53.5,0.05,0.04,0.06,0.05,544.0,845.0,0.132821171875,53.73500061035156,puts,0.016227784313675376
SCHW230421P00054000,SCHW,2023-04-21 18:51:11,2023-04-21,54.0,0.33,0.32,0.38,0.35,2320.0,6328.0,0.19727365234375,53.73500061035156,puts,0.016227784313675376
SCHW230421P00054500,SCHW,2023-04-21 18:48:22,2023-04-21,54.5,0.83,0.8,0.88,0.8400000000000001,118.0,617.0,0.33789724609375,53.73500061035156,puts,0.016227784313675376
SCHW230421P00055000,SCHW,2023-04-21 18:51:15,2023-04-21,55.0,1.29,1.26,1.34,1.3,720.0,6452.0,0.398443515625,53.73500061035156,puts,0.016227784313675376
SCHW230421P00055500,SCHW,2023-04-21 18:04:37,2023-04-21,55.5,1.82,1.76,1.89,1.825,65.0,495.0,0.585941640625,53.73500061035156,puts,0.016227784313675376
SCHW230421P00056000,SCHW,2023-04-21 18:36:19,2023-04-21,56.0,2.34,2.25,2.39,2.3200000000000003,107.0,1180.0,0.5546919531250001,53.73500061035156,puts,0.016227784313675376
SCHW230421P00056500,SCHW,2023-04-21 17:39:43,2023-04-21,56.5,2.77,2.77,2.85,2.81,16.0,1448.0,0.6132851171875001,53.73500061035156,puts,0.016227784313675376
SCHW230421P00057000,SCHW,2023-04-21 18:36:34,2023-04-21,57.0,3.4,3.25,3.4,3.325,34.0,938.0,0.7421900781249999,53.73500061035156,puts,0.016227784313675376
SCHW230421P00057500,SCHW,2023-04-21 18:32:40,2023-04-21,57.5,3.8,3.7,3.85,3.7750000000000004,32.0,1407.0,0.6093789062500001,53.73500061035156,puts,0.016227784313675376
SCHW230421P00058000,SCHW,2023-04-21 18:36:43,2023-04-21,58.0,4.4,4.25,4.35,4.3,35.0,531.0,0.8125018749999999,53.73500061035156,puts,0.016227784313675376
SCHW230421P00058500,SCHW,2023-04-20 18:37:36,2023-04-21,58.5,4.7,4.75,4.85,4.8,1.0,668.0,0.8906260937499999,53.73500061035156,puts,0.016227784313675376
SCHW230421P00059000,SCHW,2023-04-21 16:57:53,2023-04-21,59.0,5.1,5.2,5.35,5.275,43.0,267.0,0.79687703125,53.73500061035156,puts,0.016227784313675376
SCHW230421P00060000,SCHW,2023-04-21 16:57:56,2023-04-21,60.0,6.13,6.25,6.35,6.3,17.0,539.0,1.1015669921875002,53.73500061035156,puts,0.016227784313675376
SCHW230421P00061000,SCHW,2023-04-19 15:04:11,2023-04-21,61.0,5.11,7.25,7.35,7.3,5.0,7.0,1.2343788281249999,53.73500061035156,puts,0.016227784313675376
SCHW230421P00062000,SCHW,2023-04-14 19:31:48,2023-04-21,62.0,11.4,8.25,8.35,8.3,20.0,3.0,1.3671906640625,53.73500061035156,puts,0.016227784313675376
SCHW230421P00062500,SCHW,2023-04-20 16:30:03,2023-04-21,62.5,7.7,8.75,8.85,8.8,1.0,172.0,1.4296903515625,53.73500061035156,puts,0.016227784313675376
SCHW230421P00063000,SCHW,2023-04-05 13:50:36,2023-04-21,63.0,13.9,9.25,9.35,9.3,1.0,9.0,1.4921900390624998,53.73500061035156,puts,0.016227784313675376
SCHW230421P00064000,SCHW,2023-04-11 14:24:40,2023-04-21,64.0,12.22,10.2,10.35,10.274999999999999,3.0,0.0,1.3750031249999999,53.73500061035156,puts,0.016227784313675376
SCHW230421P00065000,SCHW,2023-04-21 16:37:23,2023-04-21,65.0,11.3,11.25,11.35,11.3,21.0,35.0,1.734376328125,53.73500061035156,puts,0.016227784313675376
SCHW230421P00067500,SCHW,2023-04-20 17:31:40,2023-04-21,67.5,13.05,13.75,13.85,13.8,459.0,459.0,2.0156299609375,53.73500061035156,puts,0.016227784313675376
SCHW230421P00070000,SCHW,2023-04-21 17:38:04,2023-04-21,70.0,16.25,16.2,16.35,16.275,8.0,110.0,1.96875015625,53.73500061035156,puts,0.016227784313675376
SCHW230421P00072500,SCHW,2023-04-12 18:59:44,2023-04-21,72.5,20.5,18.75,18.85,18.8,269.0,110.0,2.5468786328124997,53.73500061035156,puts,0.016227784313675376
SCHW230421P00075000,SCHW,2023-04-19 19:06:07,2023-04-21,75.0,19.1,21.25,21.35,21.3,530.0,186.0,2.7812530468750003,53.73500061035156,puts,0.016227784313675376
SCHW230421P00077500,SCHW,2023-04-20 19:13:02,2023-04-21,77.5,23.4,23.75,23.85,23.8,548.0,487.0,3.0156274609375,53.73500061035156,puts,0.016227784313675376
