contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
T230421C00010000,T,2023-04-20 14:22:53,2023-04-21,10.0,7.95,8.15,8.25,8.2,2.0,1.0,5.7500028125,18.214099884033203,calls,0.06990920997691243
T230421C00011000,T,2023-04-21 13:53:18,2023-04-21,11.0,7.1,7.15,7.25,7.2,1.0,4.0,4.937503828124999,18.214099884033203,calls,0.06990920997691243
T230421C00012000,T,2023-04-21 14:02:28,2023-04-21,12.0,6.15,6.15,6.25,6.2,1.0,0.0,4.187504765625,18.214099884033203,calls,0.06990920997691243
T230421C00012500,T,2023-04-05 19:51:51,2023-04-21,12.5,7.45,5.65,5.75,5.7,214.0,0.0,3.81250046875,18.214099884033203,calls,0.06990920997691243
T230421C00013000,T,2023-04-21 14:23:28,2023-04-21,13.0,5.2,5.15,5.25,5.2,38.0,2.0,3.468751328125,18.214099884033203,calls,0.06990920997691243
T230421C00013500,T,2023-04-05 19:51:51,2023-04-21,13.5,6.45,4.65,4.75,4.7,15.0,0.0,3.156252109375,18.214099884033203,calls,0.06990920997691243
T230421C00014000,T,2023-04-17 13:55:47,2023-04-21,14.0,5.85,4.15,4.25,4.2,4.0,4.0,2.81250296875,18.214099884033203,calls,0.06990920997691243
T230421C00014500,T,2023-04-05 19:51:51,2023-04-21,14.5,5.3,3.65,3.75,3.7,53.0,0.0,2.50000375,18.214099884033203,calls,0.06990920997691243
T230421C00015000,T,2023-04-21 16:47:20,2023-04-21,15.0,3.28,3.15,3.25,3.2,2.0,135.0,2.1875045312499997,18.214099884033203,calls,0.06990920997691243
T230421C00015500,T,2023-04-21 18:38:43,2023-04-21,15.5,2.69,2.68,2.72,2.7,131.0,5.0,1.3750031249999999,18.214099884033203,calls,0.06990920997691243
T230421C00016000,T,2023-04-21 15:19:27,2023-04-21,16.0,2.21,2.18,2.22,2.2,274.0,77.0,1.125004375,18.214099884033203,calls,0.06990920997691243
T230421C00016500,T,2023-04-21 15:19:41,2023-04-21,16.5,1.7,1.68,1.72,1.7,266.0,15.0,0.87500125,18.214099884033203,calls,0.06990920997691243
T230421C00017000,T,2023-04-21 17:36:08,2023-04-21,17.0,1.3,1.18,1.23,1.205,536.0,1174.0,0.79687703125,18.214099884033203,calls,0.06990920997691243
T230421C00017500,T,2023-04-21 18:36:47,2023-04-21,17.5,0.7,0.7,0.72,0.71,3055.0,2238.0,0.4062559375,18.214099884033203,calls,0.06990920997691243
T230421C00018000,T,2023-04-21 18:50:56,2023-04-21,18.0,0.21,0.2,0.21,0.20500000000000002,13311.0,7861.0,1.0000000000000003e-05,18.214099884033203,calls,0.06990920997691243
T230421P00018500,T,2023-04-21 18:51:27,2023-04-21,18.5,0.3,0.3,0.32,0.31,10892.0,10326.0,0.3437565625,18.214099884033203,puts,0.06990920997691243
T230421P00019000,T,2023-04-21 18:48:09,2023-04-21,19.0,0.8,0.8,0.81,0.805,2676.0,24437.0,0.57812921875,18.214099884033203,puts,0.06990920997691243
T230421P00019500,T,2023-04-21 18:36:35,2023-04-21,19.5,1.29,1.28,1.31,1.295,932.0,11400.0,0.7187528125,18.214099884033203,puts,0.06990920997691243
T230421P00020000,T,2023-04-21 18:10:57,2023-04-21,20.0,1.73,1.78,1.82,1.8,247.0,6019.0,1.000005,18.214099884033203,puts,0.06990920997691243
T230421P00020500,T,2023-04-21 14:36:51,2023-04-21,20.5,2.15,2.28,2.32,2.3,148.0,183.0,1.21875390625,18.214099884033203,puts,0.06990920997691243
T230421P00021000,T,2023-04-21 15:25:53,2023-04-21,21.0,2.83,2.78,2.82,2.8,140.0,243.0,1.40625296875,18.214099884033203,puts,0.06990920997691243
T230421P00021500,T,2023-04-21 15:01:02,2023-04-21,21.5,3.24,3.25,3.35,3.3,3.0,3.0,1.5937520312499998,18.214099884033203,puts,0.06990920997691243
T230421P00022000,T,2023-04-20 15:38:08,2023-04-21,22.0,4.15,3.75,3.85,3.8,22.0,47.0,1.78125109375,18.214099884033203,puts,0.06990920997691243
T230421P00022500,T,2023-03-24 14:22:35,2023-04-21,22.5,4.3,4.25,4.35,4.3,17.0,0.0,1.96875015625,18.214099884033203,puts,0.06990920997691243
T230421P00023000,T,2023-04-21 15:19:58,2023-04-21,23.0,4.8,4.75,4.85,4.8,4.0,12.0,2.1250046874999997,18.214099884033203,puts,0.06990920997691243
T230421P00023500,T,2023-04-20 13:47:45,2023-04-21,23.5,5.1,5.25,5.35,5.3,2.0,0.0,2.3125042187499996,18.214099884033203,puts,0.06990920997691243
T230421P00024000,T,2023-04-21 15:19:41,2023-04-21,24.0,5.79,5.75,5.85,5.8,13.0,0.0,2.43750390625,18.214099884033203,puts,0.06990920997691243
T230421P00025000,T,2023-03-28 18:11:02,2023-04-21,25.0,6.51,6.75,6.85,6.8,1.0,0.0,2.750003125,18.214099884033203,puts,0.06990920997691243
T230421P00026000,T,2023-03-29 14:36:06,2023-04-21,26.0,7.3,7.75,7.85,7.8,13.0,10.0,3.031252421875,18.214099884033203,puts,0.06990920997691243
T230421P00027000,T,2023-04-20 13:51:38,2023-04-21,27.0,8.75,8.75,8.85,8.8,2.0,2.0,3.3125017187499997,18.214099884033203,puts,0.06990920997691243
T230421P00028000,T,2023-01-03 18:10:02,2023-04-21,28.0,9.68,7.65,7.85,7.75,1.0,0.0,1.0000000000000003e-05,18.214099884033203,puts,0.06990920997691243
T230421P00029000,T,2022-10-28 15:08:14,2023-04-21,29.0,10.5,9.85,10.25,10.05,3.0,0.0,1.0000000000000003e-05,18.214099884033203,puts,0.06990920997691243
T230421P00030000,T,2023-04-21 15:19:41,2023-04-21,30.0,11.8,11.75,11.85,11.8,13.0,0.0,4.062504921875,18.214099884033203,puts,0.06990920997691243
T230421P00031000,T,2023-03-29 13:50:11,2023-04-21,31.0,12.3,12.75,12.85,12.8,0.0,0.0,4.2500046875,18.214099884033203,puts,0.06990920997691243
T230421P00033000,T,2023-04-21 13:30:41,2023-04-21,33.0,15.25,14.75,14.85,14.8,11.0,11.0,4.687504140625,18.214099884033203,puts,0.06990920997691243
T230421P00035000,T,2023-03-29 13:47:37,2023-04-21,35.0,16.3,16.75,16.85,16.8,1.0,0.0,5.062503671875,18.214099884033203,puts,0.06990920997691243
T230428C00007500,T,2023-04-21 18:51:47,2023-04-28,7.5,10.7,10.65,10.75,10.7,1.0,0.0,2.906252734375,18.214099884033203,calls,0.06990920997691243
T230428C00010000,T,2023-04-21 15:03:30,2023-04-28,10.0,8.28,8.15,8.25,8.2,12.0,3.0,2.031254921875,18.214099884033203,calls,0.06990920997691243
T230428C00012000,T,2023-04-21 13:31:04,2023-04-28,12.0,5.9,6.15,6.25,6.2,25.0,25.0,1.484377578125,18.214099884033203,calls,0.06990920997691243
T230428C00013000,T,2023-04-18 14:22:18,2023-04-28,13.0,6.8,5.15,5.25,5.2,1.0,1.0,1.2343788281249999,18.214099884033203,calls,0.06990920997691243
T230428C00013500,T,2023-03-29 18:17:25,2023-04-28,13.5,5.5,4.7,4.75,4.725,0.0,0.0,0.9062509375,18.214099884033203,calls,0.06990920997691243
T230428C00015000,T,2023-04-21 17:22:49,2023-04-28,15.0,3.4,3.2,3.25,3.225,175.0,461.0,0.6250037500000001,18.214099884033203,calls,0.06990920997691243
T230428C00016000,T,2023-04-21 14:43:56,2023-04-28,16.0,2.34,2.2,2.24,2.22,249.0,280.0,0.523442265625,18.214099884033203,calls,0.06990920997691243
T230428C00016500,T,2023-04-21 18:15:27,2023-04-28,16.5,1.82,1.7,1.75,1.725,4.0,12.0,0.44922425781249997,18.214099884033203,calls,0.06990920997691243
