contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMO230421C00360000,TMO,2023-04-20 19:06:23,2023-04-21,360.0,204.31,211.2,214.3,212.75,2.0,1.0,4.4687544140624995,571.7999877929688,calls,0.0021685904625254483
TMO230421C00370000,TMO,2023-04-20 19:27:01,2023-04-21,370.0,194.33,200.6,205.2,202.89999999999998,2.0,2.0,4.338871763916016,571.7999877929688,calls,0.0021685904625254483
TMO230421C00430000,TMO,2023-04-20 19:09:22,2023-04-21,430.0,134.86,140.4,142.4,141.4,2.0,2.0,2.722659443359375,571.7999877929688,calls,0.0021685904625254483
TMO230421C00500000,TMO,2023-04-18 15:02:00,2023-04-21,500.0,89.3,70.4,72.4,71.4,2.0,5.0,1.4384793701171876,571.7999877929688,calls,0.0021685904625254483
TMO230421C00510000,TMO,2023-03-17 19:10:04,2023-04-21,510.0,47.8,75.6,83.1,79.35,2.0,2.0,3.666260599975586,571.7999877929688,calls,0.0021685904625254483
TMO230421C00520000,TMO,2023-03-16 17:10:15,2023-04-21,520.0,45.32,66.4,73.8,70.1,1.0,12.0,3.4130874047851565,571.7999877929688,calls,0.0021685904625254483
TMO230421C00525000,TMO,2023-03-20 18:31:43,2023-04-21,525.0,35.0,51.6,58.6,55.1,0.0,2.0,2.189701791381835,571.7999877929688,calls,0.0021685904625254483
TMO230421C00527500,TMO,2023-04-21 16:36:56,2023-04-21,527.5,42.07,42.7,44.8,43.75,2.0,3.0,0.9150399121093751,571.7999877929688,calls,0.0021685904625254483
TMO230421C00530000,TMO,2023-04-21 15:33:58,2023-04-21,530.0,38.64,40.6,42.3,41.45,2.0,24.0,0.8710950390625,571.7999877929688,calls,0.0021685904625254483
TMO230421C00532500,TMO,2023-03-21 15:38:31,2023-04-21,532.5,31.7,30.5,34.7,32.6,0.0,1.0,1.0000000000000003e-05,571.7999877929688,calls,0.0021685904625254483
TMO230421C00535000,TMO,2023-04-21 15:48:00,2023-04-21,535.0,33.78,36.0,38.2,37.1,2.0,3.0,0.709963837890625,571.7999877929688,calls,0.0021685904625254483
TMO230421C00540000,TMO,2023-04-11 14:53:36,2023-04-21,540.0,42.33,31.0,32.8,31.9,1.0,44.0,0.5214891601562499,571.7999877929688,calls,0.0021685904625254483
TMO230421C00542500,TMO,2023-03-28 17:39:42,2023-04-21,542.5,22.6,28.9,30.6,29.75,3.0,5.0,0.6357458300781251,571.7999877929688,calls,0.0021685904625254483
TMO230421C00545000,TMO,2023-03-23 17:01:59,2023-04-21,545.0,24.6,26.1,27.4,26.75,0.0,3.0,0.63086306640625,571.7999877929688,calls,0.0021685904625254483
TMO230421C00547500,TMO,2023-03-23 18:48:00,2023-04-21,547.5,20.7,23.8,25.0,24.4,0.0,6.0,0.6069375244140626,571.7999877929688,calls,0.0021685904625254483
TMO230421C00550000,TMO,2023-04-18 15:58:15,2023-04-21,550.0,36.5,21.5,23.0,22.25,3.0,573.0,0.5014698291015626,571.7999877929688,calls,0.0021685904625254483
TMO230421C00552500,TMO,2023-04-21 18:42:38,2023-04-21,552.5,20.3,18.8,20.6,19.700000000000003,129.0,130.0,0.6110878735351564,571.7999877929688,calls,0.0021685904625254483
TMO230421C00555000,TMO,2023-04-21 14:13:47,2023-04-21,555.0,16.91,16.0,18.2,17.1,1.0,445.0,0.5698285205078125,571.7999877929688,calls,0.0021685904625254483
TMO230421C00557500,TMO,2023-04-21 17:31:34,2023-04-21,557.5,11.99,14.0,14.8,14.4,1.0,93.0,0.372076591796875,571.7999877929688,calls,0.0021685904625254483
TMO230421C00560000,TMO,2023-04-21 18:12:30,2023-04-21,560.0,11.5,11.6,12.3,11.95,67.0,311.0,0.3227606787109374,571.7999877929688,calls,0.0021685904625254483
