contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMUS230421C00075000,TMUS,2023-02-21 19:13:29,2023-04-21,75.0,72.45,67.15,68.25,67.7,0.0,2.0,1.0000000000000003e-05,146.27000427246094,calls,0.0
TMUS230421C00080000,TMUS,2023-02-27 16:33:49,2023-04-21,80.0,65.25,63.85,64.2,64.025,0.0,2.0,1.0000000000000003e-05,146.27000427246094,calls,0.0
TMUS230421C00090000,TMUS,2023-04-20 18:55:30,2023-04-21,90.0,55.95,56.15,56.35,56.25,14.0,8.0,3.9843750390625,146.27000427246094,calls,0.0
TMUS230421C00105000,TMUS,2023-04-20 15:33:45,2023-04-21,105.0,41.25,41.15,41.35,41.25,1.0,1.0,2.8281279296874997,146.27000427246094,calls,0.0
TMUS230421C00115000,TMUS,2023-04-21 18:48:18,2023-04-21,115.0,31.25,31.15,31.35,31.25,40.0,40.0,2.1328171679687498,146.27000427246094,calls,0.0
TMUS230421C00120000,TMUS,2023-03-29 14:25:53,2023-04-21,120.0,24.05,26.2,26.45,26.325,0.0,5.0,1.703126484375,146.27000427246094,calls,0.0
TMUS230421C00125000,TMUS,2023-03-30 14:13:47,2023-04-21,125.0,20.1,21.15,21.35,21.25,1.0,8.0,1.47265888671875,146.27000427246094,calls,0.0
TMUS230421C00129000,TMUS,2023-03-24 16:01:49,2023-04-21,129.0,14.4,17.15,17.35,17.25,2.0,2.0,1.21875390625,146.27000427246094,calls,0.0
TMUS230421C00130000,TMUS,2023-04-04 13:30:36,2023-04-21,130.0,15.1,16.15,16.35,16.25,1.0,2.0,1.15234798828125,146.27000427246094,calls,0.0
TMUS230421C00131000,TMUS,2023-03-30 14:13:47,2023-04-21,131.0,14.25,15.15,15.35,15.25,3.0,4.0,1.08984830078125,146.27000427246094,calls,0.0
TMUS230421C00132000,TMUS,2023-03-28 19:50:01,2023-04-21,132.0,11.95,14.15,14.35,14.25,2.0,20.0,1.0273486132812502,146.27000427246094,calls,0.0
TMUS230421C00133000,TMUS,2023-03-23 13:47:25,2023-04-21,133.0,11.45,13.15,13.35,13.25,0.0,10.0,0.9609378906249999,146.27000427246094,calls,0.0
TMUS230421C00134000,TMUS,2023-03-23 19:00:04,2023-04-21,134.0,9.7,12.2,12.35,12.274999999999999,0.0,9.0,0.6250037500000001,146.27000427246094,calls,0.0
TMUS230421C00135000,TMUS,2023-03-31 14:29:43,2023-04-21,135.0,10.7,11.15,11.35,11.25,21.0,111.0,0.8359391406249999,146.27000427246094,calls,0.0
TMUS230421C00136000,TMUS,2023-04-21 15:22:22,2023-04-21,136.0,9.8,10.2,10.35,10.274999999999999,1.0,8.0,0.5312546875,146.27000427246094,calls,0.0
TMUS230421C00137000,TMUS,2023-04-21 15:21:41,2023-04-21,137.0,8.77,9.15,9.35,9.25,1.0,26.0,0.7070341796875,146.27000427246094,calls,0.0
TMUS230421C00138000,TMUS,2023-04-21 15:31:30,2023-04-21,138.0,7.95,8.15,8.35,8.25,7.0,14.0,0.64062859375,146.27000427246094,calls,0.0
TMUS230421C00139000,TMUS,2023-04-21 15:27:53,2023-04-21,139.0,6.79,7.15,7.35,7.25,1.0,11.0,0.5742230078125,146.27000427246094,calls,0.0
TMUS230421C00140000,TMUS,2023-04-21 15:03:17,2023-04-21,140.0,5.9,6.15,6.3,6.225,2.0,5054.0,0.42578699218750005,146.27000427246094,calls,0.0
TMUS230421C00141000,TMUS,2023-04-21 17:04:59,2023-04-21,141.0,5.11,5.2,5.35,5.275,5.0,36.0,0.4414118359375,146.27000427246094,calls,0.0
TMUS230421C00142000,TMUS,2023-04-04 13:44:22,2023-04-21,142.0,4.35,4.2,4.4,4.300000000000001,3.0,41.0,0.41992767578125,146.27000427246094,calls,0.0
TMUS230421C00143000,TMUS,2023-04-21 15:31:35,2023-04-21,143.0,2.96,3.15,3.35,3.25,4.0,150.0,0.30274134765625,146.27000427246094,calls,0.0
TMUS230421C00144000,TMUS,2023-04-20 14:56:47,2023-04-21,144.0,2.56,2.16,2.33,2.245,18.0,142.0,0.213875048828125,146.27000427246094,calls,0.0
TMUS230421C00145000,TMUS,2023-04-21 18:04:19,2023-04-21,145.0,1.41,1.16,1.34,1.25,53.0,1471.0,0.145516357421875,146.27000427246094,calls,0.0
TMUS230421C00146000,TMUS,2023-04-21 18:47:55,2023-04-21,146.0,0.27,0.27,0.35,0.31,152.0,1049.0,0.060556269531250005,146.27000427246094,calls,0.0
TMUS230421P00139000,TMUS,2023-04-21 13:50:09,2023-04-21,139.0,0.01,0.01,0.02,0.015,44.0,88.0,0.45313046875,146.27000427246094,puts,0.0
TMUS230421P00146000,TMUS,2023-04-21 17:51:38,2023-04-21,146.0,0.04,0.04,0.07,0.05500000000000001,9.0,717.0,0.056650058593750004,146.27000427246094,puts,0.0
TMUS230421P00147000,TMUS,2023-04-21 18:48:38,2023-04-21,147.0,0.86,0.7,0.86,0.78,8.0,1281.0,0.127938408203125,146.27000427246094,puts,0.0
TMUS230421P00148000,TMUS,2023-04-21 18:37:46,2023-04-21,148.0,1.84,1.69,1.82,1.755,12.0,1307.0,0.19336744140625,146.27000427246094,puts,0.0
TMUS230421P00149000,TMUS,2023-04-21 17:53:51,2023-04-21,149.0,2.52,2.69,2.85,2.77,22.0,725.0,0.2890696093749999,146.27000427246094,puts,0.0
TMUS230421P00150000,TMUS,2023-04-21 17:55:03,2023-04-21,150.0,3.64,3.65,3.85,3.75,2.0,606.0,0.36133451171875,146.27000427246094,puts,0.0
TMUS230421P00152500,TMUS,2023-04-20 15:55:04,2023-04-21,152.5,6.45,6.15,6.3,6.225,20.0,43.0,0.4726615234375,146.27000427246094,puts,0.0
TMUS230421P00155000,TMUS,2023-04-21 18:48:55,2023-04-21,155.0,8.75,8.65,8.85,8.75,31.0,40.0,0.507817421875,146.27000427246094,puts,0.0
TMUS230421P00160000,TMUS,2023-03-03 14:56:49,2023-04-21,160.0,18.07,15.05,15.4,15.225000000000001,2.0,0.0,1.8876958740234375,146.27000427246094,puts,0.0
TMUS230421P00165000,TMUS,2023-03-29 18:51:53,2023-04-21,165.0,21.25,18.65,18.85,18.75,1.0,0.0,0.9531254687499999,146.27000427246094,puts,0.0
TMUS230421P00170000,TMUS,2023-02-21 14:39:33,2023-04-21,170.0,22.29,26.6,27.0,26.8,0.0,0.0,3.383790603027343,146.27000427246094,puts,0.0
TMUS230428C00125000,TMUS,2023-04-20 19:40:38,2023-04-28,125.0,21.24,21.4,21.65,21.525,170.0,273.0,0.637698935546875,146.27000427246094,calls,0.0
TMUS230428C00135000,TMUS,2023-04-21 15:31:35,2023-04-28,135.0,11.72,11.85,12.05,11.95,12.0,172.0,0.5090381127929688,146.27000427246094,calls,0.0
TMUS230428C00138000,TMUS,2023-03-24 16:49:50,2023-04-28,138.0,7.75,9.15,9.4,9.275,1.0,1.0,0.4726615234375,146.27000427246094,calls,0.0
TMUS230428C00140000,TMUS,2023-04-20 14:52:40,2023-04-28,140.0,7.8,7.55,7.75,7.65,42.0,18.0,0.45264219238281256,146.27000427246094,calls,0.0
TMUS230428C00141000,TMUS,2023-04-21 17:04:59,2023-04-28,141.0,6.79,6.75,6.95,6.85,5.0,1.0,0.4409235595703125,146.27000427246094,calls,0.0
TMUS230428C00142000,TMUS,2023-04-21 16:19:36,2023-04-28,142.0,6.12,6.05,6.25,6.15,1.0,13.0,0.43848217773437503,146.27000427246094,calls,0.0
TMUS230428C00143000,TMUS,2023-04-21 14:13:08,2023-04-28,143.0,5.09,5.3,5.55,5.425,1.0,6.0,0.43164630859375,146.27000427246094,calls,0.0
TMUS230428C00144000,TMUS,2023-04-21 15:45:41,2023-04-28,144.0,4.65,4.65,4.85,4.75,6.0,18.0,0.42017181396484377,146.27000427246094,calls,0.0
TMUS230428C00145000,TMUS,2023-04-21 16:19:36,2023-04-28,145.0,4.11,4.05,4.25,4.15,7.0,20.0,0.4162656030273437,146.27000427246094,calls,0.0
TMUS230428C00146000,TMUS,2023-04-21 17:59:16,2023-04-28,146.0,3.65,3.55,3.7,3.625,70.0,94.0,0.4128476684570312,146.27000427246094,calls,0.0
TMUS230428C00147000,TMUS,2023-04-21 18:23:08,2023-04-28,147.0,3.15,3.0,3.15,3.075,75.0,470.0,0.40454697021484376,146.27000427246094,calls,0.0
TMUS230428C00148000,TMUS,2023-04-21 15:18:32,2023-04-28,148.0,2.43,2.51,2.62,2.565,10.0,189.0,0.3930724755859375,146.27000427246094,calls,0.0
TMUS230428C00149000,TMUS,2023-04-21 18:22:05,2023-04-28,149.0,2.21,2.09,2.17,2.13,214.0,132.0,0.38550419189453117,146.27000427246094,calls,0.0
TMUS230428C00150000,TMUS,2023-04-21 18:40:58,2023-04-28,150.0,1.84,1.77,1.82,1.795,148.0,278.0,0.3842835009765625,146.27000427246094,calls,0.0
TMUS230428C00152500,TMUS,2023-04-21 17:51:15,2023-04-28,152.5,1.08,0.98,1.07,1.025,13.0,470.0,0.37280900634765624,146.27000427246094,calls,0.0
TMUS230428C00155000,TMUS,2023-04-21 17:01:31,2023-04-28,155.0,0.51,0.51,0.6,0.5549999999999999,11.0,406.0,0.367193828125,146.27000427246094,calls,0.0
TMUS230428C00157500,TMUS,2023-04-21 15:50:52,2023-04-28,157.5,0.25,0.25,0.31,0.28,3.0,132.0,0.36133451171875,146.27000427246094,calls,0.0
