contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TSLA230421C00005000,TSLA,2023-04-21 17:43:08,2023-04-21,5.0,160.6,160.05,159.9,159.97500000000002,6.0,26.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00010000,TSLA,2023-04-21 14:09:31,2023-04-21,10.0,153.55,155.15,155.3,155.22500000000002,3.0,8.0,21.8750031640625,165.1392059326172,calls,0.0
TSLA230421C00015000,TSLA,2023-04-21 14:09:31,2023-04-21,15.0,148.55,150.0,150.1,150.05,1.0,5.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00020000,TSLA,2023-04-21 14:09:31,2023-04-21,20.0,143.55,145.2,145.2,145.2,1.0,15.0,15.687500195312499,165.1392059326172,calls,0.0
TSLA230421C00025000,TSLA,2023-04-21 17:41:06,2023-04-21,25.0,140.6,139.95,139.9,139.925,6.0,28.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00030000,TSLA,2023-04-21 17:41:06,2023-04-21,30.0,135.6,135.15,135.25,135.2,8.0,6.0,12.625002109375002,165.1392059326172,calls,0.0
TSLA230421C00035000,TSLA,2023-04-21 14:28:14,2023-04-21,35.0,129.15,130.1,130.3,130.2,1.0,5.0,11.5000028125,165.1392059326172,calls,0.0
TSLA230421C00040000,TSLA,2023-04-21 14:22:27,2023-04-21,40.0,124.0,125.0,125.2,125.1,11.0,16.0,10.531253417968752,165.1392059326172,calls,0.0
TSLA230421C00045000,TSLA,2023-04-21 18:26:56,2023-04-21,45.0,120.5,120.15,120.1,120.125,15.0,3.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00050000,TSLA,2023-04-21 18:10:12,2023-04-21,50.0,115.47,115.15,115.25,115.2,21.0,182.0,8.937504414062499,165.1392059326172,calls,0.0
TSLA230421C00055000,TSLA,2023-04-21 14:49:53,2023-04-21,55.0,107.79,109.95,110.15,110.05000000000001,19.0,17.0,7.2500009375,165.1392059326172,calls,0.0
TSLA230421C00060000,TSLA,2023-04-21 14:55:03,2023-04-21,60.0,103.3,105.15,105.25,105.2,17.0,11.0,7.625000468750001,165.1392059326172,calls,0.0
TSLA230421C00065000,TSLA,2023-04-21 18:19:59,2023-04-21,65.0,100.5,100.0,100.1,100.05,11.0,52.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00070000,TSLA,2023-04-21 17:40:28,2023-04-21,70.0,95.4,95.0,95.2,95.1,16.0,27.0,6.531251835937501,165.1392059326172,calls,0.0
TSLA230421C00075000,TSLA,2023-04-21 18:06:31,2023-04-21,75.0,90.4,89.7,90.1,89.9,5.0,130.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00080000,TSLA,2023-04-21 17:55:15,2023-04-21,80.0,85.69,85.1,85.25,85.175,21.0,212.0,5.312503359374999,165.1392059326172,calls,0.0
TSLA230421C00085000,TSLA,2023-04-21 14:21:47,2023-04-21,85.0,78.9,80.0,80.15,80.075,38.0,90.0,4.500004375,165.1392059326172,calls,0.0
TSLA230421C00090000,TSLA,2023-04-21 18:49:12,2023-04-21,90.0,75.15,75.15,75.25,75.2,113.0,322.0,4.73437908203125,165.1392059326172,calls,0.0
TSLA230421C00095000,TSLA,2023-04-21 17:18:38,2023-04-21,95.0,70.0,70.15,70.25,70.2,23.0,92.0,4.343754570312499,165.1392059326172,calls,0.0
TSLA230421C00100000,TSLA,2023-04-21 18:06:31,2023-04-21,100.0,65.55,65.0,65.1,65.05,84.0,1520.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00105000,TSLA,2023-04-21 15:29:04,2023-04-21,105.0,58.9,60.15,60.2,60.175,9.0,391.0,3.43750140625,165.1392059326172,calls,0.0
TSLA230421C00108330,TSLA,2023-04-21 14:16:48,2023-04-21,108.33,55.4,56.8,56.85,56.825,69.0,862.0,3.031252421875,165.1392059326172,calls,0.0
TSLA230421C00110000,TSLA,2023-04-21 18:24:40,2023-04-21,110.0,55.65,55.1,55.2,55.150000000000006,72.0,1039.0,2.843752890625,165.1392059326172,calls,0.0
TSLA230421C00115000,TSLA,2023-04-21 18:30:15,2023-04-21,115.0,50.7,50.2,50.3,50.25,74.0,1366.0,3.1796895507812497,165.1392059326172,calls,0.0
TSLA230421C00116670,TSLA,2023-04-21 18:51:20,2023-04-21,116.67,48.3,48.3,48.4,48.349999999999994,163.0,2455.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00120000,TSLA,2023-04-21 18:43:32,2023-04-21,120.0,45.2,45.15,45.3,45.224999999999994,178.0,3375.0,2.75781560546875,165.1392059326172,calls,0.0
TSLA230421C00122000,TSLA,2023-04-21 14:05:03,2023-04-21,122.0,40.3,43.15,43.25,43.2,6.0,5.0,2.5234411914062496,165.1392059326172,calls,0.0
TSLA230421C00125000,TSLA,2023-04-21 18:46:12,2023-04-21,125.0,40.2,39.8,39.9,39.849999999999994,77.0,10527.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00126000,TSLA,2023-04-21 17:47:36,2023-04-21,126.0,39.85,39.2,39.3,39.25,20.0,3.0,2.46094134765625,165.1392059326172,calls,0.0
TSLA230421C00128000,TSLA,2023-04-21 14:20:17,2023-04-21,128.0,36.3,37.1,37.2,37.150000000000006,21.0,3.0,1.859375703125,165.1392059326172,calls,0.0
TSLA230421C00129000,TSLA,2023-04-21 14:06:39,2023-04-21,129.0,33.75,36.0,35.9,35.95,6.0,9.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00130000,TSLA,2023-04-21 18:51:25,2023-04-21,130.0,34.9,34.9,35.2,35.05,149.0,2132.0,2.0468798828125,165.1392059326172,calls,0.0
TSLA230421C00131000,TSLA,2023-04-21 14:21:46,2023-04-21,131.0,32.95,34.0,34.1,34.05,24.0,4.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00132000,TSLA,2023-04-21 15:21:12,2023-04-21,132.0,31.85,32.8,32.9,32.849999999999994,44.0,1.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00133330,TSLA,2023-04-21 18:39:51,2023-04-21,133.33,31.65,31.85,31.95,31.9,186.0,4537.0,1.953125234375,165.1392059326172,calls,0.0
TSLA230421C00135000,TSLA,2023-04-21 18:36:42,2023-04-21,135.0,30.35,30.1,30.3,30.200000000000003,243.0,1497.0,1.7578137109375,165.1392059326172,calls,0.0
TSLA230421C00137000,TSLA,2023-04-21 14:20:13,2023-04-21,137.0,27.3,27.95,28.05,28.0,32.0,9.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00138000,TSLA,2023-04-21 16:12:05,2023-04-21,138.0,27.0,27.0,27.1,27.05,36.0,28.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00139000,TSLA,2023-04-21 14:55:11,2023-04-21,139.0,24.3,26.05,26.2,26.125,92.0,8.0,1.5390648046875,165.1392059326172,calls,0.0
TSLA230421C00140000,TSLA,2023-04-21 18:49:05,2023-04-21,140.0,25.17,25.2,25.3,25.25,692.0,3362.0,1.609376953125,165.1392059326172,calls,0.0
TSLA230421C00141670,TSLA,2023-04-21 18:19:00,2023-04-21,141.67,23.9,23.4,23.55,23.475,272.0,6429.0,1.140629296875,165.1392059326172,calls,0.0
TSLA230421C00143000,TSLA,2023-04-21 15:06:44,2023-04-21,143.0,20.65,21.8,21.9,21.85,71.0,109.0,1.0000000000000003e-05,165.1392059326172,calls,0.0
TSLA230421C00144000,TSLA,2023-04-21 17:48:59,2023-04-21,144.0,21.79,21.2,21.35,21.275,62.0,7.0,1.4179716601562502,165.1392059326172,calls,0.0
