contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TXN230421C00105000,TXN,2022-10-27 13:49:18,2023-04-21,105.0,53.55,72.5,74.75,73.625,0.0,0,7.287110266113282,176.5850067138672,calls,0.0268652480087793
TXN230421C00110000,TXN,2023-04-20 18:51:52,2023-04-21,110.0,66.62,66.5,66.75,66.625,20.0,13,3.50000125,176.5850067138672,calls,0.0268652480087793
TXN230421C00115000,TXN,2023-04-20 18:52:59,2023-04-21,115.0,61.6,61.45,61.75,61.6,7.0,2,2.906252734375,176.5850067138672,calls,0.0268652480087793
TXN230421C00120000,TXN,2023-04-20 18:53:00,2023-04-21,120.0,56.58,56.45,56.8,56.625,5.0,3,2.906252734375,176.5850067138672,calls,0.0268652480087793
TXN230421C00125000,TXN,2023-04-14 19:15:30,2023-04-21,125.0,53.25,51.45,51.7,51.575,1.0,11,3.00781498046875,176.5850067138672,calls,0.0268652480087793
TXN230421C00130000,TXN,2023-03-30 17:21:31,2023-04-21,130.0,53.94,46.45,46.8,46.625,3.0,5,2.3593791015624994,176.5850067138672,calls,0.0268652480087793
TXN230421C00135000,TXN,2022-10-04 17:58:54,2023-04-21,135.0,36.35,28.5,29.6,29.05,0.0,10,1.0000000000000003e-05,176.5850067138672,calls,0.0268652480087793
TXN230421C00140000,TXN,2023-03-23 17:41:32,2023-04-21,140.0,41.35,36.4,36.7,36.55,1.0,15,2.1171922070312497,176.5850067138672,calls,0.0268652480087793
TXN230421C00145000,TXN,2023-03-28 19:16:14,2023-04-21,145.0,31.95,31.4,31.7,31.549999999999997,1.0,125,1.8398445507812498,176.5850067138672,calls,0.0268652480087793
TXN230421C00147000,TXN,2023-04-06 14:37:11,2023-04-21,147.0,30.55,29.45,29.75,29.6,1.0,2,1.3281283593749997,176.5850067138672,calls,0.0268652480087793
TXN230421C00148000,TXN,2023-04-05 15:27:00,2023-04-21,148.0,29.05,28.4,28.75,28.575,0.0,1,1.7734386328124998,176.5850067138672,calls,0.0268652480087793
TXN230421C00150000,TXN,2023-04-18 19:04:14,2023-04-21,150.0,29.48,26.4,26.85,26.625,1.0,49,1.3437532812499997,176.5850067138672,calls,0.0268652480087793
TXN230421C00152500,TXN,2023-04-03 16:25:49,2023-04-21,152.5,31.05,23.9,24.2,24.049999999999997,0.0,1,1.4257841210937499,176.5850067138672,calls,0.0268652480087793
