contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
UNH230421C00300000,UNH,2023-04-20 19:07:01,2023-04-21,300.0,187.23,182.55,184.3,183.425,12.0,2.0,3.988281279296875,483.1199951171875,calls,0.013330021661467123
UNH230421C00320000,UNH,2023-04-20 19:09:10,2023-04-21,320.0,167.09,162.7,164.6,163.64999999999998,7.0,2.0,3.783203666992188,483.1199951171875,calls,0.013330021661467123
UNH230421C00330000,UNH,2023-04-20 19:08:57,2023-04-21,330.0,156.58,152.95,153.8,153.375,1.0,0.0,3.1875020312499998,483.1199951171875,calls,0.013330021661467123
UNH230421C00340000,UNH,2023-04-20 19:11:47,2023-04-21,340.0,147.73,142.8,143.8,143.3,2.0,1.0,2.8359404101562498,483.1199951171875,calls,0.013330021661467123
UNH230421C00350000,UNH,2023-04-21 14:06:59,2023-04-21,350.0,136.0,133.15,133.85,133.5,1.0,1.0,2.902346494140625,483.1199951171875,calls,0.013330021661467123
UNH230421C00360000,UNH,2023-03-30 13:31:49,2023-04-21,360.0,105.65,123.05,123.8,123.425,0.0,1.0,2.5957066357421876,483.1199951171875,calls,0.013330021661467123
UNH230421C00370000,UNH,2023-02-02 19:24:45,2023-04-21,370.0,101.15,108.15,110.5,109.325,0.0,1.0,1.0000000000000003e-05,483.1199951171875,calls,0.013330021661467123
UNH230421C00380000,UNH,2023-04-17 17:03:02,2023-04-21,380.0,123.92,102.5,103.85,103.175,1.0,0.0,1.75390748046875,483.1199951171875,calls,0.013330021661467123
UNH230421C00390000,UNH,2023-02-14 14:31:15,2023-04-21,390.0,108.0,81.5,84.15,82.825,2.0,0.0,1.0000000000000003e-05,483.1199951171875,calls,0.013330021661467123
UNH230421C00395000,UNH,2023-04-13 18:35:43,2023-04-21,395.0,134.75,87.85,88.8,88.32499999999999,0.0,4.0,1.759766826171875,483.1199951171875,calls,0.013330021661467123
UNH230421C00400000,UNH,2023-04-20 16:21:45,2023-04-21,400.0,88.3,83.0,83.8,83.4,1.0,2.0,1.7402356738281248,483.1199951171875,calls,0.013330021661467123
UNH230421C00405000,UNH,2023-04-13 18:35:43,2023-04-21,405.0,124.36,78.15,78.8,78.475,0.0,4.0,1.703126484375,483.1199951171875,calls,0.013330021661467123
UNH230421C00410000,UNH,2023-04-03 13:49:04,2023-04-21,410.0,82.7,72.65,74.0,73.325,4.0,9.0,1.47265888671875,483.1199951171875,calls,0.013330021661467123
UNH230421C00420000,UNH,2023-04-20 16:36:59,2023-04-21,420.0,68.0,62.05,63.85,62.95,2.0,9.0,1.5966817041015622,483.1199951171875,calls,0.013330021661467123
