contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
UPS230421C00080000,UPS,2023-04-18 16:22:04,2023-04-21,80.0,114.1,114.7,115.0,114.85,1.0,2,7.187501015625001,194.86000061035156,calls,0.03161243960127937
UPS230421C00110000,UPS,2023-02-16 18:15:34,2023-04-21,110.0,75.8,76.2,78.4,77.30000000000001,140.0,0,1.0000000000000003e-05,194.86000061035156,calls,0.03161243960127937
UPS230421C00120000,UPS,2023-02-16 19:12:57,2023-04-21,120.0,66.25,66.6,68.55,67.57499999999999,10.0,0,1.0000000000000003e-05,194.86000061035156,calls,0.03161243960127937
UPS230421C00130000,UPS,2023-02-08 18:50:46,2023-04-21,130.0,56.99,51.0,52.9,51.95,1.0,0,1.0000000000000003e-05,194.86000061035156,calls,0.03161243960127937
UPS230421C00135000,UPS,2023-03-03 20:56:20,2023-04-21,135.0,51.6,58.2,60.25,59.225,2.0,1,3.7695318261718755,194.86000061035156,calls,0.03161243960127937
UPS230421C00140000,UPS,2023-02-02 16:04:48,2023-04-21,140.0,51.3,46.2,47.25,46.725,10.0,0,1.0000000000000003e-05,194.86000061035156,calls,0.03161243960127937
UPS230421C00145000,UPS,2023-04-17 13:56:44,2023-04-21,145.0,48.87,49.55,50.1,49.825,4.0,4,2.88281529296875,194.86000061035156,calls,0.03161243960127937
UPS230421C00150000,UPS,2023-04-21 14:20:01,2023-04-21,150.0,46.0,44.65,45.05,44.849999999999994,2.0,35,2.50000375,194.86000061035156,calls,0.03161243960127937
UPS230421C00155000,UPS,2023-03-31 16:03:20,2023-04-21,155.0,38.0,39.75,40.15,39.95,1.0,97,1.9921875390625,194.86000061035156,calls,0.03161243960127937
UPS230421C00160000,UPS,2023-04-21 16:59:28,2023-04-21,160.0,35.0,34.7,35.0,34.85,10.0,232,1.8671881640625,194.86000061035156,calls,0.03161243960127937
UPS230421C00165000,UPS,2023-04-18 13:30:11,2023-04-21,165.0,28.35,29.65,30.1,29.875,1.0,234,1.203128984375,194.86000061035156,calls,0.03161243960127937
UPS230421C00170000,UPS,2023-04-21 15:41:44,2023-04-21,170.0,25.45,24.7,25.0,24.85,10.0,333,1.365237548828125,194.86000061035156,calls,0.03161243960127937
UPS230421C00172500,UPS,2023-03-22 18:36:12,2023-04-21,172.5,17.0,22.2,22.5,22.35,0.0,4,1.2421912890624998,194.86000061035156,calls,0.03161243960127937
UPS230421C00175000,UPS,2023-04-21 15:37:49,2023-04-21,175.0,20.32,19.75,20.05,19.9,23.0,2539,0.92187578125,194.86000061035156,calls,0.03161243960127937
UPS230421C00177500,UPS,2023-03-23 18:24:27,2023-04-21,177.5,11.95,17.25,17.55,17.4,0.0,11,0.8125018749999999,194.86000061035156,calls,0.03161243960127937
UPS230421C00180000,UPS,2023-04-21 17:21:13,2023-04-21,180.0,14.83,14.7,15.0,14.85,93.0,3178,0.86914193359375,194.86000061035156,calls,0.03161243960127937
UPS230421C00182500,UPS,2023-04-21 16:46:06,2023-04-21,182.5,12.0,12.25,12.55,12.4,1.0,37,0.6015664843750002,194.86000061035156,calls,0.03161243960127937
UPS230421C00185000,UPS,2023-04-21 18:32:36,2023-04-21,185.0,10.3,9.75,10.05,9.9,307.0,2972,0.659183095703125,194.86000061035156,calls,0.03161243960127937
UPS230421C00187500,UPS,2023-04-20 19:49:17,2023-04-21,187.5,6.89,7.25,7.55,7.4,33.0,453,0.523442265625,194.86000061035156,calls,0.03161243960127937
UPS230421C00190000,UPS,2023-04-21 18:48:31,2023-04-21,190.0,4.8,4.75,5.0,4.875,123.0,5221,0.352545537109375,194.86000061035156,calls,0.03161243960127937
UPS230421C00192500,UPS,2023-04-21 18:31:49,2023-04-21,192.5,2.78,2.21,2.48,2.3449999999999998,55.0,538,0.1992267578125,194.86000061035156,calls,0.03161243960127937
UPS230421C00195000,UPS,2023-04-21 18:49:51,2023-04-21,195.0,0.25,0.2,0.27,0.23500000000000001,573.0,3109,0.08252870605468751,194.86000061035156,calls,0.03161243960127937
UPS230421P00192500,UPS,2023-04-21 18:42:58,2023-04-21,192.5,0.03,0.01,0.05,0.030000000000000002,46.0,844,0.15821154296875,194.86000061035156,puts,0.03161243960127937
UPS230421P00195000,UPS,2023-04-21 18:37:29,2023-04-21,195.0,0.36,0.31,0.43,0.37,148.0,410,0.08741146972656251,194.86000061035156,puts,0.03161243960127937
UPS230421P00197500,UPS,2023-04-21 17:32:09,2023-04-21,197.5,2.8,2.54,2.81,2.675,77.0,154,0.23633576171874998,194.86000061035156,puts,0.03161243960127937
UPS230421P00200000,UPS,2023-04-21 13:31:20,2023-04-21,200.0,5.55,5.0,5.3,5.15,1.0,44,0.3711000390625,194.86000061035156,puts,0.03161243960127937
