contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
V230421C00090000,V,2023-03-03 18:10:15,2023-04-21,90.0,133.1,133.9,136.75,135.325,7.0,3.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00110000,V,2023-04-10 14:07:33,2023-04-21,110.0,115.47,123.75,124.0,123.875,2.0,5.0,6.816407729492187,233.52000427246094,calls,0.006937307170095178
V230421C00120000,V,2023-01-27 19:08:43,2023-04-21,120.0,112.54,99.9,101.6,100.75,1.0,4.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00130000,V,2023-03-31 15:52:59,2023-04-21,130.0,94.18,103.7,104.05,103.875,4.0,4.0,5.433596958007811,233.52000427246094,calls,0.006937307170095178
V230421C00135000,V,2022-09-28 18:12:02,2023-04-21,135.0,50.5,77.15,78.5,77.825,0.0,1.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00140000,V,2022-11-01 17:42:10,2023-04-21,140.0,69.8,79.75,80.8,80.275,6.0,7.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00145000,V,2023-04-18 19:23:14,2023-04-21,145.0,88.45,88.7,89.05,88.875,2.0,5.0,4.523441845703125,233.52000427246094,calls,0.006937307170095178
V230421C00150000,V,2023-04-21 14:56:02,2023-04-21,150.0,84.75,83.65,84.05,83.85,4.0,12.0,4.187504765625,233.52000427246094,calls,0.006937307170095178
V230421C00155000,V,2022-11-03 14:37:21,2023-04-21,155.0,46.2,65.55,67.0,66.275,0.0,1.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00160000,V,2023-04-21 16:20:55,2023-04-21,160.0,75.1,73.7,74.1,73.9,21.0,7.0,3.7343756640625,233.52000427246094,calls,0.006937307170095178
V230421C00165000,V,2023-01-12 15:39:30,2023-04-21,165.0,60.3,63.45,64.3,63.875,10.0,33.0,1.0000000000000003e-05,233.52000427246094,calls,0.006937307170095178
V230421C00170000,V,2023-03-30 14:12:23,2023-04-21,170.0,53.1,63.7,64.05,63.875,2.0,20.0,3.175783310546875,233.52000427246094,calls,0.006937307170095178
V230421C00175000,V,2023-04-21 18:29:02,2023-04-21,175.0,59.04,58.6,59.05,58.825,10.0,20.0,2.85156537109375,233.52000427246094,calls,0.006937307170095178
V230421C00180000,V,2023-04-21 15:12:27,2023-04-21,180.0,55.13,53.75,54.1,53.925,2.0,77.0,2.74219064453125,233.52000427246094,calls,0.006937307170095178
V230421C00185000,V,2023-04-13 19:31:50,2023-04-21,185.0,47.67,48.75,49.15,48.95,1.0,53.0,2.5253943115234367,233.52000427246094,calls,0.006937307170095178
V230421C00190000,V,2023-04-21 16:20:55,2023-04-21,190.0,45.1,43.75,44.1,43.925,1.0,152.0,2.2558637353515625,233.52000427246094,calls,0.006937307170095178
V230421C00192500,V,2023-04-20 17:40:23,2023-04-21,192.5,41.5,41.2,41.6,41.400000000000006,1.0,2.0,2.1113328466796872,233.52000427246094,calls,0.006937307170095178
V230421C00195000,V,2023-04-20 18:36:44,2023-04-21,195.0,38.45,38.7,39.0,38.85,20.0,125.0,1.9414065429687501,233.52000427246094,calls,0.006937307170095178
V230421C00197500,V,2023-04-03 15:36:29,2023-04-21,197.5,29.55,36.2,36.55,36.375,4.0,38.0,1.8515632421875,233.52000427246094,calls,0.006937307170095178
V230421C00200000,V,2023-04-21 17:07:09,2023-04-21,200.0,34.26,33.65,34.0,33.825,32.0,304.0,1.6875015625,233.52000427246094,calls,0.006937307170095178
V230421C00202500,V,2023-03-28 17:00:00,2023-04-21,202.5,20.15,31.2,31.55,31.375,2.0,4.0,1.62109564453125,233.52000427246094,calls,0.006937307170095178
V230421C00205000,V,2023-04-21 15:21:16,2023-04-21,205.0,30.32,28.75,29.1,28.925,8.0,358.0,1.5488303808593749,233.52000427246094,calls,0.006937307170095178
V230421C00207500,V,2023-04-14 13:43:37,2023-04-21,207.5,27.55,26.25,26.55,26.4,6.0,30.0,1.4121123144531251,233.52000427246094,calls,0.006937307170095178
V230421C00210000,V,2023-04-21 18:27:44,2023-04-21,210.0,24.05,23.75,24.05,23.9,31.0,410.0,1.2968785156249998,233.52000427246094,calls,0.006937307170095178
V230421C00212500,V,2023-04-20 19:08:11,2023-04-21,212.5,21.45,21.2,21.6,21.4,1.0,16.0,1.1806681591796875,233.52000427246094,calls,0.006937307170095178
V230421C00215000,V,2023-04-21 17:57:20,2023-04-21,215.0,19.05,18.65,19.05,18.85,16.0,1359.0,1.0312548437500002,233.52000427246094,calls,0.006937307170095178
V230421C00217500,V,2023-04-21 15:26:59,2023-04-21,217.5,17.7,16.2,16.6,16.4,1.0,94.0,0.94726615234375,233.52000427246094,calls,0.006937307170095178
V230421C00220000,V,2023-04-21 18:47:02,2023-04-21,220.0,13.9,13.7,14.05,13.875,291.0,1801.0,0.81445498046875,233.52000427246094,calls,0.006937307170095178
V230421C00222500,V,2023-04-21 18:35:13,2023-04-21,222.5,11.44,11.25,11.55,11.4,18.0,622.0,0.7070341796875,233.52000427246094,calls,0.006937307170095178
V230421C00225000,V,2023-04-21 18:42:42,2023-04-21,225.0,9.02,8.75,9.0,8.875,78.0,4149.0,0.5722699023437501,233.52000427246094,calls,0.006937307170095178
V230421C00227500,V,2023-04-21 18:38:30,2023-04-21,227.5,6.45,6.25,6.5,6.375,47.0,1088.0,0.49121602539062503,233.52000427246094,calls,0.006937307170095178
V230421C00230000,V,2023-04-21 18:44:13,2023-04-21,230.0,3.9,3.8,4.0,3.9,1066.0,6295.0,0.348639326171875,233.52000427246094,calls,0.006937307170095178
V230421C00232500,V,2023-04-21 18:46:40,2023-04-21,232.5,1.33,1.28,1.53,1.405,533.0,1807.0,0.19165847412109377,233.52000427246094,calls,0.006937307170095178
