contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WFC230421C00020000,WFC,2023-04-18 15:37:37,2023-04-21,20.0,21.4,21.3,21.35,21.325000000000003,2.0,356,4.875003906249999,41.310001373291016,calls,0.027112078498359386
WFC230421C00022500,WFC,2023-04-17 14:19:06,2023-04-21,22.5,17.65,18.8,18.85,18.825000000000003,2.0,172,4.12500484375,41.310001373291016,calls,0.027112078498359386
WFC230421C00025000,WFC,2023-04-18 17:30:10,2023-04-21,25.0,16.8,16.3,16.35,16.325000000000003,1.0,77,3.50000125,41.310001373291016,calls,0.027112078498359386
WFC230421C00027500,WFC,2023-04-14 14:33:23,2023-04-21,27.5,11.95,13.8,13.85,13.825,13.0,77,2.8750028125,41.310001373291016,calls,0.027112078498359386
WFC230421C00028000,WFC,2023-04-14 13:45:13,2023-04-21,28.0,11.5,13.3,13.35,13.325,1.0,4,2.750003125,41.310001373291016,calls,0.027112078498359386
WFC230421C00029000,WFC,2023-04-14 14:33:24,2023-04-21,29.0,10.45,12.3,12.4,12.350000000000001,22.0,31,3.1250021875,41.310001373291016,calls,0.027112078498359386
WFC230421C00030000,WFC,2023-04-21 17:10:51,2023-04-21,30.0,11.3,11.3,11.35,11.325,5.0,418,2.2500043749999996,41.310001373291016,calls,0.027112078498359386
WFC230421C00031000,WFC,2023-04-19 15:38:04,2023-04-21,31.0,11.0,10.25,10.4,10.325,10.0,62,2.0625048437499998,41.310001373291016,calls,0.027112078498359386
WFC230421C00032000,WFC,2023-04-19 19:28:00,2023-04-21,32.0,10.37,9.25,9.4,9.325,2.0,95,1.875000625,41.310001373291016,calls,0.027112078498359386
WFC230421C00032500,WFC,2023-04-18 16:32:49,2023-04-21,32.5,9.0,8.8,8.85,8.825,1.0,408,1.75000125,41.310001373291016,calls,0.027112078498359386
WFC230421C00033000,WFC,2023-04-19 19:56:53,2023-04-21,33.0,9.25,8.3,8.35,8.325,1.0,51,1.625001875,41.310001373291016,calls,0.027112078498359386
