contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WMT230421C00080000,WMT,2023-03-03 19:21:45,2023-04-21,80.0,60.4,67.2,67.95,67.575,1.0,0,1.0000000000000003e-05,151.60000610351562,calls,0.01482849544521139
WMT230421C00085000,WMT,2023-03-09 20:23:14,2023-04-21,85.0,52.2,65.7,66.15,65.92500000000001,0.0,0,1.0000000000000003e-05,151.60000610351562,calls,0.01482849544521139
WMT230421C00090000,WMT,2023-03-09 15:33:48,2023-04-21,90.0,47.9,60.7,61.25,60.975,0.0,0,1.0000000000000003e-05,151.60000610351562,calls,0.01482849544521139
WMT230421C00095000,WMT,2023-03-03 14:31:29,2023-04-21,95.0,46.09,52.1,53.05,52.575,4.0,0,1.0000000000000003e-05,151.60000610351562,calls,0.01482849544521139
WMT230421C00100000,WMT,2023-04-18 16:36:29,2023-04-21,100.0,50.29,51.55,51.85,51.7,1.0,5,3.55468861328125,151.60000610351562,calls,0.01482849544521139
WMT230421C00105000,WMT,2023-03-16 17:39:22,2023-04-21,105.0,34.5,43.3,43.85,43.575,1.0,4,1.0000000000000003e-05,151.60000610351562,calls,0.01482849544521139
WMT230421C00115000,WMT,2023-03-30 15:01:56,2023-04-21,115.0,30.45,36.55,36.75,36.65,4.0,6,2.2500043749999996,151.60000610351562,calls,0.01482849544521139
WMT230421C00120000,WMT,2023-04-14 15:38:35,2023-04-21,120.0,28.6,31.5,31.75,31.625,1.0,88,1.78125109375,151.60000610351562,calls,0.01482849544521139
WMT230421C00125000,WMT,2023-04-21 18:52:23,2023-04-21,125.0,26.64,26.5,26.7,26.6,6.0,152,0.500005,151.60000610351562,calls,0.01482849544521139
WMT230421C00126000,WMT,2023-04-12 19:11:22,2023-04-21,126.0,23.5,25.55,25.75,25.65,3.0,392,1.5781271093749998,151.60000610351562,calls,0.01482849544521139
WMT230421C00128000,WMT,2023-04-05 16:43:17,2023-04-21,128.0,21.4,23.5,23.7,23.6,2.0,7,0.500005,151.60000610351562,calls,0.01482849544521139
WMT230421C00130000,WMT,2023-04-20 18:49:00,2023-04-21,130.0,20.82,21.55,21.7,21.625,6.0,304,1.2265663671875,151.60000610351562,calls,0.01482849544521139
WMT230421C00131000,WMT,2023-04-14 19:15:33,2023-04-21,131.0,17.5,20.5,20.7,20.6,1.0,21,0.500005,151.60000610351562,calls,0.01482849544521139
WMT230421C00132000,WMT,2023-04-18 13:39:45,2023-04-21,132.0,18.25,19.5,19.75,19.625,1.0,10,1.1171919140625,151.60000610351562,calls,0.01482849544521139
WMT230421C00133000,WMT,2023-04-13 14:55:53,2023-04-21,133.0,15.75,18.5,18.7,18.6,1.0,31,0.500005,151.60000610351562,calls,0.01482849544521139
WMT230421C00134000,WMT,2023-04-03 13:32:22,2023-04-21,134.0,14.41,17.5,17.75,17.625,2.0,79,1.0078174609375,151.60000610351562,calls,0.01482849544521139
WMT230421C00135000,WMT,2023-04-21 16:22:35,2023-04-21,135.0,16.35,16.55,16.7,16.625,5.0,3326,0.9531254687499999,151.60000610351562,calls,0.01482849544521139
WMT230421C00136000,WMT,2023-04-04 19:03:13,2023-04-21,136.0,11.9,15.55,15.7,15.625,21.0,42,0.9062509375,151.60000610351562,calls,0.01482849544521139
WMT230421C00137000,WMT,2023-04-14 14:16:49,2023-04-21,137.0,12.3,14.55,14.7,14.625,1.0,160,0.851563984375,151.60000610351562,calls,0.01482849544521139
WMT230421C00138000,WMT,2023-04-21 17:54:00,2023-04-21,138.0,13.85,13.55,13.75,13.65,1.0,288,0.8789074609374999,151.60000610351562,calls,0.01482849544521139
