contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
XOM230421C00042500,XOM,2023-02-16 17:19:59,2023-04-21,42.5,74.05,57.2,57.9,57.55,1.0,26.0,1.0000000000000003e-05,115.94000244140625,calls,0.03077453790638995
XOM230421C00045000,XOM,2023-04-14 14:32:04,2023-04-21,45.0,70.46,70.9,71.05,70.975,3.0,38.0,6.87500140625,115.94000244140625,calls,0.03077453790638995
XOM230421C00047500,XOM,2022-10-27 18:54:00,2023-04-21,47.5,60.55,65.8,66.5,66.15,2.0,0.0,1.0000000000000003e-05,115.94000244140625,calls,0.03077453790638995
XOM230421C00050000,XOM,2023-04-06 14:37:10,2023-04-21,50.0,66.25,65.9,66.1,66.0,1.0,6.0,6.562501796875001,115.94000244140625,calls,0.03077453790638995
XOM230421C00055000,XOM,2023-04-10 17:34:26,2023-04-21,55.0,59.9,60.9,61.15,61.025,10.0,19.0,6.125002343749999,115.94000244140625,calls,0.03077453790638995
XOM230421C00060000,XOM,2023-03-14 16:19:09,2023-04-21,60.0,48.7,55.5,56.05,55.775,1.0,14.0,5.64062794921875,115.94000244140625,calls,0.03077453790638995
XOM230421C00065000,XOM,2023-04-20 19:55:07,2023-04-21,65.0,50.35,50.95,51.3,51.125,7.0,9.0,5.414065732421873,115.94000244140625,calls,0.03077453790638995
XOM230421C00070000,XOM,2023-04-18 17:18:07,2023-04-21,70.0,46.99,45.95,46.1,46.025000000000006,1.0,8.0,4.2812546484375,115.94000244140625,calls,0.03077453790638995
XOM230421C00075000,XOM,2023-04-20 14:22:45,2023-04-21,75.0,38.5,40.95,41.1,41.025000000000006,7.0,8.0,3.750000625,115.94000244140625,calls,0.03077453790638995
XOM230421C00077500,XOM,2022-12-30 16:40:48,2023-04-21,77.5,32.63,37.95,38.55,38.25,1.0,20.0,3.6328134179687503,115.94000244140625,calls,0.03077453790638995
XOM230421C00080000,XOM,2023-04-21 14:58:31,2023-04-21,80.0,36.08,35.95,36.15,36.05,4.0,22.0,3.3750015624999996,115.94000244140625,calls,0.03077453790638995
