instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
BTC-8JUN23-23000-C,2023-6-5,2023-6-8,23000.0,call,26342.82,0.0,0.15,0.075,0.1,0.1,255.985
BTC-8JUN23-23000-P,2023-6-5,2023-6-8,23000.0,put,26342.82,0.0,0.0005,0.00025,0.5,2.9,93.625
BTC-8JUN23-23500-C,2023-6-5,2023-6-8,23500.0,call,26342.82,0.0,1.0,0.5,0.0,0.0,499.5
BTC-8JUN23-23500-P,2023-6-5,2023-6-8,23500.0,put,26342.82,0.0,0.0005,0.00025,0.0,19.2,80.845
BTC-8JUN23-24000-C,2023-6-5,2023-6-8,24000.0,call,26342.82,0.074,0.115,0.0945,0.0,0.0,220.33
BTC-8JUN23-24000-P,2023-6-5,2023-6-8,24000.0,put,26342.82,0.0,0.0005,0.00025,0.0,27.9,68.09
BTC-8JUN23-24500-C,2023-6-5,2023-6-8,24500.0,call,26342.82,0.055,1.0,0.5275,0.0,0.0,499.5
BTC-8JUN23-24500-P,2023-6-5,2023-6-8,24500.0,put,26342.82,0.0,0.0005,0.00025,0.6,64.8,55.285
BTC-8JUN23-25000-C,2023-6-5,2023-6-8,25000.0,call,26342.82,0.0375,1.0,0.51875,0.0,0.0,499.5
BTC-8JUN23-25000-P,2023-6-5,2023-6-8,25000.0,put,26342.82,0.0,0.0005,0.00025,24.3,63.9,42.315
BTC-8JUN23-25250-C,2023-6-5,2023-6-8,25250.0,call,26342.82,0.0275,1.0,0.51375,0.0,17.5,499.5
BTC-8JUN23-25250-P,2023-6-5,2023-6-8,25250.0,put,26342.82,0.0,0.001,0.0005,9.4,140.8,41.545
BTC-8JUN23-25500-C,2023-6-5,2023-6-8,25500.0,call,26342.82,0.0195,0.06,0.03975,0.0,60.8,148.8
BTC-8JUN23-25500-P,2023-6-5,2023-6-8,25500.0,put,26342.82,0.0,0.001,0.0005,214.4,255.2,34.055
BTC-8JUN23-25750-C,2023-6-5,2023-6-8,25750.0,call,26342.82,0.01,0.0515,0.03075,5.4,82.2,138.01
BTC-8JUN23-25750-P,2023-6-5,2023-6-8,25750.0,put,26342.82,0.0005,0.0015,0.001,116.3,106.5,51.69
BTC-8JUN23-26000-C,2023-6-5,2023-6-8,26000.0,call,26342.82,0.0015,0.041,0.02125,16.0,54.8,119.335
BTC-8JUN23-26000-P,2023-6-5,2023-6-8,26000.0,put,26342.82,0.0015,0.0025,0.002,104.2,65.1,46.489999999999995
BTC-8JUN23-26250-C,2023-6-5,2023-6-8,26250.0,call,26342.82,0.0075,0.009,0.00825,8.6,45.2,43.055
BTC-8JUN23-26250-P,2023-6-5,2023-6-8,26250.0,put,26342.82,0.004,0.005,0.0045000000000000005,112.3,103.9,43.605000000000004
BTC-8JUN23-26500-C,2023-6-5,2023-6-8,26500.0,call,26342.82,0.0035,0.004,0.00375,24.0,74.7,42.94
BTC-8JUN23-26500-P,2023-6-5,2023-6-8,26500.0,put,26342.82,0.005,0.013,0.009,120.0,70.7,34.55
BTC-8JUN23-26750-C,2023-6-5,2023-6-8,26750.0,call,26342.82,0.0015,0.002,0.00175,90.4,95.6,47.084999999999994
BTC-8JUN23-26750-P,2023-6-5,2023-6-8,26750.0,put,26342.82,0.003,0.0215,0.012249999999999999,93.9,88.4,43.335
BTC-8JUN23-27000-C,2023-6-5,2023-6-8,27000.0,call,26342.82,0.0005,0.001,0.00075,191.7,158.9,49.925
BTC-8JUN23-27000-P,2023-6-5,2023-6-8,27000.0,put,26342.82,0.0125,0.028,0.02025,24.6,35.3,40.815
BTC-8JUN23-27250-C,2023-6-5,2023-6-8,27250.0,call,26342.82,0.0,0.001,0.0005,94.5,118.7,34.325
BTC-8JUN23-27250-P,2023-6-5,2023-6-8,27250.0,put,26342.82,0.0225,0.0405,0.0315,4.0,3.6,64.23
