instrumentName,lastTradeDate,expiryDate,strike,optionType,last close,bid,ask,mid,volume,openInterest,DerebitIV,yFinance_dividend_yield,ticker
BTC-16JUN23-23500-P,2023-5-25 11:1:0,2023-6-16,23500.0,puts,25131.88,12.565940000000001,25.131880000000002,18.84891,377.2,572.9,100.695,0,BTC
BTC-16JUN23-24000-P,2023-5-25 11:1:0,2023-6-16,24000.0,puts,25131.88,12.565940000000001,37.69782,25.131880000000002,263.0,1003.7,78.88,0,BTC
BTC-16JUN23-24250-P,2023-6-15 3:32:0,2023-6-16,24250.0,puts,25131.88,25.131880000000002,50.263760000000005,37.69782,321.8,278.0,72.905,0,BTC
BTC-16JUN23-24500-P,2023-5-25 11:1:0,2023-6-16,24500.0,puts,25131.88,50.263760000000005,62.8297,56.54673000000001,693.4,1301.0,66.03,0,BTC
BTC-16JUN23-24750-C,2023-6-14 15:1:0,2023-6-16,24750.0,calls,25131.88,12.565940000000001,867.0498600000001,439.8079000000001,23.7,12.7,83.155,0,BTC
BTC-16JUN23-24750-P,2023-6-14 15:1:0,2023-6-16,24750.0,puts,25131.88,75.39564,87.96158000000001,81.67861,241.6,160.3,56.650000000000006,0,BTC
BTC-16JUN23-25000-C,2023-5-25 11:1:0,2023-6-16,25000.0,calls,25131.88,251.3188,289.01662,270.16771,389.2,305.6,49.065,0,BTC
BTC-16JUN23-25000-P,2023-5-25 11:1:0,2023-6-16,25000.0,puts,25131.88,125.6594,150.79128,138.22534,661.7,1599.8,50.14,0,BTC
BTC-16JUN23-25250-C,2023-6-14 15:1:0,2023-6-16,25250.0,calls,25131.88,125.6594,150.79128,138.22534,271.4,194.3,47.745000000000005,0,BTC
BTC-16JUN23-25250-P,2023-6-14 15:1:0,2023-6-16,25250.0,puts,25131.88,226.18692,263.88474,245.03583,25.5,25.7,45.57,0,BTC
BTC-16JUN23-25500-C,2023-5-25 11:1:0,2023-6-16,25500.0,calls,25131.88,50.263760000000005,75.39564,62.8297,249.6,138.1,48.14,0,BTC
BTC-16JUN23-25500-P,2023-5-25 11:1:0,2023-6-16,25500.0,puts,25131.88,376.9782,527.76948,452.3738400000001,413.4,1666.8,52.125,0,BTC
BTC-16JUN23-25750-C,2023-6-14 15:1:0,2023-6-16,25750.0,calls,25131.88,12.565940000000001,37.69782,25.131880000000002,197.5,155.1,48.32,0,BTC
BTC-16JUN23-25750-P,2023-6-14 15:1:0,2023-6-16,25750.0,puts,25131.88,515.2035400000001,1030.4070800000002,772.8053100000001,6.7,20.0,84.275,0,BTC
BTC-16JUN23-26000-P,2023-5-25 11:1:0,2023-6-16,26000.0,puts,25131.88,854.4839200000001,1080.67084,967.5773800000001,63.4,997.9,66.6,0,BTC
BTC-16JUN23-26500-P,2023-5-25 11:1:0,2023-6-16,26500.0,puts,25131.88,1256.594,1533.04468,1394.81934,60.6,872.8,75.83,0,BTC
BTC-16JUN23-27000-P,2023-5-25 11:1:0,2023-6-16,27000.0,puts,25131.88,1696.4019,2312.13296,2004.26743,11.3,531.2,138.35,0,BTC
