instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
ETH-8JUN23-1550-C,2023-6-5,2023-6-8,1550.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-8JUN23-1550-P,2023-6-5,2023-6-8,1550.0,put,1839.45,0.0,0.0005,0.00025,0.0,0.0,114.025
ETH-8JUN23-1600-C,2023-6-5,2023-6-8,1600.0,call,1839.45,0.0,0.16,0.08,1.0,25.0,293.4
ETH-8JUN23-1600-P,2023-6-5,2023-6-8,1600.0,put,1839.45,0.0,0.0005,0.00025,0.0,1.0,95.565
ETH-8JUN23-1650-C,2023-6-5,2023-6-8,1650.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-8JUN23-1650-P,2023-6-5,2023-6-8,1650.0,put,1839.45,0.0,0.0005,0.00025,0.0,235.0,77.27
ETH-8JUN23-1700-C,2023-6-5,2023-6-8,1700.0,call,1839.45,0.0005,0.0,0.00025,0.0,135.0,0.0
ETH-8JUN23-1700-P,2023-6-5,2023-6-8,1700.0,put,1839.45,0.0,0.0005,0.00025,0.0,469.0,58.99
ETH-8JUN23-1750-C,2023-6-5,2023-6-8,1750.0,call,1839.45,0.026,0.0,0.013,0.0,217.0,0.0
ETH-8JUN23-1750-P,2023-6-5,2023-6-8,1750.0,put,1839.45,0.0,0.001,0.0005,315.0,720.0,46.775
ETH-8JUN23-1775-C,2023-6-5,2023-6-8,1775.0,call,1839.45,0.0125,0.0,0.00625,1.0,15.0,0.0
ETH-8JUN23-1775-P,2023-6-5,2023-6-8,1775.0,put,1839.45,0.0005,0.001,0.00075,379.0,679.0,67.07
ETH-8JUN23-1800-C,2023-6-5,2023-6-8,1800.0,call,1839.45,0.0215,0.0305,0.026,10.0,969.0,78.16
ETH-8JUN23-1800-P,2023-6-5,2023-6-8,1800.0,put,1839.45,0.001,0.002,0.0015,1314.0,2053.0,56.44
ETH-8JUN23-1825-C,2023-6-5,2023-6-8,1825.0,call,1839.45,0.01,0.0185,0.014249999999999999,70.0,807.0,68.14
ETH-8JUN23-1825-P,2023-6-5,2023-6-8,1825.0,put,1839.45,0.003,0.0035,0.0032500000000000003,1280.0,1515.0,44.905
ETH-8JUN23-1850-C,2023-6-5,2023-6-8,1850.0,call,1839.45,0.003,0.004,0.0035,649.0,925.0,41.394999999999996
ETH-8JUN23-1850-P,2023-6-5,2023-6-8,1850.0,put,1839.45,0.008,0.01,0.009000000000000001,1033.0,1322.0,39.125
ETH-8JUN23-1875-C,2023-6-5,2023-6-8,1875.0,call,1839.45,0.001,0.0015,0.00125,2227.0,1715.0,48.980000000000004
ETH-8JUN23-1875-P,2023-6-5,2023-6-8,1875.0,put,1839.45,0.0005,0.0,0.00025,572.0,657.0,0.0
ETH-8JUN23-1900-C,2023-6-5,2023-6-8,1900.0,call,1839.45,0.0005,0.001,0.00075,1492.0,1893.0,61.94
ETH-8JUN23-1900-P,2023-6-5,2023-6-8,1900.0,put,1839.45,0.0075,0.0,0.00375,84.0,158.0,0.0
ETH-8JUN23-1925-C,2023-6-5,2023-6-8,1925.0,call,1839.45,0.0,0.0005,0.00025,1132.0,1184.0,37.15
ETH-8JUN23-1925-P,2023-6-5,2023-6-8,1925.0,put,1839.45,0.0215,0.0,0.01075,42.0,21.0,0.0
ETH-8JUN23-1950-C,2023-6-5,2023-6-8,1950.0,call,1839.45,0.0,0.0005,0.00025,761.0,1106.0,45.46
ETH-8JUN23-1950-P,2023-6-5,2023-6-8,1950.0,put,1839.45,0.035,0.0,0.0175,70.0,25.0,0.0
ETH-8JUN23-2000-C,2023-6-5,2023-6-8,2000.0,call,1839.45,0.0,0.0005,0.00025,7.0,363.0,61.09
ETH-8JUN23-2000-P,2023-6-5,2023-6-8,2000.0,put,1839.45,0.062,0.0,0.031,0.0,0.0,0.0
ETH-8JUN23-2050-C,2023-6-5,2023-6-8,2050.0,call,1839.45,0.0,0.0005,0.00025,0.0,0.0,75.72
ETH-8JUN23-2050-P,2023-6-5,2023-6-8,2050.0,put,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-8JUN23-2100-C,2023-6-5,2023-6-8,2100.0,call,1839.45,0.0,0.0005,0.00025,0.0,0.0,89.57
ETH-8JUN23-2100-P,2023-6-5,2023-6-8,2100.0,put,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-8JUN23-2150-C,2023-6-5,2023-6-8,2150.0,call,1839.45,0.0,0.0005,0.00025,0.0,0.0,102.785
ETH-8JUN23-2150-P,2023-6-5,2023-6-8,2150.0,put,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-800-C,2023-5-18,2023-6-9,800.0,call,1839.45,0.0005,0.0,0.00025,0.0,30.0,0.0
ETH-9JUN23-800-P,2023-5-18,2023-6-9,800.0,put,1839.45,0.0,0.0005,0.00025,0.0,0.0,266.73
ETH-9JUN23-900-C,2023-5-18,2023-6-9,900.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-900-P,2023-5-18,2023-6-9,900.0,put,1839.45,0.0,0.0005,0.00025,0.0,0.0,231.48
ETH-9JUN23-1000-C,2023-5-18,2023-6-9,1000.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1000-P,2023-5-18,2023-6-9,1000.0,put,1839.45,0.0,0.0005,0.00025,0.0,0.0,199.875
ETH-9JUN23-1100-C,2023-5-18,2023-6-9,1100.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1100-P,2023-5-18,2023-6-9,1100.0,put,1839.45,0.0,0.0005,0.00025,0.0,1075.0,171.135
ETH-9JUN23-1200-C,2023-5-18,2023-6-9,1200.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1200-P,2023-5-18,2023-6-9,1200.0,put,1839.45,0.0,0.0005,0.00025,0.0,2440.0,144.74
ETH-9JUN23-1300-C,2023-5-18,2023-6-9,1300.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1300-P,2023-5-18,2023-6-9,1300.0,put,1839.45,0.0,0.0005,0.00025,0.0,516.0,120.2
ETH-9JUN23-1350-C,2023-5-18,2023-6-9,1350.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1350-P,2023-5-18,2023-6-9,1350.0,put,1839.45,0.0,0.0005,0.00025,0.0,548.0,108.555
ETH-9JUN23-1400-C,2023-5-18,2023-6-9,1400.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1400-P,2023-5-18,2023-6-9,1400.0,put,1839.45,0.0,0.0005,0.00025,0.0,618.0,97.2
ETH-9JUN23-1450-C,2023-5-18,2023-6-9,1450.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1450-P,2023-5-18,2023-6-9,1450.0,put,1839.45,0.0,0.0005,0.00025,0.0,2702.0,86.14
ETH-9JUN23-1500-C,2023-5-18,2023-6-9,1500.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1500-P,2023-5-18,2023-6-9,1500.0,put,1839.45,0.0,0.0005,0.00025,11.0,7226.0,75.335
ETH-9JUN23-1550-C,2023-5-18,2023-6-9,1550.0,call,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-1550-P,2023-5-18,2023-6-9,1550.0,put,1839.45,0.0,0.0005,0.00025,0.0,2443.0,64.735
ETH-9JUN23-1600-C,2023-5-18,2023-6-9,1600.0,call,1839.45,0.0,0.0,0.0,6.0,522.0,0.0
ETH-9JUN23-1600-P,2023-5-18,2023-6-9,1600.0,put,1839.45,0.0,0.001,0.0005,47.0,3125.0,60.865
ETH-9JUN23-1650-C,2023-5-18,2023-6-9,1650.0,call,1839.45,0.0,0.0,0.0,5.0,52.0,0.0
ETH-9JUN23-1650-P,2023-5-18,2023-6-9,1650.0,put,1839.45,0.0,0.001,0.0005,968.0,5326.0,49.565
ETH-9JUN23-1700-C,2023-5-18,2023-6-9,1700.0,call,1839.45,0.053,0.0,0.0265,46.0,43.0,0.0
ETH-9JUN23-1700-P,2023-5-18,2023-6-9,1700.0,put,1839.45,0.0005,0.0015,0.001,355.0,15674.0,75.38499999999999
ETH-9JUN23-1725-C,2023-6-7,2023-6-9,1725.0,call,1839.45,0.0005,0.0,0.00025,0.0,0.0,0.0
ETH-9JUN23-1725-P,2023-6-7,2023-6-9,1725.0,put,1839.45,0.001,0.002,0.0015,42.0,42.0,70.89500000000001
ETH-9JUN23-1750-C,2023-5-18,2023-6-9,1750.0,call,1839.45,0.0015,0.0,0.00075,7.0,400.0,0.0
ETH-9JUN23-1750-P,2023-5-18,2023-6-9,1750.0,put,1839.45,0.002,0.0025,0.0022500000000000003,5727.0,13319.0,65.825
ETH-9JUN23-1775-C,2023-6-7,2023-6-9,1775.0,call,1839.45,0.0115,0.0,0.00575,6.0,6.0,0.0
ETH-9JUN23-1775-P,2023-6-7,2023-6-9,1775.0,put,1839.45,0.0025,0.003,0.00275,8.0,8.0,55.709999999999994
ETH-9JUN23-1800-C,2023-5-18,2023-6-9,1800.0,call,1839.45,0.025,0.0275,0.026250000000000002,62.0,3980.0,48.39
ETH-9JUN23-1800-P,2023-5-18,2023-6-9,1800.0,put,1839.45,0.004,0.0045,0.00425,11656.0,19466.0,48.885000000000005
ETH-9JUN23-1825-C,2023-6-7,2023-6-9,1825.0,call,1839.45,0.0005,0.0,0.00025,6.0,6.0,0.0
ETH-9JUN23-1825-P,2023-6-7,2023-6-9,1825.0,put,1839.45,0.007,0.008,0.0075,928.0,850.0,44.535
ETH-9JUN23-1850-C,2023-5-18,2023-6-9,1850.0,call,1839.45,0.008,0.0085,0.00825,1457.0,16376.0,41.795
ETH-9JUN23-1850-P,2023-5-18,2023-6-9,1850.0,put,1839.45,0.0125,0.014,0.013250000000000001,6275.0,8672.0,41.44
ETH-9JUN23-1875-C,2023-6-7,2023-6-9,1875.0,call,1839.45,0.0035,0.0045,0.004,189.0,185.0,42.515
ETH-9JUN23-1875-P,2023-6-7,2023-6-9,1875.0,put,1839.45,0.0005,0.0,0.00025,1.0,1.0,0.0
ETH-9JUN23-1900-C,2023-5-18,2023-6-9,1900.0,call,1839.45,0.0015,0.0025,0.002,2285.0,30242.0,45.19
ETH-9JUN23-1900-P,2023-5-18,2023-6-9,1900.0,put,1839.45,0.0065,0.0,0.00325,223.0,4322.0,0.0
ETH-9JUN23-1925-C,2023-6-7,2023-6-9,1925.0,call,1839.45,0.001,0.0015,0.00125,42.0,41.0,50.8
ETH-9JUN23-1925-P,2023-6-7,2023-6-9,1925.0,put,1839.45,0.02,0.0,0.01,0.0,0.0,0.0
ETH-9JUN23-1950-C,2023-5-18,2023-6-9,1950.0,call,1839.45,0.0005,0.001,0.00075,2055.0,10136.0,54.845
ETH-9JUN23-1950-P,2023-5-18,2023-6-9,1950.0,put,1839.45,0.035,0.0,0.0175,3.0,304.0,0.0
ETH-9JUN23-2000-C,2023-5-18,2023-6-9,2000.0,call,1839.45,0.0,0.0005,0.00025,1578.0,14774.0,34.365
ETH-9JUN23-2000-P,2023-5-18,2023-6-9,2000.0,put,1839.45,0.062,0.0,0.031,0.0,283.0,0.0
ETH-9JUN23-2050-C,2023-5-29,2023-6-9,2050.0,call,1839.45,0.0,0.0005,0.00025,108.0,2986.0,42.65
ETH-9JUN23-2050-P,2023-5-29,2023-6-9,2050.0,put,1839.45,0.0,0.0,0.0,0.0,0.0,0.0
ETH-9JUN23-2100-C,2023-5-18,2023-6-9,2100.0,call,1839.45,0.0,0.0005,0.00025,93.0,7135.0,50.505
