contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AAPL230519C00050000,AAPL,2023-05-19 19:50:00,2023-05-19,50.0,125.05,124.4,126.0,125.2,31.0,234.0,8.75000453125,175.16000366210938,calls,0.005252340607246827
AAPL230519C00055000,AAPL,2023-05-19 19:50:00,2023-05-19,55.0,120.05,119.4,121.0,120.2,5.0,0.0,8.125004921875,175.16000366210938,calls,0.005252340607246827
AAPL230519C00060000,AAPL,2023-05-19 15:14:16,2023-05-19,60.0,115.9,114.4,115.95,115.17500000000001,6.0,42.0,6.87500140625,175.16000366210938,calls,0.005252340607246827
AAPL230519C00065000,AAPL,2023-05-19 14:14:01,2023-05-19,65.0,110.9,109.7,110.95,110.325,5.0,0.0,8.234379853515623,175.16000366210938,calls,0.005252340607246827
AAPL230519C00070000,AAPL,2023-05-19 15:14:26,2023-05-19,70.0,105.85,104.4,106.0,105.2,24.0,0.0,6.500001875000001,175.16000366210938,calls,0.005252340607246827
AAPL230519C00075000,AAPL,2023-05-11 19:09:29,2023-05-19,75.0,99.15,99.35,100.95,100.15,5807.0,3.0,9.078129326171876,175.16000366210938,calls,0.005252340607246827
AAPL230519C00080000,AAPL,2023-05-15 13:36:34,2023-05-19,80.0,92.9,94.4,95.95,95.17500000000001,15.0,0.0,5.12500359375,175.16000366210938,calls,0.005252340607246827
AAPL230519C00085000,AAPL,2023-05-19 19:22:05,2023-05-19,85.0,90.33,89.5,90.95,90.225,9.0,14.0,5.468753164062499,175.16000366210938,calls,0.005252340607246827
AAPL230519C00090000,AAPL,2023-05-19 19:40:09,2023-05-19,90.0,85.11,84.35,86.0,85.175,5.0,11.0,4.375004531249999,175.16000366210938,calls,0.005252340607246827
AAPL230519C00095000,AAPL,2023-05-19 19:36:18,2023-05-19,95.0,80.2,79.4,81.0,80.2,8.0,12.0,4.437504453124999,175.16000366210938,calls,0.005252340607246827
AAPL230519C00100000,AAPL,2023-05-19 19:49:51,2023-05-19,100.0,75.1,74.4,76.0,75.2,41.0,155.0,4.0937548828125,175.16000366210938,calls,0.005252340607246827
AAPL230519C00105000,AAPL,2023-05-12 15:37:28,2023-05-19,105.0,67.55,69.5,70.95,70.225,28.0,19.0,3.9843750390625,175.16000366210938,calls,0.005252340607246827
AAPL230519C00110000,AAPL,2023-05-16 15:51:52,2023-05-19,110.0,61.96,64.4,66.0,65.2,1.0,3.0,3.4531263671875,175.16000366210938,calls,0.005252340607246827
AAPL230519C00115000,AAPL,2023-05-15 13:30:00,2023-05-19,115.0,57.35,59.4,61.0,60.2,2.0,2.0,3.156252109375,175.16000366210938,calls,0.005252340607246827
