contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MRK230526C00095000,MRK,2023-05-22 15:03:51,2023-05-26,95.0,20.3,19.4,19.65,19.525,1.0,2,0.70312796875,114.48999786376953,calls,0.02466591014666843
MRK230526C00097000,MRK,2023-05-18 13:52:04,2023-05-26,97.0,17.5,17.3,17.75,17.525,1.0,6,0.632816171875,114.48999786376953,calls,0.02466591014666843
MRK230526C00098000,MRK,2023-04-17 15:00:25,2023-05-26,98.0,17.55,16.7,17.25,16.975,0.0,2,0.9775392871093751,114.48999786376953,calls,0.02466591014666843
MRK230526C00099000,MRK,2023-05-19 16:51:38,2023-05-26,99.0,16.7,15.35,15.75,15.55,1.0,1,0.6132851171875001,114.48999786376953,calls,0.02466591014666843
MRK230526C00100000,MRK,2023-05-05 16:14:00,2023-05-26,100.0,17.6,14.35,14.75,14.55,1.0,1,0.5742230078125,114.48999786376953,calls,0.02466591014666843
MRK230526C00101000,MRK,2023-04-20 16:57:31,2023-05-26,101.0,13.67,14.5,14.7,14.6,0.0,1,1.0673874755859378,114.48999786376953,calls,0.02466591014666843
MRK230526C00102000,MRK,2023-05-22 15:50:09,2023-05-26,102.0,13.25,12.45,12.65,12.55,4.0,2,0.5039112109375,114.48999786376953,calls,0.02466591014666843
MRK230526C00104000,MRK,2023-04-25 16:00:21,2023-05-26,104.0,12.98,10.35,10.8,10.575,1.0,1,0.6044961425781252,114.48999786376953,calls,0.02466591014666843
MRK230526C00105000,MRK,2023-05-18 15:01:19,2023-05-26,105.0,10.0,9.35,9.7,9.524999999999999,8.0,58,0.506840869140625,114.48999786376953,calls,0.02466591014666843
MRK230526C00106000,MRK,2023-05-22 15:34:56,2023-05-26,106.0,9.76,8.4,8.7,8.55,1.0,1,0.463872548828125,114.48999786376953,calls,0.02466591014666843
MRK230526C00107000,MRK,2023-05-04 19:12:59,2023-05-26,107.0,10.68,7.45,7.8,7.625,1.0,7,0.46533737792968755,114.48999786376953,calls,0.02466591014666843
MRK230526C00108000,MRK,2023-05-19 18:50:10,2023-05-26,108.0,7.54,6.45,6.75,6.6,28.0,54,0.397466962890625,114.48999786376953,calls,0.02466591014666843
MRK230526C00109000,MRK,2023-05-22 16:04:52,2023-05-26,109.0,6.41,5.4,5.8,5.6,3.0,20,0.370123486328125,114.48999786376953,calls,0.02466591014666843
MRK230526C00110000,MRK,2023-05-22 19:35:08,2023-05-26,110.0,4.63,4.5,4.8,4.65,3.0,129,0.32129584960937496,114.48999786376953,calls,0.02466591014666843
MRK230526C00111000,MRK,2023-05-22 13:38:36,2023-05-26,111.0,5.76,3.7,3.9,3.8,20.0,146,0.299811689453125,114.48999786376953,calls,0.02466591014666843
MRK230526C00112000,MRK,2023-05-22 19:08:09,2023-05-26,112.0,3.23,2.81,2.95,2.88,5.0,321,0.2563550927734375,114.48999786376953,calls,0.02466591014666843
MRK230526C00113000,MRK,2023-05-22 19:41:24,2023-05-26,113.0,2.1,2.02,2.17,2.0949999999999998,8.0,548,0.243171630859375,114.48999786376953,calls,0.02466591014666843
MRK230526C00114000,MRK,2023-05-22 19:31:11,2023-05-26,114.0,1.4,1.35,1.42,1.385,66.0,941,0.2172929833984375,114.48999786376953,calls,0.02466591014666843
MRK230526C00115000,MRK,2023-05-22 19:49:34,2023-05-26,115.0,0.81,0.83,0.9,0.865,79.0,305,0.21216608154296873,114.48999786376953,calls,0.02466591014666843
MRK230526C00116000,MRK,2023-05-22 19:59:41,2023-05-26,116.0,0.49,0.46,0.51,0.485,404.0,529,0.20508607421874997,114.48999786376953,calls,0.02466591014666843
