contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
V230526C00165000,V,2023-04-24 13:57:09,2023-05-26,165.0,69.67,66.0,66.75,66.375,0.0,0,1.2382850585937497,231.27999877929688,calls,0.007134209653704393
V230526C00185000,V,2023-05-22 16:35:08,2023-05-26,185.0,47.2,46.05,46.75,46.4,3.0,4,0.8867198828124999,231.27999877929688,calls,0.007134209653704393
V230526C00190000,V,2023-05-11 19:43:36,2023-05-26,190.0,41.02,41.05,41.9,41.474999999999994,1.0,2,0.8544936425781251,231.27999877929688,calls,0.007134209653704393
V230526C00200000,V,2023-05-02 16:09:22,2023-05-26,200.0,27.75,31.2,31.8,31.5,1.0,2,0.6748079394531252,231.27999877929688,calls,0.007134209653704393
V230526C00210000,V,2023-05-01 16:37:47,2023-05-26,210.0,24.96,21.25,21.85,21.55,1.0,2,0.5009815527343751,231.27999877929688,calls,0.007134209653704393
V230526C00215000,V,2023-05-16 17:27:26,2023-05-26,215.0,16.25,16.3,16.85,16.575000000000003,5.0,18,0.47949739257812496,231.27999877929688,calls,0.007134209653704393
V230526C00217500,V,2023-05-17 15:25:12,2023-05-26,217.5,14.0,13.8,14.4,14.100000000000001,1.0,2,0.432622861328125,231.27999877929688,calls,0.007134209653704393
V230526C00220000,V,2023-05-22 19:42:38,2023-05-26,220.0,11.8,11.3,11.95,11.625,3.0,25,0.38233039550781245,231.27999877929688,calls,0.007134209653704393
V230526C00222500,V,2023-05-18 16:33:04,2023-05-26,222.5,10.38,9.0,9.55,9.275,0.0,7,0.33667655517578127,231.27999877929688,calls,0.007134209653704393
V230526C00225000,V,2023-05-19 19:21:38,2023-05-26,225.0,8.59,6.7,7.1,6.9,11.0,143,0.2775951147460937,231.27999877929688,calls,0.007134209653704393
V230526C00227500,V,2023-05-22 13:50:57,2023-05-26,227.5,6.75,4.6,4.9,4.75,1.0,209,0.24097438720703124,231.27999877929688,calls,0.007134209653704393
V230526C00230000,V,2023-05-22 19:51:52,2023-05-26,230.0,2.97,2.88,3.0,2.94,182.0,511,0.213875048828125,231.27999877929688,calls,0.007134209653704393
V230526C00232500,V,2023-05-22 19:59:59,2023-05-26,232.5,1.47,1.46,1.52,1.49,538.0,776,0.1914143359375,231.27999877929688,calls,0.007134209653704393
V230526C00235000,V,2023-05-22 19:57:29,2023-05-26,235.0,0.59,0.57,0.63,0.6,1546.0,1537,0.17920742675781248,231.27999877929688,calls,0.007134209653704393
V230526C00237500,V,2023-05-22 19:44:56,2023-05-26,237.5,0.24,0.2,0.25,0.225,465.0,1429,0.18116053222656248,231.27999877929688,calls,0.007134209653704393
V230526C00240000,V,2023-05-22 19:51:17,2023-05-26,240.0,0.09,0.07,0.11,0.09,661.0,1452,0.19190261230468753,231.27999877929688,calls,0.007134209653704393
V230526C00242500,V,2023-05-22 19:56:27,2023-05-26,242.5,0.04,0.03,0.05,0.04,146.0,598,0.20410952148437497,231.27999877929688,calls,0.007134209653704393
V230526P00212500,V,2023-05-22 19:11:14,2023-05-26,212.5,0.04,0.03,0.06,0.045,27.0,55,0.34570966796874997,231.27999877929688,puts,0.007134209653704393
V230526P00215000,V,2023-05-22 19:05:33,2023-05-26,215.0,0.06,0.04,0.09,0.065,100.0,418,0.32520206054687495,231.27999877929688,puts,0.007134209653704393
V230526P00217500,V,2023-05-22 19:45:46,2023-05-26,217.5,0.09,0.06,0.1,0.08,16.0,239,0.28711650390624993,231.27999877929688,puts,0.007134209653704393
V230526P00220000,V,2023-05-22 19:58:57,2023-05-26,220.0,0.16,0.13,0.15,0.14,148.0,1078,0.2622144091796875,231.27999877929688,puts,0.007134209653704393
V230526P00222500,V,2023-05-22 19:59:19,2023-05-26,222.5,0.24,0.21,0.26,0.235,674.0,260,0.2436599072265625,231.27999877929688,puts,0.007134209653704393
V230526P00225000,V,2023-05-22 19:59:03,2023-05-26,225.0,0.4,0.38,0.45,0.41500000000000004,1239.0,464,0.22364057617187497,231.27999877929688,puts,0.007134209653704393
V230526P00227500,V,2023-05-22 19:41:36,2023-05-26,227.5,0.77,0.73,0.79,0.76,397.0,350,0.20337710693359373,231.27999877929688,puts,0.007134209653704393
V230526P00230000,V,2023-05-22 19:59:11,2023-05-26,230.0,1.4,1.34,1.4,1.37,502.0,835,0.18335777587890623,231.27999877929688,puts,0.007134209653704393
V230526P00232500,V,2023-05-22 19:59:22,2023-05-26,232.5,2.47,2.39,2.53,2.46,1143.0,792,0.1713950048828125,231.27999877929688,puts,0.007134209653704393
V230526P00235000,V,2023-05-22 16:43:25,2023-05-26,235.0,3.4,4.0,4.25,4.125,43.0,245,0.1667563793945313,231.27999877929688,puts,0.007134209653704393
V230526P00237500,V,2023-05-22 17:14:14,2023-05-26,237.5,5.75,5.95,6.5,6.225,11.0,8,0.1870198486328125,231.27999877929688,puts,0.007134209653704393
V230526P00240000,V,2023-05-22 19:38:32,2023-05-26,240.0,8.5,8.4,8.9,8.65,4.0,113,0.2133867724609375,231.27999877929688,puts,0.007134209653704393
V230526P00242500,V,2023-05-18 15:34:48,2023-05-26,242.5,9.84,10.9,11.5,11.2,0.0,4,0.28565167480468745,231.27999877929688,puts,0.007134209653704393
