contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AMZN230602C00055000,AMZN,2023-05-31 19:55:00,2023-06-02,55.0,65.85,67.5,68.0,67.75,10.0,41.0,5.273440908203124,122.7699966430664,calls,0.0
AMZN230602C00060000,AMZN,2023-06-01 19:59:26,2023-06-02,60.0,62.6,62.6,63.05,62.825,1.0,8.0,3.9218751953125004,122.7699966430664,calls,0.0
AMZN230602C00070000,AMZN,2023-06-01 17:29:05,2023-06-02,70.0,52.95,52.5,53.0,52.75,10.0,10.0,3.824219189453125,122.7699966430664,calls,0.0
AMZN230602C00075000,AMZN,2023-05-25 19:20:39,2023-06-02,75.0,39.95,47.55,48.05,47.8,26.0,31.0,2.593753515625,122.7699966430664,calls,0.0
AMZN230602C00080000,AMZN,2023-05-26 19:42:58,2023-06-02,80.0,39.93,42.5,42.95,42.725,55.0,46.0,2.8945340136718753,122.7699966430664,calls,0.0
AMZN230602C00085000,AMZN,2023-06-01 14:50:11,2023-06-02,85.0,37.0,37.5,37.95,37.725,6.0,20.0,2.5312536718749996,122.7699966430664,calls,0.0
AMZN230602C00086000,AMZN,2023-04-25 14:29:43,2023-06-02,86.0,19.0,28.75,29.2,28.975,1.0,2.0,1.0000000000000003e-05,122.7699966430664,calls,0.0
AMZN230602C00087000,AMZN,2023-05-30 18:43:48,2023-06-02,87.0,35.18,35.6,35.95,35.775000000000006,1.0,5.0,1.5625021874999998,122.7699966430664,calls,0.0
AMZN230602C00088000,AMZN,2023-06-01 14:21:33,2023-06-02,88.0,32.65,34.55,35.0,34.775,2.0,8.0,1.5000025,122.7699966430664,calls,0.0
AMZN230602C00089000,AMZN,2023-05-26 18:25:30,2023-06-02,89.0,31.94,33.5,34.05,33.775,6.0,9.0,1.46875265625,122.7699966430664,calls,0.0
AMZN230602C00090000,AMZN,2023-06-01 15:25:30,2023-06-02,90.0,31.86,32.65,32.9,32.775,12.0,158.0,1.4375028125,122.7699966430664,calls,0.0
