contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
KO230602C00040000,KO,2023-05-26 14:43:45,2023-06-02,40.0,20.6,19.8,20.2,20.0,5.0,8,0.500005,60.0,calls,0.029600000000000005
KO230602C00045000,KO,2023-05-30 16:37:48,2023-06-02,45.0,14.65,14.8,15.2,15.0,3.0,8,0.500005,60.0,calls,0.029600000000000005
KO230602C00049000,KO,2023-05-26 14:43:46,2023-06-02,49.0,11.6,10.8,11.2,11.0,4.0,4,0.500005,60.0,calls,0.029600000000000005
KO230602C00050000,KO,2023-05-25 16:59:15,2023-06-02,50.0,10.4,9.9,10.1,10.0,0.0,2,0.500005,60.0,calls,0.029600000000000005
KO230602C00051000,KO,2023-05-09 13:54:31,2023-06-02,51.0,12.55,8.8,9.2,9.0,0.0,1,0.500005,60.0,calls,0.029600000000000005
KO230602C00052000,KO,2023-05-26 18:04:33,2023-06-02,52.0,8.2,7.85,8.15,8.0,1.0,6,0.500005,60.0,calls,0.029600000000000005
KO230602C00053000,KO,2023-05-26 18:04:33,2023-06-02,53.0,7.2,6.8,7.15,6.975,3.0,3,1.140629296875,60.0,calls,0.029600000000000005
KO230602C00054000,KO,2023-05-18 16:05:16,2023-06-02,54.0,8.8,5.8,6.15,5.975,5.0,6,1.0039112304687499,60.0,calls,0.029600000000000005
KO230602C00055000,KO,2023-06-01 19:51:13,2023-06-02,55.0,5.05,4.9,5.1,5.0,16.0,21,0.789064609375,60.0,calls,0.029600000000000005
KO230602C00057000,KO,2023-06-01 14:33:54,2023-06-02,57.0,2.91,2.9,3.15,3.025,10.0,25,0.5898478515625001,60.0,calls,0.029600000000000005
KO230602C00058000,KO,2023-06-01 16:05:52,2023-06-02,58.0,2.07,1.92,2.09,2.005,39.0,34,0.37695935546875,60.0,calls,0.029600000000000005
KO230602C00059000,KO,2023-06-01 19:46:04,2023-06-02,59.0,1.07,0.96,1.09,1.025,268.0,402,0.23242955078125,60.0,calls,0.029600000000000005
KO230602C00060000,KO,2023-06-01 19:59:38,2023-06-02,60.0,0.2,0.18,0.23,0.20500000000000002,1336.0,2326,0.129891513671875,60.0,calls,0.029600000000000005
KO230602C00061000,KO,2023-06-01 19:58:17,2023-06-02,61.0,0.02,0.01,0.02,0.015,981.0,6247,0.148446015625,60.0,calls,0.029600000000000005
KO230602P00059000,KO,2023-06-01 19:57:58,2023-06-02,59.0,0.03,0.02,0.04,0.03,132.0,2778,0.18164880859375,60.0,puts,0.029600000000000005
KO230602P00060000,KO,2023-06-01 19:36:50,2023-06-02,60.0,0.21,0.18,0.23,0.20500000000000002,590.0,1572,0.129891513671875,60.0,puts,0.029600000000000005
KO230602P00061000,KO,2023-06-01 19:29:15,2023-06-02,61.0,0.88,0.93,1.08,1.0050000000000001,45.0,518,0.22071091796874998,60.0,puts,0.029600000000000005
KO230602P00062000,KO,2023-06-01 19:29:15,2023-06-02,62.0,1.91,1.92,2.08,2.0,61.0,470,0.35352208984374994,60.0,puts,0.029600000000000005
KO230602P00062500,KO,2023-06-01 14:40:10,2023-06-02,62.5,2.66,2.39,2.58,2.4850000000000003,13.0,516,0.414068359375,60.0,puts,0.029600000000000005
KO230602P00063000,KO,2023-06-01 14:07:54,2023-06-02,63.0,2.99,2.87,3.15,3.01,11.0,10,0.56055126953125,60.0,puts,0.029600000000000005
KO230602P00064000,KO,2023-05-31 13:45:06,2023-06-02,64.0,4.09,3.85,4.15,4.0,3.0,1,0.6835969140625001,60.0,puts,0.029600000000000005
KO230602P00065000,KO,2023-05-31 13:43:53,2023-06-02,65.0,5.06,4.85,5.15,5.0,1.0,0,0.79883013671875,60.0,puts,0.029600000000000005
KO230602P00066000,KO,2023-06-01 14:40:10,2023-06-02,66.0,6.14,5.8,6.15,5.975,1.0,0,0.9101571484375,60.0,puts,0.029600000000000005
KO230602P00067000,KO,2023-05-02 13:57:24,2023-06-02,67.0,3.2,6.85,7.15,7.0,160.0,0,0.500005,60.0,puts,0.029600000000000005
KO230602P00068000,KO,2023-05-26 14:43:47,2023-06-02,68.0,7.45,7.8,8.15,7.975,1.0,0,1.1171919140625,60.0,puts,0.029600000000000005
