contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MCD230602C00250000,MCD,2023-05-30 14:22:51,2023-06-02,250.0,36.01,37.25,38.15,37.7,1.0,3,1.0449266503906252,287.8699951171875,calls,0.019953451549063684
MCD230602C00265000,MCD,2023-05-30 15:27:58,2023-06-02,265.0,20.4,22.25,23.55,22.9,2.0,3,0.8242205078124999,287.8699951171875,calls,0.019953451549063684
MCD230602C00267500,MCD,2023-06-01 19:15:55,2023-06-02,267.5,20.2,19.75,21.1,20.425,5.0,5,0.7675804492187501,287.8699951171875,calls,0.019953451549063684
MCD230602C00270000,MCD,2023-06-01 19:15:55,2023-06-02,270.0,17.75,17.1,18.5,17.8,5.0,7,0.6669955175781253,287.8699951171875,calls,0.019953451549063684
MCD230602C00272500,MCD,2023-05-26 14:33:09,2023-06-02,272.5,16.25,14.35,16.05,15.2,3.0,3,0.6079140771484376,287.8699951171875,calls,0.019953451549063684
MCD230602C00275000,MCD,2023-06-01 19:39:51,2023-06-02,275.0,12.65,12.5,13.05,12.775,1360.0,100,0.38281867187499996,287.8699951171875,calls,0.019953451549063684
MCD230602C00277500,MCD,2023-06-01 19:30:25,2023-06-02,277.5,10.19,9.4,10.95,10.175,44.0,13,0.43555251953125,287.8699951171875,calls,0.019953451549063684
MCD230602C00280000,MCD,2023-06-01 19:39:51,2023-06-02,280.0,7.6,7.5,8.05,7.775,720.0,59,0.25879647460937505,287.8699951171875,calls,0.019953451549063684
MCD230602C00282500,MCD,2023-06-01 19:39:56,2023-06-02,282.5,5.1,5.05,5.6,5.324999999999999,2646.0,159,0.20655090332031245,287.8699951171875,calls,0.019953451549063684
MCD230602C00285000,MCD,2023-06-01 19:59:33,2023-06-02,285.0,2.7,2.62,3.1,2.8600000000000003,7084.0,491,0.13355358642578125,287.8699951171875,calls,0.019953451549063684
MCD230602C00287500,MCD,2023-06-01 19:59:15,2023-06-02,287.5,0.44,0.36,0.58,0.47,871.0,553,0.0429783203125,287.8699951171875,calls,0.019953451549063684
MCD230602C00290000,MCD,2023-06-01 19:57:03,2023-06-02,290.0,0.12,0.06,0.12,0.09,1192.0,795,0.08789974609375001,287.8699951171875,calls,0.019953451549063684
