contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ORCL230602C00050000,ORCL,2023-05-26 15:37:04,2023-06-02,50.0,54.4,55.65,56.3,55.974999999999994,1.0,1,5.332034584960937,105.98999786376953,calls,0.012579803379627252
ORCL230602C00080000,ORCL,2023-06-01 14:35:59,2023-06-02,80.0,25.09,25.7,26.25,25.975,6.0,6,2.2070357324218746,105.98999786376953,calls,0.012579803379627252
ORCL230602C00082000,ORCL,2023-05-31 15:02:44,2023-06-02,82.0,23.05,23.7,24.25,23.975,1.0,2,2.042973642578125,105.98999786376953,calls,0.012579803379627252
ORCL230602C00084000,ORCL,2023-05-31 17:23:26,2023-06-02,84.0,21.75,21.75,22.25,22.0,1.0,1,1.1875040625,105.98999786376953,calls,0.012579803379627252
ORCL230602C00085000,ORCL,2023-05-31 15:02:53,2023-06-02,85.0,19.8,20.7,21.25,20.975,1.0,6,1.8046884765624998,105.98999786376953,calls,0.012579803379627252
ORCL230602C00086000,ORCL,2023-06-01 13:33:45,2023-06-02,86.0,19.35,19.75,20.25,20.0,10.0,1,1.0625046875000002,105.98999786376953,calls,0.012579803379627252
ORCL230602C00087000,ORCL,2023-06-01 16:22:32,2023-06-02,87.0,18.85,18.75,19.25,19.0,1.0,15,1.015629921875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00089000,ORCL,2023-05-26 16:01:45,2023-06-02,89.0,15.95,16.75,17.25,17.0,1.0,1,0.9062509375,105.98999786376953,calls,0.012579803379627252
ORCL230602C00090000,ORCL,2023-05-25 17:59:10,2023-06-02,90.0,13.24,15.75,16.2,15.975,1.0,6,1.3515657421874998,105.98999786376953,calls,0.012579803379627252
ORCL230602C00091000,ORCL,2023-06-01 16:16:55,2023-06-02,91.0,14.81,14.75,15.25,15.0,1.0,7,0.8125018749999999,105.98999786376953,calls,0.012579803379627252
ORCL230602C00092000,ORCL,2023-06-01 13:38:13,2023-06-02,92.0,13.05,13.8,14.05,13.925,29.0,43,0.9570316796874999,105.98999786376953,calls,0.012579803379627252
ORCL230602C00093000,ORCL,2023-05-30 16:27:17,2023-06-02,93.0,12.1,12.75,13.25,13.0,6.0,52,0.70312796875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00094000,ORCL,2023-05-23 16:50:19,2023-06-02,94.0,5.85,11.75,12.25,12.0,6.0,53,0.6562534375000001,105.98999786376953,calls,0.012579803379627252
ORCL230602C00095000,ORCL,2023-06-01 19:43:30,2023-06-02,95.0,11.05,10.8,11.05,10.925,13.0,179,0.7695335546875001,105.98999786376953,calls,0.012579803379627252
ORCL230602C00096000,ORCL,2023-06-01 19:43:30,2023-06-02,96.0,10.06,9.8,10.05,9.925,15.0,76,0.7070341796875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00097000,ORCL,2023-05-31 19:26:23,2023-06-02,97.0,8.85,8.8,9.05,8.925,1.0,109,0.6445348046875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00098000,ORCL,2023-06-01 15:22:08,2023-06-02,98.0,7.2,7.8,8.05,7.925000000000001,3.0,486,0.5820354296875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00099000,ORCL,2023-06-01 14:05:15,2023-06-02,99.0,6.5,6.8,7.2,7.0,15.0,875,0.6816438085937502,105.98999786376953,calls,0.012579803379627252
ORCL230602C00100000,ORCL,2023-06-01 18:06:08,2023-06-02,100.0,6.25,5.8,6.2,6.0,598.0,1071,0.6054726953125001,105.98999786376953,calls,0.012579803379627252
ORCL230602C00101000,ORCL,2023-06-01 19:37:18,2023-06-02,101.0,5.18,4.8,5.15,4.975,24.0,1295,0.49023947265625006,105.98999786376953,calls,0.012579803379627252
ORCL230602C00102000,ORCL,2023-06-01 18:40:18,2023-06-02,102.0,4.37,3.85,4.1,3.9749999999999996,54.0,3394,0.37500625,105.98999786376953,calls,0.012579803379627252
ORCL230602C00103000,ORCL,2023-06-01 19:43:47,2023-06-02,103.0,3.02,2.89,3.1,2.995,68.0,1315,0.3007882421875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00104000,ORCL,2023-06-01 19:58:10,2023-06-02,104.0,1.98,1.98,2.14,2.06,119.0,1143,0.247077841796875,105.98999786376953,calls,0.012579803379627252
ORCL230602C00105000,ORCL,2023-06-01 19:52:57,2023-06-02,105.0,1.21,1.15,1.26,1.205,216.0,1640,0.20801573242187496,105.98999786376953,calls,0.012579803379627252
