contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WMT230602C00125000,WMT,2023-05-22 19:13:54,2023-06-02,125.0,23.95,21.85,22.7,22.275,2.0,2,1.359378203125,147.41000366210938,calls,0.015286162928931096
WMT230602C00129000,WMT,2023-05-25 14:51:58,2023-06-02,129.0,16.65,17.95,18.7,18.325,0.0,3,1.1464886425781249,147.41000366210938,calls,0.015286162928931096
WMT230602C00135000,WMT,2023-05-31 16:13:23,2023-06-02,135.0,11.8,11.85,12.7,12.274999999999999,2.0,1,0.8261736132812498,147.41000366210938,calls,0.015286162928931096
WMT230602C00140000,WMT,2023-06-01 19:19:15,2023-06-02,140.0,7.35,7.1,7.7,7.4,12.0,216,0.55273884765625,147.41000366210938,calls,0.015286162928931096
WMT230602C00141000,WMT,2023-06-01 16:04:10,2023-06-02,141.0,6.3,6.1,6.7,6.4,1.0,11,0.49609878906250005,147.41000366210938,calls,0.015286162928931096
WMT230602C00142000,WMT,2023-06-01 19:23:20,2023-06-02,142.0,5.25,5.05,5.7,5.375,1.0,8,0.43848217773437503,147.41000366210938,calls,0.015286162928931096
WMT230602C00143000,WMT,2023-06-01 19:02:28,2023-06-02,143.0,4.44,4.1,4.65,4.375,6.0,33,0.35742830078125,147.41000366210938,calls,0.015286162928931096
WMT230602C00144000,WMT,2023-06-01 14:19:52,2023-06-02,144.0,2.48,3.15,3.7,3.425,481.0,188,0.31836619140624994,147.41000366210938,calls,0.015286162928931096
WMT230602C00145000,WMT,2023-06-01 19:57:08,2023-06-02,145.0,2.25,2.36,2.6,2.48,52.0,382,0.21875781249999998,147.41000366210938,calls,0.015286162928931096
WMT230602C00146000,WMT,2023-06-01 19:58:44,2023-06-02,146.0,1.36,1.48,1.7,1.5899999999999999,299.0,716,0.1860432958984375,147.41000366210938,calls,0.015286162928931096
WMT230602C00147000,WMT,2023-06-01 19:59:51,2023-06-02,147.0,0.77,0.78,0.89,0.835,1329.0,877,0.15284050292968754,147.41000366210938,calls,0.015286162928931096
WMT230602C00148000,WMT,2023-06-01 19:59:12,2023-06-02,148.0,0.29,0.32,0.35,0.33499999999999996,7796.0,7273,0.13721565917968753,147.41000366210938,calls,0.015286162928931096
WMT230602C00149000,WMT,2023-06-01 19:55:34,2023-06-02,149.0,0.07,0.09,0.12,0.105,1944.0,4443,0.1401453173828125,147.41000366210938,calls,0.015286162928931096
WMT230602C00150000,WMT,2023-06-01 19:59:38,2023-06-02,150.0,0.03,0.03,0.04,0.035,453.0,1722,0.148446015625,147.41000366210938,calls,0.015286162928931096
WMT230602P00140000,WMT,2023-06-01 17:13:21,2023-06-02,140.0,0.01,0.01,0.02,0.015,22.0,459,0.3242255078124999,147.41000366210938,puts,0.015286162928931096
WMT230602P00141000,WMT,2023-06-01 19:35:59,2023-06-02,141.0,0.02,0.01,0.02,0.015,535.0,694,0.28516339843749994,147.41000366210938,puts,0.015286162928931096
WMT230602P00142000,WMT,2023-06-01 19:57:15,2023-06-02,142.0,0.03,0.02,0.03,0.025,45.0,308,0.26367923828125,147.41000366210938,puts,0.015286162928931096
WMT230602P00143000,WMT,2023-06-01 19:52:36,2023-06-02,143.0,0.03,0.03,0.04,0.035,187.0,590,0.23438265625,147.41000366210938,puts,0.015286162928931096
WMT230602P00144000,WMT,2023-06-01 19:48:45,2023-06-02,144.0,0.06,0.04,0.07,0.05500000000000001,663.0,814,0.21289849609375,147.41000366210938,puts,0.015286162928931096
WMT230602P00145000,WMT,2023-06-01 19:59:51,2023-06-02,145.0,0.1,0.08,0.1,0.09,758.0,907,0.179695703125,147.41000366210938,puts,0.015286162928931096
WMT230602P00146000,WMT,2023-06-01 19:58:41,2023-06-02,146.0,0.22,0.18,0.21,0.195,737.0,1982,0.16162947753906248,147.41000366210938,puts,0.015286162928931096
WMT230602P00147000,WMT,2023-06-01 19:59:44,2023-06-02,147.0,0.45,0.4,0.46,0.43000000000000005,1317.0,743,0.148446015625,147.41000366210938,puts,0.015286162928931096
WMT230602P00148000,WMT,2023-06-01 19:35:59,2023-06-02,148.0,1.0,0.86,0.99,0.925,256.0,462,0.14991084472656252,147.41000366210938,puts,0.015286162928931096
WMT230602P00149000,WMT,2023-06-01 17:02:15,2023-06-02,149.0,1.61,1.58,1.82,1.7000000000000002,304.0,776,0.1782308740234375,147.41000366210938,puts,0.015286162928931096
WMT230602P00150000,WMT,2023-06-01 19:59:53,2023-06-02,150.0,2.68,2.48,2.83,2.6550000000000002,140.0,2049,0.24414818359375,147.41000366210938,puts,0.015286162928931096
