contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AVGO230602C00320000,AVGO,2023-06-02 16:40:28,2023-06-02,320.0,488.8,486.4,496.0,491.2,5.0,7.0,10.041507630310061,812.0,calls,0.021182266009852214
AVGO230602C00340000,AVGO,2023-06-02 18:32:21,2023-06-02,340.0,471.1,470.6,476.3,473.45000000000005,5.0,2.0,7.9746094067382804,812.0,calls,0.021182266009852214
AVGO230602C00410000,AVGO,2023-06-02 16:47:58,2023-06-02,410.0,401.6,400.5,406.0,403.25,5.0,3.0,6.252931871337891,812.0,calls,0.021182266009852214
AVGO230602C00460000,AVGO,2023-06-02 19:32:44,2023-06-02,460.0,351.3,350.5,356.0,353.25,3.0,0.0,5.297854940185546,812.0,calls,0.021182266009852214
AVGO230602C00470000,AVGO,2023-06-02 19:46:01,2023-06-02,470.0,340.9,336.5,346.3,341.4,10.0,2.0,6.366701260375977,812.0,calls,0.021182266009852214
AVGO230602C00480000,AVGO,2023-06-02 16:33:14,2023-06-02,480.0,328.4,327.5,336.3,331.9,6.0,0.0,6.156740585327148,812.0,calls,0.021182266009852214
AVGO230602C00500000,AVGO,2023-06-02 17:07:59,2023-06-02,500.0,308.0,310.6,316.0,313.3,5.0,1.0,4.629887025146484,812.0,calls,0.021182266009852214
AVGO230602C00520000,AVGO,2023-06-02 19:32:44,2023-06-02,520.0,291.3,290.6,296.0,293.3,8.0,6.0,4.298832751464843,812.0,calls,0.021182266009852214
AVGO230602C00540000,AVGO,2023-06-02 16:47:58,2023-06-02,540.0,271.7,270.6,276.0,273.3,5.0,2.0,3.978515678710937,812.0,calls,0.021182266009852214
AVGO230602C00560000,AVGO,2023-06-02 18:59:21,2023-06-02,560.0,253.5,250.6,256.0,253.3,2.0,3.0,3.6679695800781253,812.0,calls,0.021182266009852214
AVGO230602C00565000,AVGO,2023-06-02 19:02:42,2023-06-02,565.0,250.5,245.6,251.0,248.3,7.0,1.0,3.5917978955078125,812.0,calls,0.021182266009852214
AVGO230602C00570000,AVGO,2023-06-02 18:59:21,2023-06-02,570.0,243.5,240.6,246.0,243.3,5.0,4.0,3.5156262109374996,812.0,calls,0.021182266009852214
AVGO230602C00575000,AVGO,2023-06-02 18:59:21,2023-06-02,575.0,238.5,235.6,241.0,238.3,2.0,5.0,3.4409193664550783,812.0,calls,0.021182266009852214
