contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
META230602C00020000,META,2023-06-02 15:06:38,2023-06-02,20.0,253.95,252.25,252.9,252.575,15.0,38.0,21.906253154296873,272.6099853515625,calls,0.0
META230602C00030000,META,2023-06-02 13:52:39,2023-06-02,30.0,243.15,242.25,242.9,242.575,24.0,26.0,18.34375426757813,272.6099853515625,calls,0.0
META230602C00040000,META,2023-06-02 14:15:35,2023-06-02,40.0,233.15,232.25,232.9,232.575,21.0,10.0,15.890625068359373,272.6099853515625,calls,0.0
META230602C00050000,META,2023-06-02 19:43:33,2023-06-02,50.0,222.5,222.25,222.9,222.575,22.0,0.0,14.031251230468751,272.6099853515625,calls,0.0
META230602C00070000,META,2023-06-02 14:09:10,2023-06-02,70.0,201.55,202.25,202.9,202.575,22.0,1.0,11.296877939453125,272.6099853515625,calls,0.0
META230602C00090000,META,2023-06-02 18:18:51,2023-06-02,90.0,182.91,182.25,182.9,182.575,33.0,0.0,9.289066694335938,272.6099853515625,calls,0.0
META230602C00100000,META,2023-06-02 16:19:43,2023-06-02,100.0,172.95,172.25,172.9,172.575,45.0,3.0,8.453129716796873,272.6099853515625,calls,0.0
META230602C00110000,META,2023-06-02 16:19:43,2023-06-02,110.0,162.6,162.25,162.9,162.575,30.0,236.0,7.70312537109375,272.6099853515625,calls,0.0
META230602C00120000,META,2023-06-02 18:45:59,2023-06-02,120.0,153.57,152.25,152.9,152.575,29.0,6.0,7.015626230468751,272.6099853515625,calls,0.0
META230602C00125000,META,2023-06-02 17:11:00,2023-06-02,125.0,149.4,147.25,147.9,147.575,27.0,17.0,6.695314130859376,272.6099853515625,calls,0.0
META230602C00130000,META,2023-06-02 17:30:41,2023-06-02,130.0,144.21,142.25,142.9,142.575,56.0,57.0,6.3828145214843754,272.6099853515625,calls,0.0
META230602C00135000,META,2023-06-02 19:35:51,2023-06-02,135.0,137.33,137.25,137.9,137.575,59.0,44.0,6.085939892578125,272.6099853515625,calls,0.0
META230602C00140000,META,2023-06-02 19:34:39,2023-06-02,140.0,132.25,132.25,132.9,132.575,74.0,58.0,5.79687775390625,272.6099853515625,calls,0.0
META230602C00145000,META,2023-06-02 16:44:53,2023-06-02,145.0,128.89,127.25,127.9,127.575,23.0,4.0,5.519534350585937,272.6099853515625,calls,0.0
META230602C00150000,META,2023-06-02 19:02:21,2023-06-02,150.0,123.21,122.25,122.9,122.575,10.0,9.0,5.250003437499999,272.6099853515625,calls,0.0
