contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
UNH230602C00320000,UNH,2023-04-19 19:32:11,2023-06-02,320.0,166.73,155.0,164.0,159.5,0.0,1,1.0000000000000003e-05,499.5799865722656,calls,0.012890828642248735
UNH230602C00340000,UNH,2023-06-02 19:32:48,2023-06-02,340.0,160.68,155.0,164.0,159.5,1.0,1,5.341800197753905,499.5799865722656,calls,0.012890828642248735
UNH230602C00425000,UNH,2023-05-31 19:52:24,2023-06-02,425.0,61.44,70.05,78.95,74.5,8.0,8,2.756106625366211,499.5799865722656,calls,0.012890828642248735
UNH230602C00430000,UNH,2023-05-31 19:08:29,2023-06-02,430.0,54.7,65.25,73.55,69.4,2.0,3,2.5356481921386718,499.5799865722656,calls,0.012890828642248735
UNH230602C00435000,UNH,2023-05-31 19:52:24,2023-06-02,435.0,51.22,61.0,67.35,64.175,8.0,8,2.151371809082031,499.5799865722656,calls,0.012890828642248735
UNH230602C00440000,UNH,2023-06-02 19:19:45,2023-06-02,440.0,60.61,58.5,61.4,59.95,11.0,110,1.291019169921875,499.5799865722656,calls,0.012890828642248735
UNH230602C00450000,UNH,2023-06-02 15:26:25,2023-06-02,450.0,50.59,47.85,51.05,49.45,38.0,137,1.4711940502929686,499.5799865722656,calls,0.012890828642248735
UNH230602C00455000,UNH,2023-06-02 19:45:50,2023-06-02,455.0,45.27,43.25,45.75,44.5,19.0,19,1.2763708056640621,499.5799865722656,calls,0.012890828642248735
UNH230602C00460000,UNH,2023-06-02 17:49:41,2023-06-02,460.0,39.68,38.55,40.65,39.599999999999994,28.0,29,0.6015664843750002,499.5799865722656,calls,0.012890828642248735
UNH230602C00465000,UNH,2023-06-02 19:32:48,2023-06-02,465.0,35.41,32.85,36.55,34.7,1.0,13,0.6640658593750002,499.5799865722656,calls,0.012890828642248735
UNH230602C00470000,UNH,2023-06-02 18:23:11,2023-06-02,470.0,30.44,27.8,31.0,29.4,1.0,58,0.9794923925781251,499.5799865722656,calls,0.012890828642248735
UNH230602C00472500,UNH,2023-06-01 18:16:15,2023-06-02,472.5,21.85,24.95,29.25,27.1,20.0,24,1.05078599609375,499.5799865722656,calls,0.012890828642248735
UNH230602C00475000,UNH,2023-06-02 19:52:13,2023-06-02,475.0,24.79,23.0,27.5,25.25,23.0,121,0.6953155468750001,499.5799865722656,calls,0.012890828642248735
UNH230602C00477500,UNH,2023-06-01 19:59:55,2023-06-02,477.5,14.53,21.3,23.2,22.25,2.0,109,0.7370631762695312,499.5799865722656,calls,0.012890828642248735
UNH230602C00480000,UNH,2023-06-02 19:52:13,2023-06-02,480.0,19.81,17.95,21.0,19.475,35.0,324,0.7290066162109375,499.5799865722656,calls,0.012890828642248735
UNH230602C00482500,UNH,2023-06-02 19:12:00,2023-06-02,482.5,17.65,15.4,18.9,17.15,21.0,204,0.7258328198242188,499.5799865722656,calls,0.012890828642248735
UNH230602C00485000,UNH,2023-06-02 19:39:48,2023-06-02,485.0,14.6,12.85,17.25,15.05,72.0,313,0.7700218310546876,499.5799865722656,calls,0.012890828642248735
UNH230602C00487500,UNH,2023-06-02 19:50:12,2023-06-02,487.5,12.0,10.6,14.95,12.774999999999999,52.0,132,0.7172879833984375,499.5799865722656,calls,0.012890828642248735
UNH230602C00490000,UNH,2023-06-02 19:57:53,2023-06-02,490.0,9.34,8.05,11.3,9.675,245.0,372,0.499028447265625,499.5799865722656,calls,0.012890828642248735
UNH230602C00492500,UNH,2023-06-02 19:54:47,2023-06-02,492.5,7.15,6.35,8.9,7.625,178.0,199,0.43457596679687505,499.5799865722656,calls,0.012890828642248735
UNH230602C00495000,UNH,2023-06-02 19:47:00,2023-06-02,495.0,4.85,3.9,5.7,4.8,888.0,487,0.27368890380859373,499.5799865722656,calls,0.012890828642248735
UNH230602C00497500,UNH,2023-06-02 19:50:12,2023-06-02,497.5,2.0,1.0,4.15,2.575,496.0,218,0.28784891845703114,499.5799865722656,calls,0.012890828642248735
UNH230602P00500000,UNH,2023-06-02 19:58:45,2023-06-02,500.0,1.0,0.1,1.19,0.645,607.0,86,0.09253837158203124,499.5799865722656,puts,0.012890828642248735
UNH230602P00502500,UNH,2023-06-02 19:12:08,2023-06-02,502.5,2.3,1.46,4.8,3.13,8.0,1,0.29883513671874995,499.5799865722656,puts,0.012890828642248735
UNH230602P00505000,UNH,2023-06-02 18:01:51,2023-06-02,505.0,4.53,3.95,7.45,5.7,1.0,12,0.39990834472656256,499.5799865722656,puts,0.012890828642248735
UNH230602P00510000,UNH,2023-06-02 19:58:15,2023-06-02,510.0,10.8,7.65,12.15,9.9,1.0,1,0.5141650146484374,499.5799865722656,puts,0.012890828642248735
UNH230602P00515000,UNH,2023-04-17 14:22:25,2023-06-02,515.0,17.6,28.9,31.75,30.325,2.0,0,2.0544482232666015,499.5799865722656,puts,0.012890828642248735
UNH230602P00520000,UNH,2023-04-25 16:03:33,2023-06-02,520.0,26.8,41.25,43.3,42.275,1.0,0,2.9154079849243164,499.5799865722656,puts,0.012890828642248735
UNH230602P00530000,UNH,2023-05-05 19:35:36,2023-06-02,530.0,34.55,28.35,32.4,30.375,24.0,0,1.0405321411132817,499.5799865722656,puts,0.012890828642248735
UNH230602P00535000,UNH,2023-04-26 14:05:00,2023-06-02,535.0,54.5,48.7,49.8,49.25,0.0,0,2.6003452960205085,499.5799865722656,puts,0.012890828642248735
UNH230602P00540000,UNH,2023-04-27 15:56:19,2023-06-02,540.0,51.5,57.1,60.6,58.85,0.0,0,3.2290058337402336,499.5799865722656,puts,0.012890828642248735
UNH230602P00550000,UNH,2023-04-25 13:59:02,2023-06-02,550.0,54.5,66.0,71.05,68.525,1.0,0,3.486939759216309,499.5799865722656,puts,0.012890828642248735
UNH230609C00420000,UNH,2023-05-25 19:58:19,2023-06-09,420.0,59.37,75.15,84.5,79.825,0.0,2,0.5576216113281252,499.5799865722656,calls,0.012890828642248735
UNH230609C00440000,UNH,2023-06-01 16:00:15,2023-06-09,440.0,58.9,57.85,61.95,59.900000000000006,1.0,103,0.6832307067871095,499.5799865722656,calls,0.012890828642248735
UNH230609C00450000,UNH,2023-05-26 18:24:24,2023-06-09,450.0,34.0,47.8,51.9,49.849999999999994,2.0,1,0.5886271606445312,499.5799865722656,calls,0.012890828642248735
UNH230609C00460000,UNH,2023-06-02 19:20:44,2023-06-09,460.0,40.99,38.15,41.7,39.925,9.0,402,0.4836477416992188,499.5799865722656,calls,0.012890828642248735
UNH230609C00465000,UNH,2023-06-02 19:45:50,2023-06-09,465.0,35.31,33.4,38.15,35.775,33.0,10,0.5230760583496092,499.5799865722656,calls,0.012890828642248735
UNH230609C00470000,UNH,2023-06-01 14:29:38,2023-06-09,470.0,21.23,27.9,32.0,29.95,1.0,12,0.4096738720703125,499.5799865722656,calls,0.012890828642248735
UNH230609C00472500,UNH,2023-05-30 18:21:55,2023-06-09,472.5,11.65,26.0,29.35,27.675,6.0,10,0.37720349365234374,499.5799865722656,calls,0.012890828642248735
UNH230609C00475000,UNH,2023-06-02 16:32:47,2023-06-09,475.0,25.75,23.8,26.6,25.200000000000003,19.0,56,0.3391179370117187,499.5799865722656,calls,0.012890828642248735
UNH230609C00477500,UNH,2023-06-01 17:44:39,2023-06-09,477.5,16.45,21.15,24.35,22.75,1.0,46,0.3290472369384765,499.5799865722656,calls,0.012890828642248735
UNH230609C00480000,UNH,2023-06-02 14:10:52,2023-06-09,480.0,18.55,18.65,21.85,20.25,8.0,87,0.30445031494140623,499.5799865722656,calls,0.012890828642248735
UNH230609C00482500,UNH,2023-06-02 14:10:36,2023-06-09,482.5,17.5,16.5,19.55,18.025,1.0,113,0.2890696093749999,499.5799865722656,calls,0.012890828642248735
UNH230609C00485000,UNH,2023-06-02 18:23:11,2023-06-09,485.0,15.15,14.55,17.15,15.85,14.0,119,0.2676464837646484,499.5799865722656,calls,0.012890828642248735
UNH230609C00487500,UNH,2023-06-02 19:17:10,2023-06-09,487.5,14.6,12.55,13.95,13.25,7.0,54,0.2092364233398437,499.5799865722656,calls,0.012890828642248735
UNH230609C00490000,UNH,2023-06-02 19:57:46,2023-06-09,490.0,11.2,10.8,12.0,11.4,71.0,192,0.20667297241210933,499.5799865722656,calls,0.012890828642248735
UNH230609C00492500,UNH,2023-06-02 18:57:13,2023-06-09,492.5,10.35,8.75,9.6,9.175,60.0,80,0.18189294677734374,499.5799865722656,calls,0.012890828642248735
UNH230609C00495000,UNH,2023-06-02 19:59:16,2023-06-09,495.0,7.67,7.1,7.55,7.324999999999999,239.0,196,0.16767189758300782,499.5799865722656,calls,0.012890828642248735
UNH230609C00497500,UNH,2023-06-02 19:53:44,2023-06-09,497.5,5.76,5.6,5.95,5.775,140.0,93,0.16431499755859375,499.5799865722656,calls,0.012890828642248735
UNH230609C00500000,UNH,2023-06-02 19:59:09,2023-06-09,500.0,4.45,4.15,4.5,4.325,746.0,464,0.15943223388671873,499.5799865722656,calls,0.012890828642248735
UNH230609C00502500,UNH,2023-06-02 19:59:15,2023-06-09,502.5,3.35,3.1,3.4,3.25,182.0,177,0.1593711993408203,499.5799865722656,calls,0.012890828642248735
UNH230609C00505000,UNH,2023-06-02 19:57:46,2023-06-09,505.0,2.22,2.19,2.47,2.33,367.0,480,0.15808947387695313,499.5799865722656,calls,0.012890828642248735
UNH230609C00507500,UNH,2023-06-02 19:52:49,2023-06-09,507.5,1.7,1.51,1.73,1.62,77.0,125,0.15662464477539065,499.5799865722656,calls,0.012890828642248735
UNH230609C00510000,UNH,2023-06-02 19:59:27,2023-06-09,510.0,1.13,1.1,1.21,1.155,857.0,486,0.157234990234375,499.5799865722656,calls,0.012890828642248735
UNH230609C00512500,UNH,2023-06-02 19:46:48,2023-06-09,512.5,0.84,0.68,0.92,0.8,124.0,53,0.16358258300781253,499.5799865722656,calls,0.012890828642248735
UNH230609C00515000,UNH,2023-06-02 19:46:51,2023-06-09,515.0,0.57,0.33,0.62,0.475,118.0,238,0.16394879028320314,499.5799865722656,calls,0.012890828642248735
UNH230609C00520000,UNH,2023-06-02 19:37:45,2023-06-09,520.0,0.3,0.21,0.41,0.31,115.0,204,0.1815267395019531,499.5799865722656,calls,0.012890828642248735
UNH230609C00525000,UNH,2023-06-02 19:17:23,2023-06-09,525.0,0.21,0.08,0.25,0.165,105.0,79,0.19385571777343752,499.5799865722656,calls,0.012890828642248735
UNH230609C00530000,UNH,2023-06-02 17:12:47,2023-06-09,530.0,0.15,0.05,0.2,0.125,17.0,137,0.21460746337890624,499.5799865722656,calls,0.012890828642248735
UNH230609C00535000,UNH,2023-06-01 15:48:29,2023-06-09,535.0,0.15,0.03,0.15,0.09,1.0,2,0.231452998046875,499.5799865722656,calls,0.012890828642248735
UNH230609C00540000,UNH,2023-06-02 19:10:28,2023-06-09,540.0,0.08,0.01,0.1,0.055,22.0,26,0.242195078125,499.5799865722656,calls,0.012890828642248735
UNH230609P00445000,UNH,2023-06-01 14:39:24,2023-06-09,445.0,0.19,0.01,0.16,0.085,3.0,83,0.36963520996093746,499.5799865722656,puts,0.012890828642248735
UNH230609P00450000,UNH,2023-06-02 19:53:40,2023-06-09,450.0,0.05,0.04,0.05,0.045,38.0,170,0.29004616210937495,499.5799865722656,puts,0.012890828642248735
UNH230609P00455000,UNH,2023-06-02 17:06:13,2023-06-09,455.0,0.05,0.02,0.13,0.075,8.0,153,0.29834686035156244,499.5799865722656,puts,0.012890828642248735
UNH230609P00460000,UNH,2023-06-02 19:30:50,2023-06-09,460.0,0.08,0.04,0.12,0.08,65.0,622,0.264655791015625,499.5799865722656,puts,0.012890828642248735
UNH230609P00465000,UNH,2023-06-02 19:20:03,2023-06-09,465.0,0.11,0.1,0.26,0.18,46.0,167,0.266608896484375,499.5799865722656,puts,0.012890828642248735
UNH230609P00470000,UNH,2023-06-02 19:02:03,2023-06-09,470.0,0.16,0.12,0.28,0.2,58.0,160,0.23657989990234374,499.5799865722656,puts,0.012890828642248735
UNH230609P00472500,UNH,2023-06-02 17:28:58,2023-06-09,472.5,0.22,0.09,0.47,0.27999999999999997,9.0,22,0.24439232177734377,499.5799865722656,puts,0.012890828642248735
UNH230609P00475000,UNH,2023-06-02 19:53:54,2023-06-09,475.0,0.33,0.18,0.33,0.255,43.0,120,0.20948056152343747,499.5799865722656,puts,0.012890828642248735
UNH230609P00477500,UNH,2023-06-02 19:59:16,2023-06-09,477.5,0.3,0.25,0.45,0.35,12.0,35,0.20557435058593748,499.5799865722656,puts,0.012890828642248735
UNH230609P00480000,UNH,2023-06-02 19:51:38,2023-06-09,480.0,0.42,0.31,0.52,0.41500000000000004,69.0,144,0.19361157958984376,499.5799865722656,puts,0.012890828642248735
UNH230609P00482500,UNH,2023-06-02 19:58:12,2023-06-09,482.5,0.54,0.43,0.65,0.54,44.0,74,0.1848226049804687,499.5799865722656,puts,0.012890828642248735
UNH230609P00485000,UNH,2023-06-02 19:57:46,2023-06-09,485.0,0.72,0.61,0.95,0.78,157.0,179,0.1844563977050781,499.5799865722656,puts,0.012890828642248735
UNH230609P00487500,UNH,2023-06-02 19:58:12,2023-06-09,487.5,0.96,0.73,1.18,0.955,151.0,59,0.1749350085449219,499.5799865722656,puts,0.012890828642248735
UNH230609P00490000,UNH,2023-06-02 19:57:15,2023-06-09,490.0,1.31,1.17,1.46,1.315,108.0,175,0.16443706665039062,499.5799865722656,puts,0.012890828642248735
UNH230609P00492500,UNH,2023-06-02 19:53:41,2023-06-09,492.5,1.85,1.66,1.97,1.815,192.0,136,0.1598594757080078,499.5799865722656,puts,0.012890828642248735
UNH230609P00495000,UNH,2023-06-02 19:58:54,2023-06-09,495.0,2.49,2.44,2.68,2.56,123.0,268,0.1570518865966797,499.5799865722656,puts,0.012890828642248735
UNH230609P00500000,UNH,2023-06-02 19:45:16,2023-06-09,500.0,4.5,4.4,4.75,4.575,144.0,93,0.15369498657226563,499.5799865722656,puts,0.012890828642248735
UNH230609P00505000,UNH,2023-06-02 19:19:51,2023-06-09,505.0,6.8,7.3,7.75,7.525,34.0,47,0.15284050292968754,499.5799865722656,puts,0.012890828642248735
UNH230609P00510000,UNH,2023-06-02 19:58:15,2023-06-09,510.0,11.5,9.85,12.6,11.225,32.0,13,0.20154607055664062,499.5799865722656,puts,0.012890828642248735
UNH230609P00530000,UNH,2023-05-04 15:48:58,2023-06-09,530.0,47.0,28.35,34.1,31.225,0.0,0,0.4576470251464845,499.5799865722656,puts,0.012890828642248735
UNH230609P00540000,UNH,2023-05-08 18:39:17,2023-06-09,540.0,46.5,38.3,44.55,41.425,5.0,0,0.5653119641113282,499.5799865722656,puts,0.012890828642248735
UNH230616C00230000,UNH,2023-05-19 14:54:59,2023-06-16,230.0,254.0,265.35,274.95,270.15,1.0,6,1.736329443359375,499.5799865722656,calls,0.012890828642248735
UNH230616C00240000,UNH,2023-02-02 15:24:48,2023-06-16,240.0,245.05,237.25,244.05,240.65,1.0,4,1.0000000000000003e-05,499.5799865722656,calls,0.012890828642248735
UNH230616C00250000,UNH,2022-12-06 15:24:21,2023-06-16,250.0,295.0,242.9,248.5,245.7,0.0,2,1.0000000000000003e-05,499.5799865722656,calls,0.012890828642248735
UNH230616C00300000,UNH,2023-06-02 14:39:10,2023-06-16,300.0,197.5,196.25,204.1,200.175,1.0,14,1.1948282446289062,499.5799865722656,calls,0.012890828642248735
UNH230616C00310000,UNH,2022-09-13 17:15:27,2023-06-16,310.0,222.05,204.25,210.1,207.175,3.0,52,2.4700965982055667,499.5799865722656,calls,0.012890828642248735
UNH230616C00320000,UNH,2023-05-18 15:31:25,2023-06-16,320.0,158.43,175.3,184.95,180.125,2.0,18,1.0459032080078128,499.5799865722656,calls,0.012890828642248735
UNH230616C00330000,UNH,2023-03-08 20:07:27,2023-06-16,330.0,144.73,183.5,189.75,186.625,1.0,1,2.204472262268066,499.5799865722656,calls,0.012890828642248735
UNH230616C00340000,UNH,2023-03-06 15:57:20,2023-06-16,340.0,144.0,172.0,181.0,176.5,3.0,4,2.0845995150756833,499.5799865722656,calls,0.012890828642248735
UNH230616C00350000,UNH,2023-05-25 19:37:44,2023-06-16,350.0,130.1,145.35,154.75,150.05,5.0,9,0.8388687988281249,499.5799865722656,calls,0.012890828642248735
UNH230616C00360000,UNH,2023-05-18 15:32:15,2023-06-16,360.0,119.05,136.55,144.15,140.35000000000002,1.0,21,0.8437515624999999,499.5799865722656,calls,0.012890828642248735
UNH230616C00370000,UNH,2023-04-25 19:20:23,2023-06-16,370.0,125.35,106.7,112.9,109.80000000000001,1.0,4,1.0000000000000003e-05,499.5799865722656,calls,0.012890828642248735
UNH230616C00380000,UNH,2023-06-01 16:05:50,2023-06-16,380.0,117.5,116.55,124.25,120.4,2.0,7,0.7309597216796875,499.5799865722656,calls,0.012890828642248735
UNH230616C00390000,UNH,2023-05-26 13:44:04,2023-06-16,390.0,97.35,106.65,114.2,110.42500000000001,1.0,20,0.6755403540039064,499.5799865722656,calls,0.012890828642248735
UNH230616C00400000,UNH,2023-06-02 14:32:03,2023-06-16,400.0,98.0,95.5,105.0,100.25,1.0,28,0.5918009570312501,499.5799865722656,calls,0.012890828642248735
UNH230616C00410000,UNH,2023-06-01 19:31:42,2023-06-16,410.0,85.18,86.05,94.95,90.5,1.0,25,0.56836369140625,499.5799865722656,calls,0.012890828642248735
UNH230616C00420000,UNH,2023-06-01 15:08:14,2023-06-16,420.0,73.42,76.05,84.95,80.5,2.0,21,0.5107470800781251,499.5799865722656,calls,0.012890828642248735
UNH230616C00430000,UNH,2023-05-31 19:52:24,2023-06-16,430.0,57.95,66.4,74.7,70.55000000000001,8.0,35,0.709963837890625,499.5799865722656,calls,0.012890828642248735
UNH230616C00440000,UNH,2023-06-02 13:41:22,2023-06-16,440.0,53.04,58.7,62.05,60.375,4.0,128,0.5046436254882812,499.5799865722656,calls,0.012890828642248735
UNH230616C00445000,UNH,2023-05-24 19:50:47,2023-06-16,445.0,39.79,53.45,57.9,55.675,0.0,1,0.5148974291992188,499.5799865722656,calls,0.012890828642248735
UNH230616C00450000,UNH,2023-06-02 15:29:21,2023-06-16,450.0,51.05,48.85,52.2,50.525000000000006,2.0,76,0.44550115051269534,499.5799865722656,calls,0.012890828642248735
UNH230616C00455000,UNH,2023-05-24 19:50:47,2023-06-16,455.0,30.94,43.25,47.7,45.475,0.0,1,0.43494217407226565,499.5799865722656,calls,0.012890828642248735
UNH230616C00460000,UNH,2023-06-02 16:02:49,2023-06-16,460.0,40.59,39.4,41.65,40.525,26.0,539,0.3506534661865234,499.5799865722656,calls,0.012890828642248735
UNH230616C00465000,UNH,2023-06-01 19:08:52,2023-06-16,465.0,32.23,34.2,37.45,35.825,9.0,17,0.3534000207519531,499.5799865722656,calls,0.012890828642248735
UNH230616C00470000,UNH,2023-06-02 19:59:15,2023-06-16,470.0,31.0,30.0,32.45,31.225,1.0,1909,0.3176948114013671,499.5799865722656,calls,0.012890828642248735
UNH230616C00472500,UNH,2023-06-01 14:23:16,2023-06-16,472.5,20.15,27.5,31.35,29.425,2.0,28,0.3506534661865234,499.5799865722656,calls,0.012890828642248735
UNH230616C00475000,UNH,2023-06-02 19:59:15,2023-06-16,475.0,26.35,25.0,28.85,26.925,6.0,43,0.3308782733154296,499.5799865722656,calls,0.012890828642248735
UNH230616C00477500,UNH,2023-06-01 18:05:00,2023-06-16,477.5,20.2,22.85,25.3,24.075000000000003,14.0,62,0.2752758020019531,499.5799865722656,calls,0.012890828642248735
UNH230616C00480000,UNH,2023-06-02 19:44:56,2023-06-16,480.0,21.93,20.45,22.95,21.7,46.0,1766,0.2611157873535156,499.5799865722656,calls,0.012890828642248735
UNH230616C00482500,UNH,2023-06-02 19:59:16,2023-06-16,482.5,19.85,18.65,20.75,19.7,4.0,354,0.25098405273437496,499.5799865722656,calls,0.012890828642248735
UNH230616C00485000,UNH,2023-06-02 19:26:44,2023-06-16,485.0,18.58,15.95,18.65,17.299999999999997,10.0,204,0.24262231994628902,499.5799865722656,calls,0.012890828642248735
UNH230616C00487500,UNH,2023-06-02 19:15:00,2023-06-16,487.5,16.25,14.4,16.15,15.274999999999999,4.0,149,0.22113815979003904,499.5799865722656,calls,0.012890828642248735
UNH230616C00490000,UNH,2023-06-02 19:57:22,2023-06-16,490.0,13.31,12.75,14.3,13.525,176.0,1615,0.21695729339599606,499.5799865722656,calls,0.012890828642248735
UNH230616C00492500,UNH,2023-06-02 19:59:28,2023-06-16,492.5,11.55,11.05,11.55,11.3,65.0,55,0.186531572265625,499.5799865722656,calls,0.012890828642248735
