contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
COP230602C00075000,COP,2023-06-01 14:48:59,2023-06-02,75.0,24.8,27.1,27.7,27.4,14.0,4,2.6250034375,102.3499984741211,calls,0.04990229678695517
COP230602C00080000,COP,2023-05-22 14:10:43,2023-06-02,80.0,23.25,22.15,22.55,22.35,0.0,1,0.500005,102.3499984741211,calls,0.04990229678695517
COP230602C00087000,COP,2023-05-23 13:36:24,2023-06-02,87.0,17.85,15.15,15.65,15.4,0.0,1,1.4921900390624998,102.3499984741211,calls,0.04990229678695517
COP230602C00089000,COP,2023-05-24 13:39:44,2023-06-02,89.0,16.4,13.2,13.55,13.375,0.0,1,1.1875040625,102.3499984741211,calls,0.04990229678695517
COP230602C00090000,COP,2023-05-26 13:31:55,2023-06-02,90.0,12.7,12.2,12.65,12.425,1.0,0,1.3046909765624997,102.3499984741211,calls,0.04990229678695517
COP230602C00091000,COP,2023-05-30 14:05:14,2023-06-02,91.0,9.74,11.2,11.6,11.399999999999999,1.0,1,1.1328168359375002,102.3499984741211,calls,0.04990229678695517
COP230602C00092000,COP,2023-05-22 14:10:43,2023-06-02,92.0,11.4,10.2,10.65,10.425,0.0,1,1.11328568359375,102.3499984741211,calls,0.04990229678695517
COP230602C00093000,COP,2023-06-01 14:17:04,2023-06-02,93.0,5.85,9.2,9.6,9.399999999999999,2.0,2,0.9492192578124999,102.3499984741211,calls,0.04990229678695517
COP230602C00094000,COP,2023-05-19 15:56:13,2023-06-02,94.0,9.05,8.2,8.55,8.375,1.0,51,0.773439765625,102.3499984741211,calls,0.04990229678695517
COP230602C00095000,COP,2023-06-01 13:30:03,2023-06-02,95.0,4.58,7.1,7.55,7.324999999999999,1.0,8,1.0273486132812502,102.3499984741211,calls,0.04990229678695517
COP230602C00096000,COP,2023-05-30 14:24:21,2023-06-02,96.0,5.3,6.15,6.6,6.375,5.0,30,0.6015664843750002,102.3499984741211,calls,0.04990229678695517
COP230602C00097000,COP,2023-06-02 13:30:02,2023-06-02,97.0,4.25,5.15,5.55,5.35,11.0,17,0.8027363476562499,102.3499984741211,calls,0.04990229678695517
COP230602C00098000,COP,2023-06-02 18:17:56,2023-06-02,98.0,4.65,4.2,4.55,4.375,6.0,38,0.6875031250000001,102.3499984741211,calls,0.04990229678695517
COP230602C00099000,COP,2023-06-01 19:54:33,2023-06-02,99.0,2.96,3.25,3.6,3.425,2.0,70,0.6132851171875001,102.3499984741211,calls,0.04990229678695517
COP230602C00100000,COP,2023-06-02 19:57:29,2023-06-02,100.0,2.35,2.2,2.57,2.385,181.0,273,0.46289599609375004,102.3499984741211,calls,0.04990229678695517
COP230602C00101000,COP,2023-06-02 19:49:35,2023-06-02,101.0,1.4,1.1,1.55,1.3250000000000002,123.0,371,0.3154365332031249,102.3499984741211,calls,0.04990229678695517
COP230602C00102000,COP,2023-06-02 19:52:06,2023-06-02,102.0,0.31,0.18,0.63,0.405,217.0,437,0.20313296874999998,102.3499984741211,calls,0.04990229678695517
COP230602C00104000,COP,2023-06-02 19:35:36,2023-06-02,104.0,0.02,0.01,0.03,0.02,77.0,464,0.1992267578125,102.3499984741211,calls,0.04990229678695517
COP230602P00103000,COP,2023-06-02 19:22:21,2023-06-02,103.0,0.26,0.51,0.84,0.675,36.0,460,0.20508607421874997,102.3499984741211,puts,0.04990229678695517
COP230602P00104000,COP,2023-06-02 14:36:55,2023-06-02,104.0,1.51,1.47,1.77,1.62,15.0,704,0.2919992675781249,102.3499984741211,puts,0.04990229678695517
COP230602P00105000,COP,2023-06-02 14:29:37,2023-06-02,105.0,3.36,2.48,2.78,2.63,1.0,358,0.41211525390625,102.3499984741211,puts,0.04990229678695517
COP230602P00106000,COP,2023-06-02 13:31:45,2023-06-02,106.0,4.95,3.4,3.8,3.5999999999999996,1.0,58,0.5371140039062501,102.3499984741211,puts,0.04990229678695517
COP230602P00107000,COP,2023-05-24 18:54:36,2023-06-02,107.0,4.05,4.4,4.75,4.575,0.0,16,0.57812921875,102.3499984741211,puts,0.04990229678695517
COP230602P00108000,COP,2023-06-02 18:29:28,2023-06-02,108.0,5.4,5.4,5.9,5.65,2.0,1,0.84179845703125,102.3499984741211,puts,0.04990229678695517
COP230602P00109000,COP,2023-05-22 13:34:48,2023-06-02,109.0,6.35,6.45,6.9,6.675000000000001,4.0,0,0.5937540625000001,102.3499984741211,puts,0.04990229678695517
COP230602P00110000,COP,2023-06-02 18:29:28,2023-06-02,110.0,7.4,7.4,7.8,7.6,40.0,0,0.9179695703125,102.3499984741211,puts,0.04990229678695517
COP230602P00111000,COP,2023-05-23 16:42:12,2023-06-02,111.0,9.95,8.45,8.85,8.649999999999999,1.0,0,0.500005,102.3499984741211,puts,0.04990229678695517
COP230602P00112000,COP,2023-05-26 16:47:01,2023-06-02,112.0,10.35,9.45,9.9,9.675,1.0,0,0.79687703125,102.3499984741211,puts,0.04990229678695517
COP230602P00113000,COP,2023-05-22 16:41:13,2023-06-02,113.0,9.0,10.4,10.8,10.600000000000001,0.0,0,1.1757853710937498,102.3499984741211,puts,0.04990229678695517
