contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JNJ230602C00130000,JNJ,2023-05-26 19:54:51,2023-06-02,130.0,24.9,26.2,28.2,27.2,1.0,1,2.0273486816406248,156.97000122070312,calls,0.02875284002188094
JNJ230602C00135000,JNJ,2023-04-13 13:56:55,2023-06-02,135.0,29.75,25.55,26.45,26.0,0.0,1,3.928711115722656,156.97000122070312,calls,0.02875284002188094
JNJ230602C00140000,JNJ,2023-05-31 19:20:08,2023-06-02,140.0,15.29,16.6,17.7,17.15,2.0,2,1.2812535937499998,156.97000122070312,calls,0.02875284002188094
JNJ230602C00145000,JNJ,2023-05-30 13:47:05,2023-06-02,145.0,9.4,11.5,13.0,12.25,5.0,4,1.052739111328125,156.97000122070312,calls,0.02875284002188094
JNJ230602C00149000,JNJ,2023-05-31 19:50:36,2023-06-02,149.0,6.45,7.25,9.1,8.175,10.0,15,0.708010732421875,156.97000122070312,calls,0.02875284002188094
JNJ230602C00150000,JNJ,2023-06-02 18:58:06,2023-06-02,150.0,6.8,6.55,7.95,7.25,3.0,25,0.69336244140625,156.97000122070312,calls,0.02875284002188094
JNJ230602C00152500,JNJ,2023-06-02 19:18:32,2023-06-02,152.5,4.66,4.1,4.95,4.525,259.0,253,0.6044961425781252,156.97000122070312,calls,0.02875284002188094
JNJ230602C00155000,JNJ,2023-06-02 19:54:30,2023-06-02,155.0,2.2,1.85,2.56,2.205,1973.0,2061,0.415044912109375,156.97000122070312,calls,0.02875284002188094
JNJ230602P00157500,JNJ,2023-06-02 19:34:00,2023-06-02,157.5,0.34,0.14,0.91,0.525,241.0,919,0.18555501953124998,156.97000122070312,puts,0.02875284002188094
JNJ230602P00160000,JNJ,2023-06-02 18:10:10,2023-06-02,160.0,3.44,2.07,3.4,2.735,62.0,232,0.41992767578125,156.97000122070312,puts,0.02875284002188094
JNJ230602P00162500,JNJ,2023-06-02 13:47:18,2023-06-02,162.5,6.64,4.8,5.9,5.35,1.0,2,0.6152382226562501,156.97000122070312,puts,0.02875284002188094
JNJ230602P00165000,JNJ,2023-06-02 19:31:00,2023-06-02,165.0,7.75,7.25,8.45,7.85,3.0,25,0.8212908496093749,156.97000122070312,puts,0.02875284002188094
JNJ230602P00170000,JNJ,2023-06-01 15:35:16,2023-06-02,170.0,15.15,12.3,13.4,12.850000000000001,1.0,0,1.1103560107421875,156.97000122070312,puts,0.02875284002188094
JNJ230602P00175000,JNJ,2023-05-24 19:12:09,2023-06-02,175.0,18.35,17.4,18.4,17.9,3.0,0,1.400393623046875,156.97000122070312,puts,0.02875284002188094
JNJ230602P00185000,JNJ,2023-04-13 14:00:28,2023-06-02,185.0,20.85,24.75,25.65,25.2,0.0,1,1.0000000000000003e-05,156.97000122070312,puts,0.02875284002188094
JNJ230609C00135000,JNJ,2023-05-25 18:06:09,2023-06-09,135.0,20.1,21.75,22.75,22.25,0.0,2,0.6201209863281252,156.97000122070312,calls,0.02875284002188094
JNJ230609C00140000,JNJ,2023-05-31 19:20:08,2023-06-09,140.0,15.46,16.7,17.6,17.15,2.0,24,0.6040078662109377,156.97000122070312,calls,0.02875284002188094
JNJ230609C00145000,JNJ,2023-06-01 16:28:22,2023-06-09,145.0,9.8,11.75,12.6,12.175,50.0,70,0.4624077197265626,156.97000122070312,calls,0.02875284002188094
JNJ230609C00147000,JNJ,2023-05-30 16:37:46,2023-06-09,147.0,7.4,9.75,10.85,10.3,1.0,3,0.45215391601562505,156.97000122070312,calls,0.02875284002188094
JNJ230609C00148000,JNJ,2023-06-01 14:16:57,2023-06-09,148.0,6.56,8.8,10.4,9.600000000000001,1.0,4,0.5092822509765625,156.97000122070312,calls,0.02875284002188094
JNJ230609C00150000,JNJ,2023-06-02 19:47:55,2023-06-09,150.0,7.3,6.8,7.6,7.199999999999999,24.0,10,0.3154365332031249,156.97000122070312,calls,0.02875284002188094
JNJ230609C00152500,JNJ,2023-06-02 19:17:56,2023-06-09,152.5,4.8,4.45,5.2,4.825,252.0,143,0.25269302001953126,156.97000122070312,calls,0.02875284002188094
JNJ230609C00155000,JNJ,2023-06-02 19:53:15,2023-06-09,155.0,2.79,2.47,2.7,2.585,309.0,407,0.1645591357421875,156.97000122070312,calls,0.02875284002188094
JNJ230609C00157500,JNJ,2023-06-02 19:59:45,2023-06-09,157.5,0.88,0.87,0.95,0.9099999999999999,1741.0,620,0.1289149609375,156.97000122070312,calls,0.02875284002188094
JNJ230609C00160000,JNJ,2023-06-02 19:57:47,2023-06-09,160.0,0.23,0.18,0.23,0.20500000000000002,1407.0,695,0.12500875,156.97000122070312,calls,0.02875284002188094
JNJ230609C00162500,JNJ,2023-06-02 19:58:56,2023-06-09,162.5,0.05,0.03,0.1,0.065,391.0,168,0.15332877929687502,156.97000122070312,calls,0.02875284002188094
