contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NKE230602C00080000,NKE,2023-05-23 19:54:07,2023-06-02,80.0,29.15,27.4,28.35,27.875,0.0,0,2.75781560546875,107.77999877929688,calls,0.011838931290144931
NKE230602C00085000,NKE,2023-05-26 15:41:30,2023-06-02,85.0,23.15,22.4,23.4,22.9,2.0,0,2.3515666210937494,107.77999877929688,calls,0.011838931290144931
NKE230602C00090000,NKE,2023-05-26 19:53:00,2023-06-02,90.0,17.5,17.35,18.3,17.825000000000003,4.0,0,1.5937520312499998,107.77999877929688,calls,0.011838931290144931
NKE230602C00095000,NKE,2023-05-24 13:40:35,2023-06-02,95.0,13.95,12.5,13.2,12.85,0.0,0,1.2578162109375,107.77999877929688,calls,0.011838931290144931
NKE230602C00100000,NKE,2023-06-02 19:42:43,2023-06-02,100.0,8.43,7.4,8.2,7.8,7.0,5,0.6640658593750002,107.77999877929688,calls,0.011838931290144931
NKE230602C00102000,NKE,2023-06-02 19:22:17,2023-06-02,102.0,6.22,5.4,6.1,5.75,6.0,211,0.92187578125,107.77999877929688,calls,0.011838931290144931
NKE230602C00103000,NKE,2023-06-02 19:18:31,2023-06-02,103.0,5.05,4.4,5.1,4.75,32.0,74,0.805666005859375,107.77999877929688,calls,0.011838931290144931
NKE230602C00104000,NKE,2023-06-02 18:56:23,2023-06-02,104.0,4.18,3.45,4.15,3.8000000000000003,1312.0,2848,0.7226590234375,107.77999877929688,calls,0.011838931290144931
NKE230602C00105000,NKE,2023-06-02 19:59:49,2023-06-02,105.0,2.75,2.6,2.98,2.79,296.0,2285,0.47461462890625,107.77999877929688,calls,0.011838931290144931
NKE230602C00106000,NKE,2023-06-02 19:30:39,2023-06-02,106.0,2.12,1.51,2.04,1.775,513.0,1918,0.39258419921875,107.77999877929688,calls,0.011838931290144931
NKE230602C00107000,NKE,2023-06-02 19:59:33,2023-06-02,107.0,0.8,0.54,0.95,0.745,1976.0,1366,0.20410952148437497,107.77999877929688,calls,0.011838931290144931
NKE230602P00107000,NKE,2023-06-02 19:59:54,2023-06-02,107.0,0.01,0.01,0.05,0.030000000000000002,1333.0,1561,0.12696185546875,107.77999877929688,puts,0.011838931290144931
NKE230602P00108000,NKE,2023-06-02 19:59:14,2023-06-02,108.0,0.26,0.04,0.44,0.24,1183.0,1034,0.14112187011718752,107.77999877929688,puts,0.011838931290144931
NKE230602P00109000,NKE,2023-06-02 19:58:28,2023-06-02,109.0,1.1,1.0,1.46,1.23,78.0,600,0.301764794921875,107.77999877929688,puts,0.011838931290144931
NKE230602P00110000,NKE,2023-06-02 19:54:39,2023-06-02,110.0,1.94,2.03,2.43,2.23,59.0,597,0.407232490234375,107.77999877929688,puts,0.011838931290144931
NKE230602P00111000,NKE,2023-06-02 19:03:26,2023-06-02,111.0,2.73,2.97,3.6,3.285,14.0,728,0.63867548828125,107.77999877929688,puts,0.011838931290144931
NKE230602P00112000,NKE,2023-06-02 18:35:30,2023-06-02,112.0,4.03,3.85,4.6,4.225,8.0,167,0.7539087109375,107.77999877929688,puts,0.011838931290144931
NKE230602P00113000,NKE,2023-06-02 19:30:34,2023-06-02,113.0,4.9,4.85,5.65,5.25,3.0,91,0.9003916210937499,107.77999877929688,puts,0.011838931290144931
NKE230602P00114000,NKE,2023-06-02 18:36:01,2023-06-02,114.0,5.95,5.95,6.65,6.300000000000001,10.0,1419,0.6523472265625001,107.77999877929688,puts,0.011838931290144931
