contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BMY230609C00040000,BMY,2023-05-23 19:13:10,2023-06-09,40.0,26.75,25.85,26.2,26.025,0.0,1,1.8828130859374999,65.9800033569336,calls,0.033343435708825406
BMY230609C00050000,BMY,2023-06-02 17:13:32,2023-06-09,50.0,15.54,15.95,16.2,16.075,11.0,11,1.25390998046875,65.9800033569336,calls,0.033343435708825406
BMY230609C00057000,BMY,2023-05-22 17:14:17,2023-06-09,57.0,8.85,8.9,9.25,9.075,0.0,1,0.73437765625,65.9800033569336,calls,0.033343435708825406
BMY230609C00060000,BMY,2023-06-02 15:39:24,2023-06-09,60.0,6.3,6.0,6.15,6.075,2.0,12,0.51758294921875,65.9800033569336,calls,0.033343435708825406
BMY230609C00061000,BMY,2023-06-05 19:05:35,2023-06-09,61.0,5.02,5.0,5.15,5.075,4.0,7,0.5117236328125,65.9800033569336,calls,0.033343435708825406
BMY230609C00062000,BMY,2023-05-25 18:41:27,2023-06-09,62.0,3.1,4.0,4.15,4.075,0.0,20,0.43164630859375,65.9800033569336,calls,0.033343435708825406
BMY230609C00063000,BMY,2023-06-05 17:29:37,2023-06-09,63.0,3.45,3.0,3.25,3.125,25.0,153,0.4062559375,65.9800033569336,calls,0.033343435708825406
BMY230609C00064000,BMY,2023-06-05 19:54:14,2023-06-09,64.0,2.22,2.09,2.19,2.1399999999999997,193.0,536,0.2841868457031249,65.9800033569336,calls,0.033343435708825406
BMY230609C00065000,BMY,2023-06-05 19:01:07,2023-06-09,65.0,1.31,1.21,1.31,1.26,27.0,272,0.23438265625,65.9800033569336,calls,0.033343435708825406
BMY230609C00066000,BMY,2023-06-05 19:27:54,2023-06-09,66.0,0.57,0.56,0.61,0.585,463.0,756,0.20117986328124998,65.9800033569336,calls,0.033343435708825406
BMY230609C00067000,BMY,2023-06-05 19:53:13,2023-06-09,67.0,0.22,0.18,0.21,0.195,839.0,502,0.18799640136718748,65.9800033569336,calls,0.033343435708825406
BMY230609C00068000,BMY,2023-06-05 19:39:36,2023-06-09,68.0,0.07,0.05,0.08,0.065,211.0,280,0.20508607421874997,65.9800033569336,calls,0.033343435708825406
BMY230609C00069000,BMY,2023-06-05 19:18:55,2023-06-09,69.0,0.02,0.01,0.03,0.02,357.0,466,0.22266402343749997,65.9800033569336,calls,0.033343435708825406
BMY230609C00070000,BMY,2023-06-05 18:31:37,2023-06-09,70.0,0.01,0.01,0.02,0.015,18.0,391,0.257819921875,65.9800033569336,calls,0.033343435708825406
BMY230609P00061000,BMY,2023-06-05 16:39:42,2023-06-09,61.0,0.01,0.01,0.03,0.02,8.0,1168,0.35547519531249994,65.9800033569336,puts,0.033343435708825406
BMY230609P00063000,BMY,2023-06-05 19:53:09,2023-06-09,63.0,0.02,0.02,0.06,0.04,18.0,125,0.26563234375,65.9800033569336,puts,0.033343435708825406
BMY230609P00064000,BMY,2023-06-05 19:50:27,2023-06-09,64.0,0.07,0.06,0.09,0.075,148.0,336,0.2148516015625,65.9800033569336,puts,0.033343435708825406
BMY230609P00065000,BMY,2023-06-05 18:08:51,2023-06-09,65.0,0.2,0.2,0.22,0.21000000000000002,115.0,554,0.1909260595703125,65.9800033569336,puts,0.033343435708825406
BMY230609P00066000,BMY,2023-06-05 19:59:38,2023-06-09,66.0,0.53,0.52,0.55,0.535,70.0,460,0.1753012158203125,65.9800033569336,puts,0.033343435708825406
BMY230609P00067000,BMY,2023-06-05 18:34:34,2023-06-09,67.0,1.09,1.09,1.2,1.145,53.0,67,0.1757894921875,65.9800033569336,puts,0.033343435708825406
BMY230609P00068000,BMY,2023-06-05 18:25:51,2023-06-09,68.0,1.73,1.96,2.1,2.0300000000000002,6.0,2,0.20508607421874997,65.9800033569336,puts,0.033343435708825406
BMY230609P00069000,BMY,2023-06-02 14:01:23,2023-06-09,69.0,3.9,1.38,3.15,2.2649999999999997,1.0,1,0.31153032226562494,65.9800033569336,puts,0.033343435708825406
BMY230609P00070000,BMY,2023-05-23 16:42:11,2023-06-09,70.0,3.1,2.58,4.15,3.365,2.0,0,0.38086556640624997,65.9800033569336,puts,0.033343435708825406
BMY230609P00071000,BMY,2023-05-17 17:57:20,2023-06-09,71.0,4.65,4.85,5.2,5.025,9.0,0,0.485356708984375,65.9800033569336,puts,0.033343435708825406
BMY230609P00072000,BMY,2023-05-17 17:58:22,2023-06-09,72.0,5.68,5.85,6.15,6.0,7.0,0,0.5097705273437501,65.9800033569336,puts,0.033343435708825406
BMY230616C00035000,BMY,2023-05-24 17:21:50,2023-06-16,35.0,30.73,30.95,31.15,31.049999999999997,1.0,6,1.5976582617187498,65.9800033569336,calls,0.033343435708825406
BMY230616C00040000,BMY,2023-05-25 16:40:28,2023-06-16,40.0,24.25,25.95,26.2,26.075,2.0,0,1.3515657421874998,65.9800033569336,calls,0.033343435708825406
BMY230616C00045000,BMY,2023-05-25 18:00:03,2023-06-16,45.0,19.75,21.0,21.2,21.1,3.0,15,1.109379453125,65.9800033569336,calls,0.033343435708825406
BMY230616C00050000,BMY,2023-06-02 19:47:38,2023-06-16,50.0,15.8,15.95,16.2,16.075,2.0,41,0.8085956640624999,65.9800033569336,calls,0.033343435708825406
