contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
IBM230609C00090000,IBM,2023-05-31 19:50:04,2023-06-09,90.0,38.8,42.35,43.0,42.675,0.0,1,1.3281283593749997,132.63999938964844,calls,0.049758745705445785
IBM230609C00105000,IBM,2023-06-05 15:53:08,2023-06-09,105.0,27.8,27.35,28.05,27.700000000000003,1.0,1,0.9062509375,132.63999938964844,calls,0.049758745705445785
IBM230609C00112000,IBM,2023-05-31 19:50:04,2023-06-09,112.0,16.8,20.4,21.2,20.799999999999997,0.0,1,0.79883013671875,132.63999938964844,calls,0.049758745705445785
IBM230609C00114000,IBM,2023-06-05 16:01:28,2023-06-09,114.0,18.92,18.4,19.2,18.799999999999997,1.0,1,0.729494892578125,132.63999938964844,calls,0.049758745705445785
IBM230609C00115000,IBM,2023-05-17 15:15:17,2023-06-09,115.0,9.9,17.4,18.15,17.775,0.0,3,0.6738313867187502,132.63999938964844,calls,0.049758745705445785
IBM230609C00118000,IBM,2023-06-02 13:47:27,2023-06-09,118.0,13.05,14.4,15.15,14.775,1.0,1,0.570316796875,132.63999938964844,calls,0.049758745705445785
IBM230609C00119000,IBM,2023-05-18 19:13:13,2023-06-09,119.0,7.68,13.4,14.15,13.775,5.0,12,0.5371140039062501,132.63999938964844,calls,0.049758745705445785
IBM230609C00120000,IBM,2023-06-05 17:34:45,2023-06-09,120.0,12.6,12.4,12.9,12.65,7.0,159,0.577152666015625,132.63999938964844,calls,0.049758745705445785
IBM230609C00121000,IBM,2023-06-05 14:40:52,2023-06-09,121.0,11.84,11.4,12.2,11.8,2.0,55,0.6596713720703126,132.63999938964844,calls,0.049758745705445785
IBM230609C00122000,IBM,2023-06-02 17:15:10,2023-06-09,122.0,10.69,10.4,11.15,10.775,2.0,85,0.5996133789062501,132.63999938964844,calls,0.049758745705445785
IBM230609C00123000,IBM,2023-06-05 18:02:51,2023-06-09,123.0,9.83,9.45,10.15,9.8,4.0,124,0.5571333349609376,132.63999938964844,calls,0.049758745705445785
IBM230609C00124000,IBM,2023-06-05 17:55:00,2023-06-09,124.0,8.8,8.45,9.2,8.825,4.0,82,0.5297898583984376,132.63999938964844,calls,0.049758745705445785
